"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,1,9,32,2,0,23,0,1,3,24,0,1,5,0,0,4,0,1,44,2,5,9,5,0,4,23,3,0,3
"Ant6",1,0,16,1,3,10,1,3,6,2,2,14,15,12,0,0,0,0,5,0,8,8,3,17,1,0,11,12,2,6
"Ant19",9,16,0,14,4,0,9,1,6,5,8,11,6,14,0,0,6,5,1,4,2,11,5,13,5,6,14,10,3,19
"Ant60",32,1,14,0,30,0,53,0,6,0,14,1,5,15,0,0,3,7,2,16,2,0,2,22,1,1,17,6,0,14
"Ant148",2,3,4,30,0,0,2,0,0,0,4,0,3,4,0,0,4,2,7,7,1,2,0,0,2,4,6,6,0,4
"Ant202",0,10,0,0,0,0,0,70,0,0,0,0,29,2,6,0,0,1,6,0,0,0,0,0,0,0,0,3,0,0
"Ant209",23,1,9,53,2,0,0,0,4,0,58,15,0,6,0,0,0,4,0,23,0,4,12,25,0,16,25,0,0,3
"Ant268",0,3,1,0,0,70,0,0,0,0,0,0,3,0,7,0,0,0,14,0,0,0,0,0,4,0,0,0,19,0
"Ant50",1,6,6,6,0,0,4,0,0,4,12,0,0,2,0,0,5,0,4,10,4,0,0,6,0,0,7,6,1,1
"Ant63",3,2,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,10,0,0,0,35,0,7,0,0,0,5
"Ant98",24,2,8,14,4,0,58,0,12,4,0,4,0,10,0,0,0,0,2,12,2,3,1,1,2,30,2,0,0,14
"Ant137",0,14,11,1,0,0,15,0,0,0,4,0,0,1,0,0,1,2,3,0,2,3,0,8,0,0,1,0,0,3
"Ant140",1,15,6,5,3,29,0,3,0,0,0,0,0,5,0,0,1,2,12,1,0,8,0,10,14,5,1,0,6,15
"Ant169",5,12,14,15,4,2,6,0,2,0,10,1,5,0,0,0,5,2,5,0,2,10,2,6,0,0,2,2,0,7
"Ant176",0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",4,0,6,3,4,0,0,0,5,0,0,1,1,5,0,0,0,29,17,3,8,0,3,1,4,0,7,17,1,11
"Ant232",0,0,5,7,2,1,4,0,0,0,0,2,2,2,0,0,29,0,26,2,10,1,0,1,20,1,1,36,6,13
"Ant289",1,5,1,2,7,6,0,14,4,0,2,3,12,5,15,0,17,26,0,0,0,13,1,5,12,0,3,6,27,15
"Ant298",44,0,4,16,7,0,23,0,10,10,12,0,1,0,0,0,3,2,0,0,3,14,5,36,10,22,10,6,0,11
"Ant324",2,8,2,2,1,0,0,0,4,0,2,2,0,2,0,0,8,10,0,3,0,0,0,1,0,0,0,18,4,0
"Ant332",5,8,11,0,2,0,4,0,0,0,3,3,8,10,0,0,0,1,13,14,0,0,2,2,2,24,4,3,1,16
"Ant356",9,3,5,2,0,0,12,0,0,0,1,0,0,2,0,0,3,0,1,5,0,2,0,3,0,8,2,0,0,5
"Ant400",5,17,13,22,0,0,25,0,6,35,1,8,10,6,0,0,1,1,5,36,1,2,3,0,8,2,1,2,0,10
"Ant437",0,1,5,1,2,0,0,4,0,0,2,0,14,0,0,0,4,20,12,10,0,2,0,8,0,0,0,4,2,3
"Ant492",4,0,6,1,4,0,16,0,0,7,30,0,5,0,0,0,0,1,0,22,0,24,8,2,0,0,0,0,0,8
"Ant552",23,11,14,17,6,0,25,0,7,0,2,1,1,2,0,0,7,1,3,10,0,4,2,1,0,0,0,6,3,14
"Ant560",3,12,10,6,6,3,0,0,6,0,0,0,0,2,0,0,17,36,6,6,18,3,0,2,4,0,6,0,1,0
"Ant564",0,2,3,0,0,0,0,19,1,0,0,0,6,0,6,0,1,6,27,0,4,1,0,0,2,0,3,1,0,5
"Ant593",3,6,19,14,4,0,3,0,1,5,14,3,15,7,0,0,11,13,15,11,0,16,5,10,3,8,14,0,5,0
