"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,0,8,4,0,0,0,0,1,0,13,1,2,0,0,0,0,0,0,8,0,1,5,4,0,15,0,0,3,3
"Ant6",0,0,5,6,8,0,4,0,8,5,0,1,0,1,0,0,15,9,0,15,0,7,0,0,4,0,5,15,7,3
"Ant19",8,5,0,5,14,1,13,3,6,0,1,2,4,2,0,0,11,7,0,3,13,4,1,0,16,15,18,6,5,0
"Ant60",4,6,5,0,6,0,29,0,0,15,2,2,2,1,0,0,7,1,0,31,0,5,2,0,1,2,4,9,0,6
"Ant148",0,8,14,6,0,0,7,0,0,0,1,1,0,5,0,0,25,0,0,1,3,6,0,1,1,0,5,16,0,0
"Ant202",0,0,1,0,0,0,0,16,0,0,0,0,0,0,27,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"Ant209",0,4,13,29,7,0,0,0,1,0,26,2,1,5,0,0,4,0,0,34,1,11,0,2,1,6,1,3,3,0
"Ant268",0,0,3,0,0,16,0,0,0,7,1,0,0,0,19,0,0,7,33,0,0,0,0,0,13,0,0,2,22,0
"Ant50",1,8,6,0,0,0,1,0,0,20,10,4,0,0,0,0,0,7,0,10,1,0,1,1,0,0,1,0,2,0
"Ant63",0,5,0,15,0,0,0,7,20,0,12,0,0,11,0,0,0,15,0,14,3,0,0,0,1,0,5,0,5,2
"Ant98",13,0,1,2,1,0,26,1,10,12,0,2,0,2,0,0,3,3,0,3,2,1,1,3,3,20,2,1,8,6
"Ant137",1,1,2,2,1,0,2,0,4,0,2,0,1,3,0,0,5,0,0,5,3,1,1,4,1,0,3,8,6,1
"Ant140",2,0,4,2,0,0,1,0,0,0,0,1,0,2,0,0,25,5,0,18,0,2,6,11,3,0,7,8,0,2
"Ant169",0,1,2,1,5,0,5,0,0,11,2,3,2,0,0,0,1,13,0,1,9,3,0,1,9,0,3,7,2,6
"Ant176",0,0,0,0,0,27,0,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",0,15,11,7,25,0,4,0,0,0,3,5,25,1,0,0,0,0,0,5,12,11,0,3,14,2,1,18,1,2
"Ant232",0,9,7,1,0,0,0,7,7,15,3,0,5,13,0,0,0,0,0,2,0,0,3,0,11,1,18,1,17,0
"Ant289",0,0,0,0,0,28,0,33,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant298",8,15,3,31,1,0,34,0,10,14,3,5,18,1,0,0,5,2,0,0,0,10,6,2,1,0,2,4,0,4
"Ant324",0,0,13,0,3,0,1,0,1,3,2,3,0,9,0,0,12,0,0,0,0,0,0,0,0,0,1,11,0,3
"Ant332",1,7,4,5,6,0,11,0,0,0,1,1,2,3,0,0,11,0,0,10,0,0,4,1,0,5,2,11,7,48
"Ant356",5,0,1,2,0,0,0,0,1,0,1,1,6,0,0,0,0,3,0,6,0,4,0,4,0,0,3,11,0,16
"Ant400",4,0,0,0,1,0,2,0,1,0,3,4,11,1,0,0,3,0,0,2,0,1,4,0,1,5,0,11,0,13
"Ant437",0,4,16,1,1,0,1,13,0,1,3,1,3,9,0,0,14,11,0,1,0,0,0,1,0,4,0,0,24,0
"Ant492",15,0,15,2,0,0,6,0,0,0,20,0,0,0,0,0,2,1,0,0,0,5,0,5,4,0,3,1,0,1
"Ant552",0,5,18,4,5,0,1,0,1,5,2,3,7,3,0,0,1,18,0,2,1,2,3,0,0,3,0,3,4,0
"Ant560",0,15,6,9,16,0,3,2,0,0,1,8,8,7,0,0,18,1,0,4,11,11,11,11,0,1,3,0,3,0
"Ant564",3,7,5,0,0,0,3,22,2,5,8,6,0,2,0,0,1,17,0,0,0,7,0,0,24,0,4,3,0,1
"Ant593",3,3,0,6,0,0,0,0,0,2,6,1,2,6,0,0,2,0,0,4,3,48,16,13,0,1,0,0,1,0
