"","Ant52","Ant6","Ant7","Ant19","Ant30","Ant60","Ant148","Ant202","Ant209","Ant268","Ant518","Ant32","Ant44","Ant50","Ant55","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,10,1,4,3,6,1,0,1,0,0,0,7,2,0,7,4,2,0,1,0,0,1,0,0,1,3,0,0,0,0,4,0,2,1,7,0,9,0,2,2,5,0,2
"Ant6",10,0,3,2,1,4,9,0,4,2,2,2,5,4,0,0,10,18,31,3,0,0,6,3,0,0,6,0,0,0,1,27,1,0,7,1,0,0,6,0,0,13,0,7
"Ant7",1,3,0,9,7,9,3,3,3,13,12,3,6,0,2,7,0,6,24,10,2,18,17,7,9,11,12,1,3,10,9,6,2,5,18,2,15,13,11,8,25,3,5,3
"Ant19",4,2,9,0,10,12,2,0,1,2,4,3,18,12,0,9,11,7,8,3,0,2,9,0,0,13,4,0,16,1,1,7,7,11,15,1,0,7,6,7,18,2,4,8
"Ant30",3,1,7,10,0,14,0,1,5,0,9,5,11,0,0,9,4,5,2,9,0,0,15,2,0,19,10,0,5,3,5,8,8,4,11,4,8,4,4,5,12,6,1,11
"Ant60",6,4,9,12,14,0,7,0,1,0,0,6,38,6,1,13,1,9,5,1,0,0,12,0,0,1,5,0,4,0,0,3,4,17,7,2,3,15,1,5,9,11,5,17
"Ant148",1,9,3,2,0,7,0,0,6,2,1,4,2,2,0,0,6,3,7,9,0,0,4,0,0,0,1,0,2,1,2,7,0,3,5,0,1,0,3,4,5,8,3,0
"Ant202",0,0,3,0,1,0,0,0,0,54,15,0,0,0,40,0,0,0,0,0,6,1,3,62,31,0,0,29,0,17,41,0,1,0,0,0,3,3,2,0,0,0,4,0
"Ant209",1,4,3,1,5,1,6,0,0,1,0,6,3,0,0,0,16,0,1,5,0,0,0,0,0,5,3,0,4,0,0,12,1,1,1,15,0,2,0,2,14,4,4,2
"Ant268",0,2,13,2,0,0,2,54,1,0,26,1,2,0,21,0,1,3,14,1,49,0,0,83,72,0,4,59,1,29,40,0,0,0,2,0,1,1,0,0,0,0,34,1
"Ant518",0,2,12,4,9,0,1,15,0,26,0,2,4,0,12,0,0,1,2,2,22,2,3,24,16,2,6,23,1,15,54,0,4,2,1,0,3,1,7,5,0,2,2,1
"Ant32",0,2,3,3,5,6,4,0,6,1,2,0,15,17,0,2,25,2,10,2,0,0,3,2,0,2,3,0,2,0,0,6,3,2,7,7,0,1,1,1,4,5,0,12
"Ant44",7,5,6,18,11,38,2,0,3,2,4,15,0,3,0,10,7,8,4,3,0,0,7,0,0,6,21,0,6,0,2,18,2,19,10,14,3,19,17,10,15,5,0,9
"Ant50",2,4,0,12,0,6,2,0,0,0,0,17,3,0,0,1,13,0,7,23,0,0,0,0,0,0,6,0,0,2,2,12,1,7,4,0,0,5,5,0,1,10,0,1
"Ant55",0,0,2,0,0,1,0,40,0,21,12,0,0,0,0,0,0,1,19,1,13,0,8,31,35,0,3,22,0,31,12,4,0,0,1,0,8,0,4,5,2,0,9,2
"Ant63",7,0,7,9,9,13,0,0,0,0,0,2,10,1,0,0,2,2,2,3,0,0,9,0,0,10,4,0,8,0,2,0,0,1,4,2,2,8,18,6,5,3,0,4
"Ant98",4,10,0,11,4,1,6,0,16,1,0,25,7,13,0,2,0,2,4,3,0,0,1,0,0,3,1,0,11,1,0,12,4,1,4,9,1,2,1,4,7,2,6,13
"Ant137",2,18,6,7,5,9,3,0,0,3,1,2,8,0,1,2,2,0,1,10,0,0,3,0,0,1,0,0,3,0,0,1,0,1,5,5,0,10,0,0,2,1,0,6
"Ant140",0,31,24,8,2,5,7,0,1,14,2,10,4,7,19,2,4,1,0,3,0,0,55,3,1,3,23,1,1,6,26,14,6,2,10,4,0,2,14,2,2,9,30,13
"Ant169",1,3,10,3,9,1,9,0,5,1,2,2,3,23,1,3,3,10,3,0,1,3,3,4,0,0,7,0,0,1,2,12,3,24,4,1,2,3,4,12,4,2,4,11
"Ant176",0,0,2,0,0,0,0,6,0,49,22,0,0,0,13,0,0,0,0,1,0,1,1,51,33,0,0,22,0,23,27,0,0,1,0,0,0,0,2,0,0,0,2,0
"Ant178",0,0,18,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,0,3,1,1,0,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ant195",1,6,17,9,15,12,4,3,0,0,3,3,7,0,8,9,1,3,55,3,1,3,0,14,0,4,12,1,7,6,6,2,5,16,8,3,12,14,25,15,18,4,1,13
"Ant215",0,3,7,0,2,0,0,62,0,83,24,2,0,0,31,0,0,0,3,4,51,1,14,0,68,0,2,63,4,43,49,0,1,0,2,0,3,3,15,2,3,0,21,3
"Ant217",0,0,9,0,0,0,0,31,0,72,16,0,0,0,35,0,0,0,1,0,33,1,0,68,0,0,0,57,0,25,22,0,0,0,0,0,0,0,1,0,0,0,18,0
"Ant219",1,0,11,13,19,1,0,0,5,0,2,2,6,0,0,10,3,1,3,0,0,0,4,0,0,0,4,0,0,0,0,2,6,20,5,3,1,1,1,1,0,1,0,5
"Ant232",3,6,12,4,10,5,1,0,3,4,6,3,21,6,3,4,1,0,23,7,0,2,12,2,0,4,0,0,6,15,11,5,2,7,1,7,8,1,5,8,6,10,10,3
"Ant243",0,0,1,0,0,0,0,29,0,59,23,0,0,0,22,0,0,0,1,0,22,0,1,63,57,0,0,0,0,31,18,0,0,0,0,0,0,0,0,0,0,0,8,0
"Ant257",0,0,3,16,5,4,2,0,4,1,1,2,6,0,0,8,11,3,1,0,0,0,7,4,0,0,6,0,0,0,0,6,8,5,5,6,5,13,6,8,23,2,1,20
"Ant289",0,0,10,1,3,0,1,17,0,29,15,0,0,2,31,0,1,0,6,1,23,1,6,43,25,0,15,31,0,0,10,0,0,0,8,0,4,0,0,1,0,0,3,2
"Ant294",0,1,9,1,5,0,2,41,0,40,54,0,2,2,12,2,0,0,26,2,27,9,6,49,22,0,11,18,0,10,0,0,1,0,2,0,4,0,8,0,0,2,0,1
