"","Ant52","Ant6","Ant7","Ant19","Ant30","Ant60","Ant148","Ant202","Ant209","Ant268","Ant518","Ant32","Ant44","Ant50","Ant55","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,5,0,2,3,5,7,0,20,1,0,0,4,0,0,2,10,5,0,0,0,0,0,0,0,5,3,0,6,0,1,2,0,3,1,1,0,0,0,8,1,1,0,3
"Ant6",5,0,1,7,8,2,0,0,1,4,0,14,10,0,0,9,4,1,1,5,0,0,10,0,0,6,6,0,4,10,2,24,4,3,11,9,2,3,5,4,8,4,0,4
"Ant7",0,1,0,10,4,2,1,3,1,23,6,4,7,0,0,2,8,10,24,6,1,0,8,1,1,5,9,0,12,1,8,3,6,8,3,5,10,1,14,8,6,0,7,4
"Ant19",2,7,10,0,9,6,1,0,1,4,3,1,4,8,3,0,12,0,11,7,0,0,12,0,0,10,12,0,4,4,3,7,5,3,7,11,1,3,7,13,6,3,0,18
"Ant30",3,8,4,9,0,2,3,0,5,17,8,12,7,0,1,8,3,14,27,8,0,0,6,0,0,12,2,0,12,4,5,3,5,12,11,14,14,3,4,12,8,6,0,2
"Ant60",5,2,2,6,2,0,4,0,10,0,1,5,11,4,1,10,5,2,4,0,0,0,8,0,0,7,12,0,3,0,0,28,7,29,5,8,1,2,1,16,5,1,0,6
"Ant148",7,0,1,1,3,4,0,0,6,2,2,2,13,14,0,0,2,0,1,0,0,0,0,0,0,0,9,0,0,0,0,12,0,1,1,2,1,6,1,0,11,7,0,11
"Ant202",0,0,3,0,0,0,0,0,0,122,0,0,0,0,41,0,0,0,0,0,21,0,0,61,16,0,0,18,0,22,30,0,0,0,0,0,0,0,0,0,0,0,10,0
"Ant209",20,1,1,1,5,10,6,0,0,3,0,4,11,8,0,1,6,2,3,4,0,0,12,0,0,3,2,0,8,1,0,3,4,12,1,16,6,17,1,1,10,3,0,12
"Ant268",1,4,23,4,17,0,2,122,3,0,8,1,2,5,45,2,2,3,6,3,20,3,31,71,39,0,3,36,0,33,74,0,5,1,4,2,3,1,14,2,1,1,42,8
"Ant518",0,0,6,3,8,1,2,0,0,8,0,0,3,3,11,0,9,0,0,4,0,1,24,2,0,1,26,0,1,0,10,4,13,2,3,0,6,6,10,1,0,3,18,2
"Ant32",0,14,4,1,12,5,2,0,4,1,0,0,18,0,0,10,5,9,6,8,0,0,6,0,0,12,4,0,6,2,0,8,3,3,9,2,4,0,0,8,14,7,0,0
"Ant44",4,10,7,4,7,11,13,0,11,2,3,18,0,0,0,6,25,2,6,19,0,0,4,0,0,6,15,0,35,3,2,1,3,9,2,9,9,20,5,2,9,7,0,33
"Ant50",0,0,0,8,0,4,14,0,8,5,3,0,0,0,0,4,8,0,0,3,0,0,2,0,0,0,10,0,0,0,0,37,3,1,17,0,0,11,0,3,0,1,3,16
"Ant55",0,0,0,3,1,1,0,41,0,45,11,0,0,0,0,0,1,0,0,0,33,2,10,68,35,0,0,10,0,5,23,1,10,0,0,0,0,0,2,0,0,0,21,0
"Ant63",2,9,2,0,8,10,0,0,1,2,0,10,6,4,0,0,1,8,6,0,0,0,6,0,0,10,9,0,1,0,0,5,0,0,9,2,5,1,0,25,10,4,0,3
"Ant98",10,4,8,12,3,5,2,0,6,2,9,5,25,8,1,1,0,8,2,2,0,0,5,2,3,11,3,0,3,1,0,2,1,0,3,9,0,2,4,8,0,0,2,6
"Ant137",5,1,10,0,14,2,0,0,2,3,0,9,2,0,0,8,8,0,2,3,0,0,2,0,0,4,4,0,3,0,0,1,5,0,14,16,7,1,1,0,13,2,1,0
"Ant140",0,1,24,11,27,4,1,0,3,6,0,6,6,0,0,6,2,2,0,4,0,0,7,0,0,6,7,0,22,2,8,1,6,0,5,4,8,1,13,16,7,1,13,1
