"","Ant52","Ant6","Ant7","Ant19","Ant30","Ant60","Ant148","Ant202","Ant209","Ant268","Ant518","Ant32","Ant44","Ant50","Ant55","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,1,1,4,9,21,6,0,4,0,0,2,55,6,0,0,3,5,2,2,0,0,1,1,0,3,3,0,2,0,0,24,0,0,0,13,1,1,0,3,1,8,0,0
"Ant6",1,0,0,34,28,0,0,3,1,3,11,5,17,0,1,0,4,0,2,2,0,0,4,0,11,1,0,0,14,0,0,11,4,17,8,4,3,8,9,0,9,2,12,4
"Ant7",1,0,0,6,10,0,9,0,0,23,18,0,0,0,12,1,5,0,0,1,4,0,0,11,1,0,5,4,1,13,2,0,7,0,2,0,4,1,8,0,0,5,9,2
"Ant19",4,34,6,0,21,12,0,0,2,5,12,7,12,5,5,3,14,0,4,12,0,0,7,0,0,9,13,0,12,1,3,11,9,7,3,16,6,10,7,16,4,11,3,7
"Ant30",9,28,10,21,0,5,13,0,1,4,9,0,32,6,5,12,9,1,6,14,0,0,4,10,0,5,19,0,16,2,2,25,3,9,7,2,9,4,12,7,1,1,2,2
"Ant60",21,0,0,12,5,0,2,0,6,0,0,4,61,15,0,18,5,1,1,4,0,0,15,0,0,21,0,0,0,0,0,23,0,0,1,15,1,11,4,14,0,9,0,1
"Ant148",6,0,9,0,13,2,0,0,13,1,0,0,4,5,1,0,1,0,2,9,0,0,10,0,0,6,3,0,5,0,0,10,1,0,1,8,0,2,0,1,0,1,0,2
"Ant202",0,3,0,0,0,0,0,0,0,35,5,0,0,0,15,0,0,0,0,0,35,0,0,55,18,0,7,2,0,26,6,0,0,0,0,0,0,0,0,0,0,0,8,0
"Ant209",4,1,0,2,1,6,13,0,0,0,1,5,8,5,0,7,4,1,3,6,0,0,0,0,0,11,0,0,0,0,0,5,1,7,1,5,0,4,0,29,9,3,0,10
"Ant268",0,3,23,5,4,0,1,35,0,0,22,2,3,0,46,0,0,0,4,3,15,0,4,20,77,0,5,1,3,37,2,0,2,1,25,0,0,0,6,0,0,1,127,4
"Ant518",0,11,18,12,9,0,0,5,1,22,0,3,7,0,11,0,2,0,2,0,0,0,6,0,17,1,18,0,8,4,18,0,10,0,22,1,6,0,14,4,0,5,57,12
"Ant32",2,5,0,7,0,4,0,0,5,2,3,0,14,4,0,2,1,16,3,18,0,0,4,0,0,7,3,0,2,0,1,16,1,2,2,0,3,1,5,5,3,5,1,16
"Ant44",55,17,0,12,32,61,4,0,8,3,7,14,0,20,2,3,29,20,10,7,0,0,6,0,0,13,13,0,4,0,0,50,2,16,9,6,0,9,3,7,8,10,8,2
"Ant50",6,0,0,5,6,15,5,0,5,0,0,4,20,0,0,0,3,0,2,0,0,0,2,0,0,1,0,0,0,0,0,13,1,7,1,1,1,2,0,4,18,1,0,5
"Ant55",0,1,12,5,5,0,1,15,0,46,11,0,2,0,0,1,0,0,0,0,25,0,0,23,28,6,8,3,2,20,1,0,2,1,16,0,1,4,44,1,0,0,11,5
"Ant63",0,0,1,3,12,18,0,0,7,0,0,2,3,0,1,0,9,1,2,4,0,0,2,0,1,1,0,0,1,0,1,8,9,3,4,0,2,2,4,0,0,3,0,0
"Ant98",3,4,5,14,9,5,1,0,4,0,2,1,29,3,0,9,0,5,3,4,0,0,8,0,0,2,5,0,14,0,0,9,2,30,8,31,4,21,0,3,2,5,0,31
