"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,0,0,1,0,0,0,0,0,1,0,2,1,1,1,0,3,5,0,5,1,6,1,0,0,0,1,1,0,1
"Ant6",0,0,0,0,0,0,0,2,2,5,6,0,9,1,5,0,9,2,0,0,10,0,3,1,5,0,6,0,7,0
"Ant19",0,0,0,2,3,15,4,16,0,4,18,1,1,0,6,0,4,3,3,5,2,1,6,7,6,4,8,6,16,15
"Ant60",1,0,2,0,3,0,11,0,0,0,9,4,0,0,0,0,3,0,0,8,0,0,4,0,0,9,2,0,0,10
"Ant148",0,0,3,3,0,0,4,0,1,0,1,19,0,1,1,0,11,6,0,0,4,17,2,1,1,3,0,15,0,0
"Ant202",0,0,15,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"Ant209",0,0,4,11,4,0,0,0,0,0,6,1,3,0,0,0,2,1,0,21,0,0,11,1,2,7,0,0,0,12
"Ant268",0,2,16,0,0,14,0,0,0,0,0,0,8,2,0,0,0,6,10,0,0,0,0,0,4,0,1,0,50,0
"Ant50",0,2,0,0,1,0,0,0,0,0,0,4,0,3,0,0,1,1,0,3,0,3,0,0,0,0,0,0,0,2
"Ant63",1,5,4,0,0,0,0,0,0,0,1,0,0,0,3,0,6,0,0,2,3,0,0,6,3,7,5,0,0,0
"Ant98",0,6,18,9,1,0,6,0,0,1,0,0,7,5,0,0,3,0,0,6,4,3,4,0,4,7,12,5,1,14
"Ant137",2,0,1,4,19,0,1,0,4,0,0,0,0,0,0,0,18,1,0,0,0,1,1,0,0,0,0,5,0,0
"Ant140",1,9,1,0,0,0,3,8,0,0,7,0,0,0,5,0,0,3,0,0,2,0,0,0,10,0,1,1,18,0
"Ant169",1,1,0,0,1,0,0,2,3,0,5,0,0,0,0,0,4,1,0,1,3,0,0,0,1,1,0,0,0,7
"Ant176",1,5,6,0,1,0,0,0,0,3,0,0,5,0,0,0,9,1,0,2,0,5,0,1,5,4,2,2,0,1
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",3,9,4,3,11,0,2,0,1,6,3,18,0,4,9,0,0,17,0,0,1,12,4,9,8,12,1,3,0,0
"Ant232",5,2,3,0,6,0,1,6,1,0,0,1,3,1,1,0,17,0,0,2,2,1,4,16,19,3,0,0,14,2
"Ant289",0,0,3,0,0,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Ant298",5,0,5,8,0,0,21,0,3,2,6,0,0,1,2,0,0,2,0,0,0,0,11,0,0,19,8,1,0,4
"Ant324",1,10,2,0,4,0,0,0,0,3,4,0,2,3,0,0,1,2,0,0,0,1,1,0,6,0,4,1,2,1
"Ant332",6,0,1,0,17,0,0,0,3,0,3,1,0,0,5,0,12,1,0,0,1,0,8,4,0,1,0,47,0,1
"Ant356",1,3,6,4,2,0,11,0,0,0,4,1,0,0,0,0,4,4,0,11,1,8,0,13,2,2,1,1,0,9
"Ant400",0,1,7,0,1,0,1,0,0,6,0,0,0,0,1,0,9,16,0,0,0,4,13,0,1,2,0,0,0,3
"Ant437",0,5,6,0,1,0,2,4,0,3,4,0,10,1,5,0,8,19,0,0,6,0,2,1,0,2,4,6,7,2
"Ant492",0,0,4,9,3,0,7,0,0,7,7,0,0,1,4,0,12,3,0,19,0,1,2,2,2,0,1,0,0,1
"Ant552",1,6,8,2,0,0,0,1,0,5,12,0,1,0,2,0,1,0,0,8,4,0,1,0,4,1,0,1,1,2
"Ant560",1,0,6,0,15,0,0,0,0,0,5,5,1,0,2,0,3,0,0,1,1,47,1,0,6,0,1,0,0,1
"Ant564",0,7,16,0,0,0,0,50,0,0,1,0,18,0,0,0,0,14,3,0,2,0,0,0,7,0,1,0,0,0
"Ant593",1,0,15,10,0,0,12,0,2,0,14,0,0,7,1,0,0,2,0,4,1,1,9,3,2,1,2,1,0,0
