"","Ant52","Ant6","Ant7","Ant19","Ant30","Ant60","Ant148","Ant202","Ant209","Ant268","Ant518","Ant32","Ant44","Ant50","Ant55","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,0,0,13,1,1,4,0,7,0,0,2,5,6,0,0,7,3,6,1,0,0,1,0,0,0,4,0,0,0,0,17,0,2,3,4,0,3,0,5,0,9,0,8
"Ant6",0,0,2,21,6,25,5,0,0,1,3,1,18,1,0,6,3,0,9,2,0,0,7,0,0,1,3,0,9,0,0,10,8,20,4,6,0,8,0,4,1,4,5,3
"Ant7",0,2,0,1,9,0,1,0,2,16,13,0,0,0,12,2,0,1,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,6,23,0,28,0,26,3,0,0,19,25
"Ant19",13,21,1,0,4,5,0,0,9,2,8,1,11,6,6,1,0,11,6,2,0,0,17,0,0,7,9,0,9,2,0,2,2,10,12,10,3,7,1,2,13,1,3,14
"Ant30",1,6,9,4,0,1,2,14,5,7,7,2,8,6,11,2,2,1,0,1,0,0,3,0,6,0,7,0,6,0,1,1,8,0,2,7,3,7,11,3,3,7,2,5
"Ant60",1,25,0,5,1,0,1,0,19,2,0,18,7,8,0,1,9,4,7,15,0,0,4,0,0,8,7,0,1,0,0,1,2,7,1,12,0,3,0,2,5,7,0,4
"Ant148",4,5,1,0,2,1,0,0,46,0,3,2,15,3,0,0,1,5,0,3,0,0,5,0,0,9,7,0,1,0,0,1,0,5,2,4,1,4,0,6,4,7,1,1
"Ant202",0,0,0,0,14,0,0,0,0,88,1,0,0,0,38,0,0,0,0,0,2,0,0,39,45,0,0,5,0,14,21,0,0,0,0,0,0,0,6,0,0,0,5,0
"Ant209",7,0,2,9,5,19,46,0,0,1,0,5,2,0,0,0,4,5,7,0,0,0,2,0,0,0,0,0,3,0,0,9,1,2,0,1,0,3,0,0,1,1,0,2
"Ant268",0,1,16,2,7,2,0,88,1,0,6,0,0,0,62,2,1,0,0,2,31,0,1,55,46,0,1,8,1,59,2,0,0,0,2,0,1,5,39,1,1,0,35,0
"Ant518",0,3,13,8,7,0,3,1,0,6,0,0,1,0,1,2,8,0,0,3,1,0,0,0,0,1,14,0,3,0,0,3,1,1,12,0,11,0,14,0,0,2,15,0
"Ant32",2,1,0,1,2,18,2,0,5,0,0,0,15,4,0,0,3,2,50,8,0,0,0,0,0,0,8,0,1,0,0,12,0,11,3,0,1,9,0,1,4,2,0,3
"Ant44",5,18,0,11,8,7,15,0,2,0,1,15,0,16,3,1,7,11,13,3,0,0,5,0,0,5,10,0,3,0,0,16,4,34,4,19,1,8,1,9,12,5,0,3
