"","Ant52","Ant6","Ant7","Ant19","Ant30","Ant60","Ant148","Ant202","Ant209","Ant268","Ant518","Ant32","Ant44","Ant50","Ant55","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,2,3,1,9,1,0,0,5,0,0,7,2,1,0,3,2,5,3,2,0,0,0,0,0,8,0,0,1,0,0,6,1,6,0,0,0,3,0,3,1,8,2,0
"Ant6",2,0,5,40,0,5,2,0,2,8,18,0,1,3,1,0,5,0,13,5,0,0,23,0,6,0,6,0,6,0,0,21,0,1,8,0,0,0,8,0,0,7,16,0
"Ant7",3,5,0,7,10,12,1,0,2,17,11,2,16,7,4,3,8,1,7,11,0,0,7,1,20,2,10,0,2,0,0,6,1,3,13,7,8,7,20,2,0,5,0,5
"Ant19",1,40,7,0,13,6,10,0,10,1,16,7,14,30,0,7,2,3,19,22,0,0,8,8,0,6,5,0,8,0,0,1,2,33,6,21,6,12,10,1,3,9,0,13
"Ant30",9,0,10,13,0,0,5,2,30,0,1,14,32,17,2,9,5,5,3,27,0,0,10,0,2,10,19,3,7,0,0,1,9,0,12,8,3,9,1,13,14,17,5,12
"Ant60",1,5,12,6,0,0,7,0,0,0,2,4,17,29,0,0,0,9,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,8,15,0,16,7,1,0,10,0,0,4
"Ant148",0,2,1,10,5,7,0,0,6,0,1,3,0,1,0,9,3,0,0,1,0,0,4,0,1,4,0,0,15,0,1,0,2,1,0,3,1,1,1,1,2,0,0,12
"Ant202",0,0,0,0,2,0,0,0,0,61,1,0,0,0,25,0,0,0,0,0,24,0,0,55,2,0,0,13,0,19,44,0,0,0,0,0,0,0,0,0,0,0,3,0
"Ant209",5,2,2,10,30,0,6,0,0,0,3,0,30,17,0,2,9,2,1,4,0,0,0,0,1,10,5,0,2,0,0,5,4,0,9,7,4,6,0,7,3,24,0,6
"Ant268",0,8,17,1,0,0,0,61,0,0,34,0,4,4,19,0,0,0,16,5,38,1,57,38,62,0,8,15,1,47,29,3,0,4,5,0,1,1,15,0,2,7,20,0
"Ant518",0,18,11,16,1,2,1,1,3,34,0,0,0,5,22,2,3,0,18,8,2,0,38,5,10,0,4,0,0,2,1,2,5,7,1,3,3,3,40,0,0,7,13,0
"Ant32",7,0,2,7,14,4,3,0,0,0,0,0,4,7,0,5,5,36,0,4,0,0,7,0,0,3,10,0,2,0,0,0,3,0,7,19,0,10,0,2,7,1,14,3
"Ant44",2,1,16,14,32,17,0,0,30,4,0,4,0,15,0,2,3,3,7,8,0,0,4,0,1,10,0,0,11,0,0,9,1,22,21,3,7,30,4,28,12,24,0,5
"Ant50",1,3,7,30,17,29,1,0,17,4,5,7,15,0,0,13,11,0,3,2,0,0,4,0,0,0,0,0,5,0,0,10,3,32,4,1,8,19,3,6,11,3,0,5
"Ant55",0,1,4,0,2,0,0,25,0,19,22,0,0,0,0,0,0,0,0,1,29,0,15,35,3,0,19,8,0,39,6,0,6,0,1,0,0,0,16,0,0,1,8,0
"Ant63",3,0,3,7,9,0,9,0,2,0,2,5,2,13,0,0,0,8,7,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,2,1,2,7,1,2,3,0,1,5
"Ant98",2,5,8,2,5,0,3,0,9,0,3,5,3,11,0,0,0,0,7,0,0,0,0,0,0,9,4,0,7,0,0,23,5,4,8,4,3,0,1,0,0,4,12,0
"Ant137",5,0,1,3,5,9,0,0,2,0,0,36,3,0,0,8,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,7,2,1,7,0,4,0,0,17,4,3,0,17
"Ant140",3,13,7,19,3,0,0,0,1,16,18,0,7,3,0,7,7,0,0,23,0,0,14,0,4,3,22,0,0,0,0,13,0,2,10,3,4,19,34,0,0,9,5,3
"Ant169",2,5,11,22,27,2,1,0,4,5,8,4,8,2,1,0,0,0,23,0,0,0,11,0,2,5,11,0,2,0,0,3,4,8,3,3,2,0,1,21,1,15,5,22
"Ant176",0,0,0,0,0,0,0,24,0,38,2,0,0,0,29,0,0,0,0,0,0,0,0,60,12,0,0,10,0,14,8,0,0,0,0,0,0,0,0,0,0,0,2,0
"Ant178",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",0,23,7,8,10,3,4,0,0,57,38,7,4,4,15,4,0,0,14,11,0,0,0,34,1,6,15,0,0,0,0,0,8,0,15,0,5,1,13,9,1,3,19,10
"Ant215",0,0,1,8,0,0,0,55,0,38,5,0,0,0,35,0,0,0,0,0,60,0,34,0,6,0,0,25,0,78,18,0,0,0,0,0,0,2,0,0,0,0,21,0
"Ant217",0,6,20,0,2,0,1,2,1,62,10,0,1,0,3,1,0,0,4,2,12,0,1,6,0,0,3,2,0,22,9,0,0,0,1,3,0,0,5,0,0,0,6,1
"Ant219",8,0,2,6,10,0,4,0,10,0,0,3,10,0,0,0,9,2,3,5,0,0,6,0,0,0,12,0,5,0,0,0,5,0,5,5,0,0,0,2,8,7,0,4
"Ant232",0,6,10,5,19,0,0,0,5,8,4,10,0,0,19,0,4,7,22,11,0,0,15,0,3,12,0,0,10,0,0,0,15,1,7,10,5,7,9,0,3,23,8,14
"Ant243",0,0,0,0,3,0,0,13,0,15,0,0,0,0,8,0,0,0,0,0,10,0,0,25,2,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,5,0
"Ant257",1,6,2,8,7,0,15,0,2,1,0,2,11,5,0,0,7,2,0,2,0,0,0,0,0,5,10,0,0,0,0,6,1,5,1,6,4,4,0,7,0,4,2,4
"Ant289",0,0,0,0,0,0,0,19,0,47,2,0,0,0,39,0,0,0,0,0,14,0,0,78,22,0,0,32,0,0,40,0,0,0,0,0,0,0,0,0,0,0,9,0
"Ant294",0,0,0,0,0,0,1,44,0,29,1,0,0,0,6,0,0,0,0,0,8,0,0,18,9,0,0,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant298",6,21,6,1,1,0,0,0,5,3,2,0,9,10,0,1,23,7,13,3,0,0,0,0,0,0,0,0,6,0,0,0,2,13,0,1,3,5,8,6,0,6,0,3
"Ant324",1,0,1,2,9,1,2,0,4,0,5,3,1,3,6,0,5,2,0,4,0,0,8,0,0,5,15,0,1,0,0,2,0,0,2,0,2,2,1,4,1,0,4,4
"Ant332",6,1,3,33,0,8,1,0,0,4,7,0,22,32,0,0,4,1,2,8,0,0,0,0,0,0,1,0,5,0,0,13,0,0,0,0,2,1,6,11,1,6,2,0
"Ant342",0,8,13,6,12,15,0,0,9,5,1,7,21,4,1,2,8,7,10,3,0,0,15,0,1,5,7,0,1,0,0,0,2,0,0,9,1,7,0,11,3,3,3,14
"Ant356",0,0,7,21,8,0,3,0,7,0,3,19,3,1,0,1,4,0,3,3,0,0,0,0,3,5,10,0,6,0,0,1,0,0,9,0,0,10,4,0,3,4,8,18
"Ant395",0,0,8,6,3,16,1,0,4,1,3,0,7,8,0,2,3,4,4,2,0,0,5,0,0,0,5,0,4,0,0,3,2,2,1,0,0,7,3,5,5,1,1,5
"Ant400",3,0,7,12,9,7,1,0,6,1,3,10,30,19,0,7,0,0,19,0,0,0,1,2,0,0,7,0,4,0,0,5,2,1,7,10,7,0,4,10,6,0,0,8
"Ant437",0,8,20,10,1,1,1,0,0,15,40,0,4,3,16,1,1,0,34,1,0,0,13,0,5,0,9,0,0,0,0,8,1,6,0,4,3,4,0,0,0,8,7,4
"Ant492",3,0,2,1,13,0,1,0,7,0,0,2,28,6,0,2,0,17,0,21,0,0,9,0,0,2,0,0,7,0,0,6,4,11,11,0,5,10,0,0,4,2,1,5
"Ant552",1,0,0,3,14,10,2,0,3,2,0,7,12,11,0,3,0,4,0,1,0,0,1,0,0,8,3,0,0,0,0,0,1,1,3,3,5,6,0,4,0,1,6,11
"Ant560",8,7,5,9,17,0,0,0,24,7,7,1,24,3,1,0,4,3,9,15,0,0,3,0,0,7,23,0,4,0,0,6,0,6,3,4,1,0,8,2,1,0,8,2
"Ant564",2,16,0,0,5,0,0,3,0,20,13,14,0,0,8,1,12,0,5,5,2,0,19,21,6,0,8,5,2,9,0,0,4,2,3,8,1,0,7,1,6,8,0,5
"Ant593",0,0,5,13,12,4,12,0,6,0,0,3,5,5,0,5,0,17,3,22,0,0,10,0,1,4,14,0,4,0,0,3,4,0,14,18,5,8,4,5,11,2,5,0
