"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,1,0,3,2,0,0,0,0,2,4,0,0,3,0,0,1,0,0,2,2,4,3,2,0,0,0,4,0,0
"Ant6",1,0,2,6,4,0,0,0,9,2,4,1,3,3,2,0,4,4,0,14,7,22,3,10,0,6,0,2,5,5
"Ant19",0,2,0,0,0,0,1,0,2,3,2,2,6,2,11,0,4,17,0,7,7,1,0,10,2,2,25,11,8,14
"Ant60",3,6,0,0,8,0,7,0,0,0,7,6,2,6,0,0,19,0,0,10,6,11,6,7,0,8,1,2,0,1
"Ant148",2,4,0,8,0,0,4,0,1,1,17,0,0,22,2,0,0,3,0,14,0,22,11,3,0,5,5,0,0,0
"Ant202",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0
"Ant209",0,0,1,7,4,0,0,0,5,0,13,0,0,1,1,0,0,1,0,1,1,8,3,1,0,0,3,0,0,2
"Ant268",0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,2,0,0,2,0,0
"Ant50",0,9,2,0,1,0,5,0,0,0,3,1,0,2,5,0,2,8,0,0,0,16,2,0,0,0,0,2,0,9
"Ant63",2,2,3,0,1,0,0,0,0,0,2,0,0,10,5,0,2,0,0,5,0,3,0,5,0,1,14,0,0,0
"Ant98",4,4,2,7,17,0,13,0,3,2,0,0,0,3,1,0,2,1,0,12,0,4,19,0,0,18,7,1,1,13
"Ant137",0,1,2,6,0,0,0,0,1,0,0,0,0,0,8,0,1,6,0,13,3,0,0,6,0,0,1,2,1,4
"Ant140",0,3,6,2,0,0,0,0,0,0,0,0,0,0,4,0,8,16,1,3,0,0,0,0,6,0,1,0,32,8
"Ant169",3,3,2,6,22,0,1,0,2,10,3,0,0,0,11,0,1,0,1,4,7,15,8,6,0,1,13,3,9,1
"Ant176",0,2,11,0,2,0,1,4,5,5,1,8,4,11,0,0,2,13,2,0,2,2,2,10,10,0,0,11,12,30
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",1,4,4,19,0,0,0,0,2,2,2,1,8,1,2,0,0,3,0,0,3,0,1,2,0,0,3,0,31,4
"Ant232",0,4,17,0,3,0,1,0,8,0,1,6,16,0,13,0,3,0,0,5,18,1,3,0,8,1,1,0,24,32
"Ant289",0,0,0,0,0,15,0,19,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3
"Ant298",2,14,7,10,14,0,1,0,0,5,12,13,3,4,0,0,0,5,0,0,2,4,2,2,0,16,2,2,1,0
"Ant324",2,7,7,6,0,0,1,0,0,0,0,3,0,7,2,0,3,18,0,2,0,5,0,5,0,0,11,17,7,1
"Ant332",4,22,1,11,22,0,8,0,16,3,4,0,0,15,2,0,0,1,0,4,5,0,14,3,0,7,2,0,0,0
"Ant356",3,3,0,6,11,0,3,0,2,0,19,0,0,8,2,0,1,3,0,2,0,14,0,7,0,9,0,1,0,0
"Ant400",2,10,10,7,3,0,1,0,0,5,0,6,0,6,10,0,2,0,0,2,5,3,7,0,0,11,4,0,2,6
"Ant437",0,0,2,0,0,2,0,2,0,0,0,0,6,0,10,0,0,8,11,0,0,0,0,0,0,0,0,0,2,2
"Ant492",0,6,2,8,5,0,0,0,0,1,18,0,0,1,0,0,0,1,0,16,0,7,9,11,0,0,0,0,0,0
"Ant552",0,0,25,1,5,0,3,0,0,14,7,1,1,13,0,0,3,1,0,2,11,2,0,4,0,0,0,1,0,0
"Ant560",4,2,11,2,0,0,0,2,2,0,1,2,0,3,11,0,0,0,0,2,17,0,1,0,0,0,1,0,14,12
"Ant564",0,5,8,0,0,0,0,0,0,0,1,1,32,9,12,0,31,24,0,1,7,0,0,2,2,0,0,14,0,9
"Ant593",0,5,14,1,0,0,2,0,9,0,13,4,8,1,30,0,4,32,3,0,1,0,0,6,2,0,0,12,9,0
