"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,0,3,1,3,0,18,0,0,0,5,4,4,3,0,0,0,0,1,5,0,0,6,2,4,6,0,2,2,5
"Ant6",0,0,14,1,0,0,0,6,0,1,0,13,6,1,0,0,8,2,2,6,0,23,4,15,2,4,0,3,18,0
"Ant19",3,14,0,2,9,0,0,0,6,20,5,2,10,16,0,0,11,7,2,10,6,7,0,3,7,5,13,3,9,15
"Ant60",1,1,2,0,9,0,0,0,7,2,7,3,0,1,0,0,12,0,0,8,0,0,12,0,0,22,8,0,2,13
"Ant148",3,0,9,9,0,0,0,0,1,0,3,4,0,11,0,0,0,0,0,4,1,0,13,0,2,10,3,1,0,5
"Ant202",0,0,0,0,0,0,0,20,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Ant209",18,0,0,0,0,0,0,0,2,0,0,15,0,4,0,0,0,3,1,4,0,2,0,19,0,0,0,1,0,0
"Ant268",0,6,0,0,0,20,0,0,0,1,2,0,8,0,14,0,6,7,5,0,0,1,0,0,0,0,0,2,9,0
"Ant50",0,0,6,7,1,0,2,0,0,0,12,1,0,4,0,0,0,3,1,13,3,2,10,7,5,3,3,0,17,6
"Ant63",0,1,20,2,0,0,0,1,0,0,1,0,0,12,0,0,4,4,4,9,0,2,0,0,2,0,0,8,6,12
"Ant98",5,0,5,7,3,0,0,2,12,1,0,0,2,1,0,0,0,0,0,17,0,0,1,4,6,1,3,0,3,3
"Ant137",4,13,2,3,4,0,15,0,1,0,0,0,0,0,0,0,3,0,0,4,0,3,1,7,0,0,1,0,0,2
"Ant140",4,6,10,0,0,0,0,8,0,0,2,0,0,2,0,0,8,24,3,6,4,2,0,12,3,4,0,9,8,4
"Ant169",3,1,16,1,11,0,4,0,4,12,1,0,2,0,0,0,10,1,0,17,1,0,4,10,0,9,4,0,12,0
"Ant176",0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",0,8,11,12,0,0,0,6,0,4,0,3,8,10,0,0,0,10,0,5,3,4,5,0,5,1,0,5,34,9
"Ant232",0,2,7,0,0,0,3,7,3,4,0,0,24,1,0,0,10,0,27,4,0,21,2,2,11,6,6,12,8,2
"Ant289",1,2,2,0,0,5,1,5,1,4,0,0,3,0,14,0,0,27,0,2,8,2,0,0,3,0,0,1,1,1
"Ant298",5,6,10,8,4,0,4,0,13,9,17,4,6,17,0,0,5,4,2,0,0,3,10,4,4,4,4,6,6,14
"Ant324",0,0,6,0,1,0,0,0,3,0,0,0,4,1,0,0,3,0,8,0,0,1,1,4,1,0,4,0,10,4
"Ant332",0,23,7,0,0,0,2,1,2,2,0,3,2,0,0,0,4,21,2,3,1,0,0,3,0,0,4,10,4,10
"Ant356",6,4,0,12,13,0,0,0,10,0,1,1,0,4,0,0,5,2,0,10,1,0,0,0,0,2,3,0,0,0
"Ant400",2,15,3,0,0,0,19,0,7,0,4,7,12,10,0,0,0,2,0,4,4,3,0,0,1,5,4,2,4,3
"Ant437",4,2,7,0,2,0,0,0,5,2,6,0,3,0,0,0,5,11,3,4,1,0,0,1,0,4,0,3,7,0
"Ant492",6,4,5,22,10,0,0,0,3,0,1,0,4,9,0,0,1,6,0,4,0,0,2,5,4,0,6,2,0,0
"Ant552",0,0,13,8,3,0,0,0,3,0,3,1,0,4,0,0,0,6,0,4,4,4,3,4,0,6,0,9,0,5
"Ant560",2,3,3,0,1,0,1,2,0,8,0,0,9,0,0,0,5,12,1,6,0,10,0,2,3,2,9,0,1,1
"Ant564",2,18,9,2,0,0,0,9,17,6,3,0,8,12,5,0,34,8,1,6,10,4,0,4,7,0,0,1,0,7
"Ant593",5,0,15,13,5,0,0,0,6,12,3,2,4,0,0,0,9,2,1,14,4,10,0,3,0,0,5,1,7,0
