"","Ant52","Ant6","Ant7","Ant19","Ant30","Ant60","Ant148","Ant202","Ant209","Ant268","Ant518","Ant32","Ant44","Ant50","Ant55","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,1,3,8,2,7,0,0,5,0,0,4,3,4,0,0,1,2,0,1,0,0,1,1,0,8,4,0,0,0,0,6,0,2,0,0,0,6,2,1,0,1,1,5
"Ant6",1,0,13,7,10,1,2,1,1,1,20,10,2,3,4,16,2,0,3,2,0,0,3,1,0,6,7,0,4,0,0,2,2,1,4,0,8,6,4,2,4,0,26,0
"Ant7",3,13,0,0,10,0,1,0,2,26,32,1,0,2,0,0,7,0,1,1,0,0,5,4,1,4,4,0,5,0,0,4,4,4,7,0,6,0,7,0,1,1,9,2
"Ant19",8,7,0,0,7,15,7,0,11,1,1,6,20,13,0,6,13,2,13,6,0,0,4,0,0,5,18,0,2,0,0,13,0,3,21,4,0,7,2,5,9,7,8,15
"Ant30",2,10,10,7,0,11,6,1,5,9,9,4,18,5,5,3,3,1,17,6,0,0,21,1,1,12,5,1,9,2,1,15,9,1,3,2,0,10,7,2,3,3,16,12
"Ant60",7,1,0,15,11,0,3,0,10,0,2,17,25,8,0,4,8,5,3,7,0,0,3,4,0,16,4,3,5,0,0,34,0,11,3,1,1,6,11,2,8,15,1,10
"Ant148",0,2,1,7,6,3,0,0,4,0,1,3,2,0,0,0,5,0,0,1,0,0,2,0,0,17,6,0,3,0,0,10,5,20,4,28,2,4,0,10,16,5,0,19
"Ant202",0,1,0,0,1,0,0,0,0,142,7,0,0,0,54,0,0,0,0,0,10,0,6,28,18,0,0,12,0,13,42,0,0,0,1,0,0,0,4,0,0,0,0,0
"Ant209",5,1,2,11,5,10,4,0,0,0,0,16,11,16,0,2,11,4,0,0,0,0,1,0,0,1,3,0,3,0,0,37,3,8,0,18,0,4,0,12,16,2,0,16
"Ant268",0,1,26,1,9,0,0,142,0,0,6,1,0,0,51,0,0,0,0,7,49,0,29,93,48,0,1,31,0,84,17,1,1,0,7,0,3,2,13,0,0,0,32,0
"Ant518",0,20,32,1,9,2,1,7,0,6,0,6,2,0,11,6,4,0,5,3,0,0,15,3,5,2,27,0,3,1,0,0,0,1,9,1,11,2,3,3,0,4,24,1
"Ant32",4,10,1,6,4,17,3,0,16,1,6,0,7,11,0,7,1,1,3,10,0,0,1,1,0,1,0,0,6,0,0,25,1,9,0,0,4,6,0,10,0,3,0,3
"Ant44",3,2,0,20,18,25,2,0,11,0,2,7,0,1,0,0,9,6,1,4,0,0,10,2,0,1,24,0,14,0,0,42,3,9,22,12,2,11,0,4,5,13,2,24
"Ant50",4,3,2,13,5,8,0,0,16,0,0,11,1,0,0,25,4,3,1,1,0,0,9,0,0,2,12,0,1,0,0,23,1,12,3,1,1,6,3,4,2,0,2,2
"Ant55",0,4,0,0,5,0,0,54,0,51,11,0,0,0,0,0,1,0,22,0,28,0,5,92,10,0,0,16,0,48,16,0,0,2,1,0,10,0,30,0,0,0,5,0
"Ant63",0,16,0,6,3,4,0,0,2,0,6,7,0,25,0,0,2,2,27,0,0,0,11,1,1,0,2,0,5,0,0,0,10,20,0,0,1,5,12,5,0,5,1,15
"Ant98",1,2,7,13,3,8,5,0,11,0,4,1,9,4,1,2,0,6,5,5,0,0,2,0,0,2,2,0,5,0,0,6,4,16,9,6,0,9,3,2,18,2,11,11
"Ant137",2,0,0,2,1,5,0,0,4,0,0,1,6,3,0,2,6,0,0,0,0,0,2,0,0,5,0,0,8,0,0,44,2,5,3,1,0,0,0,1,0,3,0,4
"Ant140",0,3,1,13,17,3,0,0,0,0,5,3,1,1,22,27,5,0,0,5,0,0,13,1,6,0,3,0,3,0,0,8,7,26,0,0,11,11,9,3,2,2,1,11
"Ant169",1,2,1,6,6,7,1,0,0,7,3,10,4,1,0,0,5,0,5,0,0,0,6,0,0,2,7,0,3,0,0,10,1,9,5,12,6,1,2,5,7,3,9,4
"Ant176",0,0,0,0,0,0,0,10,0,49,0,0,0,0,28,0,0,0,0,0,0,0,0,57,9,0,0,11,0,18,14,0,0,0,0,0,0,0,2,0,0,0,6,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",1,3,5,4,21,3,2,6,1,29,15,1,10,9,5,11,2,2,13,6,0,0,0,0,0,10,21,0,3,0,0,3,4,17,13,3,2,19,18,0,5,2,14,5
"Ant215",1,1,4,0,1,4,0,28,0,93,3,1,2,0,92,1,0,0,1,0,57,0,0,0,34,3,2,4,2,50,34,0,0,0,4,0,0,0,17,2,0,0,5,0
"Ant217",0,0,1,0,1,0,0,18,0,48,5,0,0,0,10,1,0,0,6,0,9,0,0,34,0,0,1,1,0,25,38,0,0,0,0,0,0,0,4,0,0,0,0,0
"Ant219",8,6,4,5,12,16,17,0,1,0,2,1,1,2,0,0,2,5,0,2,0,0,10,3,0,0,1,0,0,0,0,7,2,7,2,5,2,23,0,4,11,2,2,15
"Ant232",4,7,4,18,5,4,6,0,3,1,27,0,24,12,0,2,2,0,3,7,0,0,21,2,1,1,0,0,10,0,0,12,1,1,26,12,2,2,7,9,16,3,1,11
"Ant243",0,0,0,0,1,3,0,12,0,31,0,0,0,0,16,0,0,0,0,0,11,0,0,4,1,0,0,0,0,6,9,0,0,2,0,1,0,0,8,1,0,0,6,0
"Ant257",0,4,5,2,9,5,3,0,3,0,3,6,14,1,0,5,5,8,3,3,0,0,3,2,0,0,10,0,0,0,0,6,8,10,3,4,4,7,0,7,4,3,4,12
