"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,2,1,8,5,0,6,0,1,0,0,0,5,1,0,0,0,4,0,3,0,3,1,1,0,0,14,0,0,10
"Ant6",2,0,4,0,0,0,0,9,3,0,5,0,11,6,0,0,8,14,0,1,0,0,0,9,6,0,0,2,24,4
"Ant19",1,4,0,4,6,0,6,2,6,5,1,2,11,1,0,0,3,7,0,2,18,1,0,2,1,0,5,10,4,6
"Ant60",8,0,4,0,5,0,3,0,0,0,2,8,0,2,0,0,0,0,0,16,1,16,2,12,1,7,2,0,0,5
"Ant148",5,0,6,5,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,2,0,1,1,0,0,6,1,0,1,5
"Ant202",0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,59,0,0,0,0,0,1,0,0,0,0,0
"Ant209",6,0,6,3,1,0,0,0,0,8,6,9,0,3,0,0,1,0,0,13,1,4,1,1,0,2,0,0,0,1
"Ant268",0,9,2,0,0,7,0,0,4,0,0,0,2,0,1,0,6,6,2,0,0,0,0,1,7,0,0,2,1,0
"Ant50",1,3,6,0,0,0,0,4,0,2,0,0,11,1,1,0,7,20,0,0,4,0,0,0,4,0,0,0,8,1
"Ant63",0,0,5,0,0,0,8,0,2,0,3,0,0,3,0,0,0,2,0,2,0,0,6,0,2,0,0,3,0,0
"Ant98",0,5,1,2,6,0,6,0,0,3,0,3,0,3,0,0,5,3,0,17,0,3,6,1,0,9,2,1,10,4
"Ant137",0,0,2,8,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,21,0,2,1,3,0,2,0,0,0,6
"Ant140",5,11,11,0,0,0,0,2,11,0,0,0,0,1,3,0,4,4,0,0,0,0,0,2,30,0,0,0,29,0
"Ant169",1,6,1,2,1,0,3,0,1,3,3,3,1,0,0,0,3,1,0,2,14,0,1,33,0,8,3,3,0,2
"Ant176",0,0,0,0,0,2,0,1,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",0,8,3,0,0,0,1,6,7,0,5,0,4,3,0,0,0,24,0,6,8,0,0,0,1,0,0,8,8,4
"Ant232",4,14,7,0,0,0,0,6,20,2,3,0,4,1,0,0,24,0,0,2,0,0,0,0,8,0,1,5,5,0
"Ant289",0,0,0,0,0,59,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Ant298",3,1,2,16,2,0,13,0,0,2,17,21,0,2,0,0,6,2,0,0,0,7,15,7,0,23,7,2,0,2
"Ant324",0,0,18,1,0,0,1,0,4,0,0,0,0,14,0,0,8,0,0,0,0,0,0,8,0,2,1,4,7,2
"Ant332",3,0,1,16,1,0,4,0,0,0,3,2,0,0,0,0,0,0,0,7,0,0,15,0,0,0,26,0,0,5
"Ant356",1,0,0,2,1,0,1,0,0,6,6,1,0,1,0,0,0,0,0,15,0,15,0,4,2,0,0,0,0,2
"Ant400",1,9,2,12,0,0,1,1,0,0,1,3,2,33,0,0,0,0,0,7,8,0,4,0,1,0,0,3,3,1
"Ant437",0,6,1,1,0,1,0,7,4,2,0,0,30,0,1,0,1,8,2,0,0,0,2,1,0,3,0,3,21,2
"Ant492",0,0,0,7,6,0,2,0,0,0,9,2,0,8,0,0,0,0,0,23,2,0,0,0,3,0,1,2,0,2
"Ant552",14,0,5,2,1,0,0,0,0,0,2,0,0,3,0,0,0,1,0,7,1,26,0,0,0,1,0,0,0,2
"Ant560",0,2,10,0,0,0,0,2,0,3,1,0,0,3,0,0,8,5,0,2,4,0,0,3,3,2,0,0,1,2
"Ant564",0,24,4,0,1,0,0,1,8,0,10,0,29,0,0,0,8,5,0,0,7,0,0,3,21,0,0,1,0,7
"Ant593",10,4,6,5,5,0,1,0,1,0,4,6,0,2,0,0,4,0,0,2,2,5,2,1,2,2,2,2,7,0
