"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,2,2,2,3,0,14,0,2,2,0,7,0,0,0,0,3,1,0,1,0,6,22,0,0,1,6,0,0,4
"Ant6",2,0,4,2,4,0,9,0,14,12,5,2,5,2,0,0,5,17,2,0,2,7,1,0,0,1,0,10,12,1
"Ant19",2,4,0,0,1,1,3,5,0,0,0,3,0,2,0,0,2,3,7,1,3,1,1,29,42,2,0,1,5,0
"Ant60",2,2,0,0,10,0,1,0,9,0,16,13,12,11,0,0,4,0,0,41,0,0,1,6,0,4,14,5,0,3
"Ant148",3,4,1,10,0,0,0,0,5,1,2,2,2,4,0,0,13,1,3,0,0,3,10,3,0,0,0,13,3,7
"Ant202",0,0,1,0,0,0,0,1,0,0,0,0,0,0,57,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
"Ant209",14,9,3,1,0,0,0,0,0,0,14,2,0,3,0,0,8,23,0,31,0,0,0,0,0,1,0,0,0,3
"Ant268",0,0,5,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
"Ant50",2,14,0,9,5,0,0,0,0,5,2,15,11,15,0,0,2,3,0,11,1,2,0,6,0,0,15,4,1,2
"Ant63",2,12,0,0,1,0,0,0,5,0,5,2,4,0,0,0,1,4,0,10,2,5,1,0,2,0,0,4,10,1
"Ant98",0,5,0,16,2,0,14,0,2,5,0,5,12,1,0,0,1,1,0,8,0,0,6,8,2,15,1,5,0,1
"Ant137",7,2,3,13,2,0,2,0,15,2,5,0,8,0,0,0,0,3,0,1,6,15,0,0,0,15,5,2,5,16
"Ant140",0,5,0,12,2,0,0,0,11,4,12,8,0,22,0,0,19,0,0,7,0,0,0,17,0,0,0,10,0,4
"Ant169",0,2,2,11,4,0,3,0,15,0,1,0,22,0,0,0,2,0,0,19,0,0,2,2,1,0,2,0,1,8
"Ant176",0,0,0,0,0,57,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",3,5,2,4,13,0,8,0,2,1,1,0,19,2,0,0,0,1,2,5,7,0,5,1,5,0,3,8,8,12
"Ant232",1,17,3,0,1,0,23,0,3,4,1,3,0,0,0,0,1,0,0,0,9,6,8,1,2,1,0,4,9,0
"Ant289",0,2,7,0,3,8,0,6,0,0,0,0,0,0,2,0,2,0,0,0,15,0,3,3,7,3,0,0,13,0
"Ant298",1,0,1,41,0,0,31,0,11,10,8,1,7,19,0,0,5,0,0,0,7,5,8,1,0,8,12,0,1,1
"Ant324",0,2,3,0,0,0,0,0,1,2,0,6,0,0,0,0,7,9,15,7,0,2,0,0,2,2,0,2,9,4
"Ant332",6,7,1,0,3,0,0,0,2,5,0,15,0,0,0,0,0,6,0,5,2,0,1,0,1,0,6,10,10,0
"Ant356",22,1,1,1,10,0,0,0,0,1,6,0,0,2,0,0,5,8,3,8,0,1,0,0,0,0,4,1,0,1
"Ant400",0,0,29,6,3,0,0,0,6,0,8,0,17,2,0,0,1,1,3,1,0,0,0,0,1,2,0,5,1,5
"Ant437",0,0,42,0,0,5,0,5,0,2,2,0,0,1,0,0,5,2,7,0,2,1,0,1,0,1,0,0,26,5
"Ant492",1,1,2,4,0,0,1,0,0,0,15,15,0,0,0,0,0,1,3,8,2,0,0,2,1,0,0,2,1,7
"Ant552",6,0,0,14,0,0,0,0,15,0,1,5,0,2,0,0,3,0,0,12,0,6,4,0,0,0,0,2,0,0
"Ant560",0,10,1,5,13,0,0,0,4,4,5,2,10,0,0,0,8,4,0,0,2,10,1,5,0,2,2,0,8,28
"Ant564",0,12,5,0,3,0,0,0,1,10,0,5,0,1,0,0,8,9,13,1,9,10,0,1,26,1,0,8,0,8
"Ant593",4,1,0,3,7,0,3,0,2,1,1,16,4,8,0,0,12,0,0,1,4,0,1,5,5,7,0,28,8,0
