"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,1,10,15,15,0,11,0,0,3,2,0,0,7,0,0,1,0,0,28,1,2,15,7,0,17,0,2,0,7
"Ant6",1,0,7,3,0,1,2,0,26,5,1,12,15,0,0,0,2,15,7,0,1,14,0,0,14,0,6,1,1,8
"Ant19",10,7,0,13,4,1,9,0,6,2,7,0,0,25,0,0,16,4,0,9,4,23,0,14,3,10,1,28,10,8
"Ant60",15,3,13,0,1,0,19,0,14,16,3,0,0,0,0,0,4,0,0,17,0,14,7,2,4,1,3,6,0,6
"Ant148",15,0,4,1,0,0,4,0,0,3,2,0,0,7,0,0,13,0,0,3,3,7,0,1,0,1,1,5,3,0
"Ant202",0,1,1,0,0,0,0,1,0,0,0,0,5,0,23,0,2,0,13,1,0,0,0,0,8,0,0,0,6,0
"Ant209",11,2,9,19,4,0,0,0,0,0,5,0,0,10,0,0,3,0,0,17,0,7,1,4,5,5,0,9,2,6
"Ant268",0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,16,0,1,0,0,0,0,0,0,0,2,0
"Ant50",0,26,6,14,0,0,0,0,0,0,6,0,19,0,0,0,0,13,0,1,0,11,0,0,3,0,0,1,3,1
"Ant63",3,5,2,16,3,0,0,0,0,0,4,0,0,5,0,0,0,1,0,6,0,0,7,16,0,2,0,0,0,0
"Ant98",2,1,7,3,2,0,5,0,6,4,0,1,1,2,0,0,1,7,3,10,2,20,8,2,3,5,4,2,0,10
"Ant137",0,12,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,6,5,0,0,4,0,0,2,0,13,0,0,0
"Ant140",0,15,0,0,0,5,0,0,19,0,1,13,0,2,0,0,0,56,3,0,3,2,0,0,11,0,2,0,9,0
"Ant169",7,0,25,0,7,0,10,0,0,5,2,0,2,0,0,0,17,28,0,3,0,19,2,2,4,1,0,16,2,1
"Ant176",0,0,0,0,0,23,0,24,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",1,2,16,4,13,2,3,0,0,0,1,0,0,17,0,0,0,8,0,9,12,1,1,5,5,8,7,5,21,0
"Ant232",0,15,4,0,0,0,0,0,13,1,7,6,56,28,0,0,8,0,2,3,4,11,0,0,7,0,5,1,11,1
"Ant289",0,7,0,0,0,13,0,16,0,0,3,5,3,0,7,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0
"Ant298",28,0,9,17,3,1,17,0,1,6,10,0,0,3,0,0,9,3,0,0,0,4,4,9,7,29,1,2,0,7
"Ant324",1,1,4,0,3,0,0,1,0,0,2,0,3,0,0,0,12,4,0,0,0,1,0,0,3,2,2,4,8,0
"Ant332",2,14,23,14,7,0,7,0,11,0,20,4,2,19,0,0,1,11,0,4,1,0,0,8,11,1,0,9,3,2
"Ant356",15,0,0,7,0,0,1,0,0,7,8,0,0,2,0,0,1,0,0,4,0,0,0,3,1,13,0,1,0,1
"Ant400",7,0,14,2,1,0,4,0,0,16,2,0,0,2,0,0,5,0,0,9,0,8,3,0,5,1,0,2,1,7
"Ant437",0,14,3,4,0,8,5,0,3,0,3,2,11,4,0,0,5,7,3,7,3,11,1,5,0,3,2,4,5,3
"Ant492",17,0,10,1,1,0,5,0,0,2,5,0,0,1,0,0,8,0,0,29,2,1,13,1,3,0,4,6,1,1
"Ant552",0,6,1,3,1,0,0,0,0,0,4,13,2,0,0,0,7,5,0,1,2,0,0,0,2,4,0,6,10,2
"Ant560",2,1,28,6,5,0,9,0,1,0,2,0,0,16,0,0,5,1,0,2,4,9,1,2,4,6,6,0,3,1
"Ant564",0,1,10,0,3,6,2,2,3,0,0,0,9,2,3,0,21,11,2,0,8,3,0,1,5,1,10,3,0,2
"Ant593",7,8,8,6,0,0,6,0,1,0,10,0,0,1,0,0,0,1,0,7,0,2,1,7,3,1,2,1,2,0
