"","Ant52","Ant6","Ant19","Ant60","Ant148","Ant202","Ant209","Ant268","Ant50","Ant63","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant232","Ant289","Ant298","Ant324","Ant332","Ant356","Ant400","Ant437","Ant492","Ant552","Ant560","Ant564","Ant593"
"Ant52",0,0,0,0,4,0,14,0,6,0,0,4,1,0,0,0,1,0,0,5,1,0,1,1,0,5,0,0,0,0
"Ant6",0,0,13,4,2,0,7,1,2,7,6,0,2,2,0,0,6,7,4,9,0,1,2,0,22,8,0,0,11,18
"Ant19",0,13,0,1,7,0,5,2,4,20,9,3,3,10,0,0,5,4,8,10,5,15,0,9,8,11,1,12,5,9
"Ant60",0,4,1,0,3,0,11,0,9,29,4,12,2,5,0,0,5,4,0,12,5,0,0,4,3,8,12,5,0,3
"Ant148",4,2,7,3,0,0,4,0,1,0,9,19,0,3,0,0,3,1,1,7,1,8,9,11,1,2,16,0,0,4
"Ant202",0,0,0,0,0,0,0,21,0,0,0,0,0,0,33,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
"Ant209",14,7,5,11,4,0,0,0,2,0,2,7,2,8,0,0,10,2,0,11,2,2,22,8,0,6,1,8,1,9
"Ant268",0,1,2,0,0,21,0,0,0,2,3,0,0,0,10,0,1,8,2,3,9,9,0,2,22,0,0,3,18,0
"Ant50",6,2,4,9,1,0,2,0,0,0,2,10,0,3,0,0,4,0,0,21,4,0,0,0,1,3,0,0,0,1
"Ant63",0,7,20,29,0,0,0,2,0,0,22,0,1,0,0,0,0,2,0,3,1,0,0,4,1,4,0,6,1,19
"Ant98",0,6,9,4,9,0,2,3,2,22,0,7,0,2,0,0,4,1,5,9,0,0,6,34,2,6,12,1,0,0
"Ant137",4,0,3,12,19,0,7,0,10,0,7,0,0,3,0,0,5,1,1,12,0,0,19,0,1,8,17,0,0,9
"Ant140",1,2,3,2,0,0,2,0,0,1,0,0,0,1,0,0,9,23,12,0,7,8,4,6,0,13,0,2,0,1
"Ant169",0,2,10,5,3,0,8,0,3,0,2,3,1,0,0,0,8,4,5,5,2,10,13,1,6,16,2,10,12,10
"Ant176",0,0,0,0,0,33,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Ant178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant195",1,6,5,5,3,0,10,1,4,0,4,5,9,8,0,0,0,4,8,4,15,1,5,1,5,4,9,8,11,11
"Ant232",0,7,4,4,1,0,2,8,0,2,1,1,23,4,0,0,4,0,6,0,3,4,0,11,23,0,0,0,16,5
"Ant289",0,4,8,0,1,4,0,2,0,0,5,1,12,5,3,0,8,6,0,1,3,1,0,0,3,2,0,3,21,3
"Ant298",5,9,10,12,7,0,11,3,21,3,9,12,0,5,0,0,4,0,1,0,5,5,22,0,1,44,16,1,3,9
"Ant324",1,0,5,5,1,0,2,9,4,1,0,0,7,2,0,0,15,3,3,5,0,6,2,0,0,4,0,7,17,9
"Ant332",0,1,15,0,8,0,2,9,0,0,0,0,8,10,0,0,1,4,1,5,6,0,5,0,13,6,6,7,11,20
"Ant356",1,2,0,0,9,0,22,0,0,0,6,19,4,13,0,0,5,0,0,22,2,5,0,0,0,21,3,2,0,10
"Ant400",1,0,9,4,11,0,8,2,0,4,34,0,6,1,0,0,1,11,0,0,0,0,0,0,0,0,1,2,1,3
"Ant437",0,22,8,3,1,0,0,22,1,1,2,1,0,6,0,0,5,23,3,1,0,13,0,0,0,5,1,1,13,12
"Ant492",5,8,11,8,2,0,6,0,3,4,6,8,13,16,0,0,4,0,2,44,4,6,21,0,5,0,11,1,0,28
"Ant552",0,0,1,12,16,0,1,0,0,0,12,17,0,2,0,0,9,0,0,16,0,6,3,1,1,11,0,1,1,6
"Ant560",0,0,12,5,0,0,8,3,0,6,1,0,2,10,0,0,8,0,3,1,7,7,2,2,1,1,1,0,6,1
"Ant564",0,11,5,0,0,1,1,18,0,1,0,0,0,12,0,0,11,16,21,3,17,11,0,1,13,0,1,6,0,4
"Ant593",0,18,9,3,4,0,9,0,1,19,0,9,1,10,0,0,11,5,3,9,9,20,10,3,12,28,6,1,4,0
