"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,18,6,3,4,2,5,12,0,5,6,2,5,2,1,4,2,4,9,1,11,12,2,4,1,7,0,6,2,0,2,0,2,2,7,1,1,1,11,3,1,2,12,0,6,1,2,0,1,4,4,3,3,0,3,14,3,2,2,0,24,0,6,10,0,6,6,21,5,0,5,0,2,5,15,0,1,10,5,1,2,4,5,0,0,4,8,2,7,0,1,6,10,0,14,5
"Ant260",18,0,1,5,7,3,31,13,18,23,24,27,28,26,26,18,2,16,9,3,25,18,26,9,1,1,5,5,9,0,22,0,7,2,5,8,7,1,36,11,3,29,9,4,0,0,4,6,0,0,0,0,1,0,1,8,0,8,0,0,8,0,13,74,2,2,73,27,33,1,7,4,2,22,45,0,1,1,1,0,6,6,2,1,17,24,5,16,27,17,8,7,7,24,11,2
"Ant52",6,1,0,2,0,5,4,2,0,1,0,2,0,1,3,3,7,17,0,2,0,6,0,4,14,17,0,0,1,0,1,0,0,6,3,2,0,0,3,6,0,0,10,6,4,6,0,0,7,8,5,0,7,0,6,2,5,5,1,0,8,5,2,2,6,3,0,2,5,0,0,0,0,6,2,0,5,2,3,6,2,4,2,1,0,1,8,2,11,0,0,11,6,2,12,0
"Ant540",3,5,2,0,0,6,3,0,0,1,0,2,1,2,2,2,0,7,0,5,1,6,0,1,1,9,1,0,1,0,1,0,1,7,9,1,0,0,1,1,0,0,9,2,4,6,3,0,7,6,0,5,2,0,4,13,8,2,1,0,8,0,5,3,1,0,2,4,0,0,1,0,0,5,0,0,4,0,1,3,5,1,16,2,0,3,9,0,2,0,0,0,2,1,3,0
"Ant6",4,7,0,0,0,1,3,8,51,19,3,9,13,25,28,21,0,0,69,0,3,7,23,4,0,1,18,7,1,15,0,28,19,0,1,0,17,19,20,0,21,13,2,0,0,0,41,34,0,0,0,0,0,4,0,0,0,0,0,19,0,0,5,4,0,2,11,10,6,75,18,27,20,0,18,47,0,8,0,0,0,0,0,0,11,1,0,43,0,11,29,1,0,38,1,1
"Ant7",2,3,5,6,1,0,1,2,0,0,2,5,0,1,2,1,0,5,1,1,0,4,2,13,3,1,0,2,16,0,4,0,0,1,3,4,1,0,6,0,1,2,1,5,1,2,0,0,5,6,3,0,6,0,0,7,4,2,0,0,0,0,2,0,12,2,0,3,2,0,2,0,2,3,0,0,0,5,0,3,1,4,3,1,0,1,2,0,1,0,0,5,3,2,8,7
"Ant19",5,31,4,3,3,1,0,6,0,5,11,13,2,11,15,6,0,4,10,5,19,13,13,3,2,12,0,0,6,0,2,0,1,0,14,5,9,0,5,17,8,9,24,2,5,1,15,1,4,2,4,1,0,0,2,15,5,11,0,0,7,0,38,22,2,1,27,4,6,0,1,6,3,8,4,0,0,12,0,0,18,4,5,0,0,6,6,3,1,0,5,0,5,1,6,0
"Ant26",12,13,2,0,8,2,6,0,13,2,11,10,9,6,6,4,1,1,19,1,11,11,6,4,2,12,1,4,4,0,10,0,0,1,13,1,4,1,14,1,4,14,18,1,0,4,3,5,3,0,0,4,0,0,0,8,1,1,0,0,4,0,19,29,1,3,12,15,17,0,6,0,10,11,7,0,0,3,0,3,2,2,1,0,4,13,3,11,6,11,0,2,4,11,15,19
"Ant30",0,18,0,0,51,0,0,13,0,23,2,11,15,21,47,15,0,0,94,0,19,13,19,1,0,0,14,17,1,27,0,27,52,0,1,0,11,16,23,4,21,12,1,0,1,0,49,19,1,0,0,0,0,16,0,0,0,0,0,17,0,0,0,23,0,0,25,16,21,45,19,34,28,2,14,47,0,0,0,0,0,0,0,0,36,3,0,20,0,19,55,0,0,53,10,0
"Ant38",5,23,1,1,19,0,5,2,23,0,11,18,15,21,26,10,0,6,40,4,13,16,8,6,0,5,8,8,4,3,10,21,19,0,5,2,5,18,13,1,17,22,4,1,0,1,36,36,3,0,0,3,1,3,0,2,4,5,1,7,4,0,8,19,2,3,5,6,16,30,0,16,26,6,24,17,0,6,0,0,5,1,4,8,13,3,1,24,3,22,16,1,0,24,8,6
