"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,4,3,3,0,3,17,13,7,3,3,7,9,6,0,5,7,8,1,10,7,12,1,4,0,8,4,3,1,4,5,0,2,4,11,1,7,9,0,1,2,3,5,5,8,0,0,2,19,4,1,0,4,0,3,0,3,7,0,0,0,0,18,0,2,0,3,4,1,0,2,19,1,1,1,3,1,1,2,1,1,7,2,7,4,11,3,3,6,17,0,4,6,7,5,2
"Ant260",4,0,1,3,20,1,25,9,123,54,5,35,34,21,0,22,2,7,8,1,31,23,10,10,0,4,17,33,2,40,3,7,4,1,5,4,16,14,9,2,33,57,3,1,3,0,48,15,5,3,7,2,0,10,3,4,1,1,1,41,11,0,5,0,3,4,65,14,31,5,15,37,81,0,5,8,0,5,1,4,2,3,1,4,31,31,4,18,0,90,15,5,4,33,10,7
"Ant52",3,1,0,4,0,1,6,4,0,3,3,2,0,1,0,5,19,8,0,1,0,2,0,8,0,2,0,4,6,0,4,0,3,12,1,1,5,3,0,0,5,3,1,4,7,8,0,0,2,10,1,6,3,0,0,2,4,3,12,0,8,8,6,0,8,5,0,0,5,0,4,2,0,1,0,0,2,0,16,4,0,2,5,4,1,0,7,4,0,6,0,11,9,0,7,7
"Ant540",3,3,4,0,2,3,0,4,1,0,5,1,1,11,0,3,1,18,1,2,1,5,3,8,1,8,7,1,10,0,6,6,0,2,4,4,3,0,1,3,2,3,4,2,3,1,0,0,0,2,0,5,3,0,8,0,8,14,1,3,8,2,7,0,22,0,1,2,2,0,1,1,0,0,1,5,0,7,0,4,4,2,7,0,1,1,22,0,4,0,0,0,7,1,10,6
"Ant6",0,20,0,2,0,1,0,12,12,33,0,16,19,4,23,3,0,3,1,1,5,5,12,2,0,1,20,5,0,21,0,27,13,0,0,0,1,16,10,0,25,1,0,0,1,0,44,20,6,1,0,0,0,7,0,6,0,3,1,7,0,0,6,24,0,0,8,4,3,38,1,2,2,9,16,43,0,5,0,0,0,0,0,0,14,0,1,15,0,17,9,0,0,8,0,1
"Ant7",3,1,1,3,1,0,0,0,0,3,0,1,0,7,0,2,2,11,2,0,0,4,2,8,6,0,2,0,4,3,1,1,0,0,3,2,0,0,0,0,2,0,3,13,9,0,0,1,1,6,3,1,0,1,6,8,1,5,0,1,6,3,0,0,9,4,0,0,6,0,0,1,1,3,1,0,2,2,0,0,0,5,0,0,1,3,9,3,0,7,2,1,6,3,2,1
"Ant19",17,25,6,0,0,0,0,7,16,13,6,12,3,5,0,4,3,9,12,0,21,9,9,4,0,4,6,23,2,17,1,0,0,0,8,1,23,7,1,4,0,4,2,12,8,0,5,1,2,0,0,0,0,3,6,3,3,8,2,14,1,1,6,0,0,5,1,11,1,0,1,7,8,0,2,2,0,21,0,2,4,4,0,5,5,14,3,6,7,6,4,0,8,6,3,3
"Ant26",13,9,4,4,12,0,7,0,16,19,7,11,8,3,0,8,0,16,9,3,13,9,8,3,1,3,7,14,12,7,2,0,3,1,3,0,19,5,0,4,15,10,10,0,0,1,3,5,23,3,0,0,0,4,0,4,3,2,0,9,0,0,5,0,0,9,4,8,9,1,8,2,1,11,12,3,0,7,0,2,2,5,0,3,9,11,2,2,6,20,0,0,4,13,5,6
"Ant30",7,123,0,1,12,0,16,16,0,26,2,18,11,14,5,12,0,4,47,0,15,29,17,4,0,0,16,20,1,8,0,5,11,0,0,2,17,12,10,6,10,10,4,1,2,0,38,27,21,1,0,1,0,6,0,14,1,0,0,44,0,0,21,3,0,12,12,11,32,8,6,9,11,0,10,9,0,11,0,0,0,2,0,8,10,24,0,13,0,34,42,0,3,39,0,4
"Ant38",3,54,3,0,33,3,13,19,26,0,5,24,6,12,19,5,2,6,14,6,12,24,16,7,0,8,20,26,10,12,2,13,35,0,7,0,16,9,12,3,15,13,5,1,1,0,35,18,9,2,1,0,0,11,2,3,4,7,1,11,2,0,6,13,2,2,24,3,12,16,3,10,21,6,8,32,0,1,1,2,0,2,0,1,22,8,5,16,6,39,12,2,3,10,2,3
"Ant60",3,5,3,5,0,0,6,7,2,5,0,13,1,9,0,4,3,6,3,0,3,7,7,3,1,1,10,13,10,4,0,1,1,4,5,0,3,1,0,0,3,1,6,4,1,3,2,5,2,1,1,3,0,0,5,0,3,5,0,3,1,0,5,0,2,2,1,0,5,2,3,5,5,0,3,2,4,2,1,0,4,2,0,13,3,6,5,3,1,4,3,3,0,11,4,0
"Ant64",7,35,2,1,16,1,12,11,18,24,13,0,6,4,0,7,8,12,28,8,17,15,8,2,2,4,8,23,2,20,6,1,6,1,4,1,26,3,2,3,10,16,11,0,4,1,2,17,1,1,5,5,0,1,4,1,8,22,1,14,2,2,9,0,12,14,20,6,26,0,3,7,16,0,3,17,1,5,0,1,3,9,4,3,19,3,5,16,3,1,2,2,24,11,6,0
