"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,3,0,2,0,5,5,5,0,4,4,15,4,3,0,13,2,3,4,6,7,0,5,4,0,3,0,5,2,9,8,0,6,1,4,0,0,6,0,3,0,8,7,2,9,0,3,5,9,2,1,2,0,0,2,16,2,2,0,0,3,0,11,0,0,1,0,8,3,0,1,2,0,1,1,0,3,9,1,1,6,3,1,8,0,9,11,5,4,0,1,2,7,3,5,1
"Ant260",3,0,2,4,32,0,4,10,60,33,0,40,187,10,0,8,4,3,27,3,9,8,2,2,3,6,2,8,4,77,2,11,16,1,11,2,10,11,62,8,17,19,6,0,5,0,12,29,2,1,0,2,2,0,0,7,10,0,0,32,5,4,3,34,1,17,22,21,11,9,14,15,0,5,6,1,0,0,0,1,0,2,0,18,62,12,7,37,3,0,7,1,2,50,6,0
"Ant52",0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,10,6,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,5,1,1,2,0,0,1,11,2,1,16,0,5,0,5,11,0,0,8,11,0,0,2,8,0,0,0,0,0,0,0,0,1,1,13,0,9,4,2,3,3,1,0,0,7,0,0,0,0,5,8,2,3,8
"Ant540",2,4,2,0,5,0,2,5,0,5,4,2,2,1,0,1,5,18,0,8,2,5,0,20,2,15,1,2,4,2,6,0,2,0,1,1,3,2,0,2,1,3,5,11,2,3,0,5,5,12,11,1,9,0,1,0,4,12,5,1,2,0,0,0,4,5,0,0,0,0,3,3,0,0,1,0,5,1,1,12,4,2,8,7,0,18,8,0,8,0,1,7,8,2,9,2
"Ant6",0,32,0,5,0,0,2,0,24,17,6,16,1,10,6,2,0,1,2,0,1,10,15,0,0,0,21,1,0,26,0,6,11,1,1,0,3,8,6,1,19,6,0,4,1,0,42,22,3,0,0,0,0,11,0,10,1,0,2,20,3,0,4,10,0,0,23,3,2,74,2,0,9,0,4,86,0,0,0,0,0,0,0,9,9,2,0,16,0,22,14,0,1,22,1,1
"Ant7",5,0,0,0,0,0,0,13,1,0,2,11,1,2,0,5,3,6,3,2,6,3,1,1,2,3,1,1,3,0,3,0,6,1,10,0,2,1,1,1,1,0,0,0,7,1,2,1,0,3,1,5,2,0,0,4,16,6,0,0,2,1,9,1,0,4,1,7,5,0,2,0,0,3,2,0,4,10,0,1,2,5,1,10,0,2,5,0,10,0,0,0,12,2,4,4
"Ant19",5,4,0,2,2,0,0,6,0,16,16,15,2,1,0,6,0,3,8,11,1,4,0,2,0,2,7,2,5,1,11,0,2,0,4,1,2,14,7,3,7,8,11,0,4,0,7,6,0,0,0,0,1,0,0,8,5,12,0,5,3,1,3,1,1,0,0,17,7,0,5,8,0,3,9,1,3,1,0,2,7,5,1,1,7,1,4,0,4,0,3,0,6,4,6,0
"Ant26",5,10,0,5,0,13,6,0,30,11,2,7,25,7,0,9,1,10,4,1,14,8,4,1,0,2,3,2,3,6,3,7,4,2,7,1,4,3,7,0,0,4,6,5,1,0,11,11,0,1,1,0,1,0,0,16,4,7,0,0,2,1,20,8,2,3,6,2,4,0,6,9,0,3,10,3,0,4,0,0,2,6,4,6,2,3,2,23,2,0,0,2,7,3,0,1
"Ant30",0,60,0,0,24,1,0,30,0,10,5,6,11,5,14,7,0,1,0,0,6,4,26,0,0,0,12,1,0,22,0,9,11,0,4,0,4,10,16,0,20,1,0,0,2,0,29,18,2,0,1,0,0,9,0,5,0,0,0,10,1,0,0,11,0,0,33,5,7,23,1,2,8,1,19,46,0,13,0,0,0,3,0,3,14,0,0,25,3,43,29,0,0,18,0,0
"Ant38",4,33,0,5,17,0,16,11,10,0,5,23,23,14,0,0,0,4,23,0,5,14,5,3,1,2,20,12,8,8,3,6,23,2,2,1,12,10,23,4,7,10,2,3,1,2,31,15,4,3,4,3,0,0,2,6,6,7,2,14,2,1,6,14,1,8,3,9,15,8,3,20,10,1,11,11,3,7,0,3,3,2,0,4,12,10,3,9,1,3,6,1,0,29,3,2
