"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,4,5,3,10,2,4,3,5,6,4,9,0,4,0,13,4,3,15,0,1,16,6,3,3,6,11,0,14,1,1,2,0,2,9,1,5,0,1,1,3,4,14,0,3,3,8,2,1,0,2,2,1,0,3,5,10,8,2,0,1,5,4,0,3,1,0,16,4,0,1,4,0,1,10,0,2,16,2,2,0,2,7,11,1,5,2,6,4,0,7,1,6,5,4,2
"Ant260",4,0,4,4,123,5,2,22,103,51,7,62,0,18,0,12,3,14,9,2,4,10,27,20,7,6,0,11,10,6,4,1,9,4,1,0,19,23,1,8,9,7,44,9,8,0,2,16,2,2,1,7,2,1,1,5,3,4,4,0,15,0,6,0,2,2,41,29,32,0,31,92,0,1,20,10,2,5,0,1,4,13,7,5,12,29,6,5,1,0,31,2,3,14,12,8
"Ant52",5,4,0,5,0,7,4,2,0,1,4,1,0,0,0,6,12,1,2,8,0,2,0,12,3,0,0,3,5,1,4,0,0,4,4,16,2,1,2,2,0,1,12,9,5,6,0,0,3,8,11,3,9,0,29,16,4,7,7,0,4,28,2,0,16,0,1,0,2,0,3,1,0,3,1,0,9,5,3,2,5,0,7,3,4,4,11,0,7,0,1,19,8,1,5,4
"Ant540",3,4,5,0,2,4,4,8,0,3,1,1,0,1,0,3,4,12,1,1,0,4,3,8,2,1,0,7,2,1,8,0,2,0,0,3,1,0,0,1,2,2,6,9,6,0,4,0,5,4,2,4,5,0,3,4,0,4,1,0,7,0,2,0,2,11,1,9,1,0,2,0,0,0,2,1,0,5,1,1,5,1,7,1,1,1,0,0,7,0,4,7,9,0,8,12
"Ant6",10,123,0,2,0,3,0,8,127,72,13,136,5,27,14,21,1,6,28,1,6,21,34,1,1,2,23,20,11,29,3,21,21,0,3,4,10,27,23,0,48,9,20,1,4,0,65,25,12,2,4,1,0,16,8,1,4,2,2,26,14,1,7,12,0,12,33,12,17,67,17,40,28,0,16,227,1,18,1,1,4,1,4,1,20,56,0,29,2,15,25,1,3,154,4,8
"Ant7",2,5,7,4,3,0,1,0,0,1,0,2,0,1,0,2,4,3,5,1,0,0,0,6,0,7,0,2,12,0,5,0,5,0,2,5,5,0,0,3,2,2,0,0,2,4,1,0,3,1,7,0,1,1,9,0,9,7,0,0,2,5,3,0,6,8,0,1,3,0,2,2,0,0,9,0,3,13,0,3,4,1,9,7,0,0,3,0,0,0,1,2,0,0,3,7
"Ant19",4,2,4,4,0,1,0,9,4,7,7,0,0,3,0,13,2,10,9,1,5,21,2,14,0,7,0,3,9,0,0,3,1,0,5,1,15,3,7,6,3,0,13,6,5,1,3,3,4,3,0,1,0,0,2,2,6,11,5,1,3,0,4,0,4,3,1,20,4,0,3,2,0,0,14,0,2,3,0,3,3,2,0,17,4,10,3,0,5,0,6,0,0,1,9,1
"Ant26",3,22,2,8,8,0,9,0,22,2,3,6,0,4,0,12,4,12,5,5,6,31,20,6,1,6,7,6,2,0,4,0,4,0,0,3,7,4,1,5,2,7,11,8,1,0,5,1,0,1,1,2,1,1,3,9,10,0,1,0,6,2,7,0,0,4,10,7,13,0,17,13,0,1,7,1,0,1,1,1,3,15,0,1,6,22,7,2,0,0,7,4,4,6,7,2
"Ant30",5,103,0,0,127,0,4,22,0,26,14,189,4,14,10,18,0,6,40,0,17,14,20,6,1,1,18,13,0,14,5,22,6,0,11,0,10,8,6,0,33,4,19,0,3,0,21,35,0,3,1,0,0,13,0,3,1,8,0,37,9,0,4,14,0,1,10,12,25,24,27,46,18,0,20,91,0,2,0,1,2,1,1,0,28,50,0,13,0,19,31,0,2,191,0,0
"Ant38",6,51,1,3,72,1,7,2,26,0,13,48,14,30,7,6,1,3,5,1,2,18,29,2,2,3,12,11,4,29,3,19,30,0,9,2,9,11,13,6,13,5,9,0,5,0,36,5,0,1,0,1,0,10,2,0,4,11,6,12,0,0,3,8,1,7,50,3,10,9,17,8,29,0,12,33,2,2,0,0,1,12,3,0,23,24,1,16,6,13,16,0,0,25,3,3
