"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,1,3,8,0,0,4,1,0,3,3,22,1,9,0,6,0,2,0,4,3,4,2,4,3,4,3,3,5,0,7,0,1,4,3,6,1,0,0,3,0,2,11,1,1,2,2,0,20,10,2,1,1,0,1,4,0,31,7,0,1,0,3,2,6,7,0,2,2,0,2,1,0,1,0,0,0,2,0,0,2,1,0,5,1,1,4,8,1,0,1,3,8,0,3,1
"Ant260",1,0,0,0,62,1,17,11,38,78,11,23,5,65,22,13,2,10,87,1,54,14,11,17,1,2,6,12,0,0,5,9,2,2,4,2,12,6,15,4,16,36,22,4,2,5,39,11,0,0,0,1,0,0,1,3,0,4,4,0,7,0,21,44,2,2,45,64,126,0,49,30,0,31,15,0,0,6,1,2,4,13,0,10,44,48,5,83,5,0,2,2,1,46,8,4
"Ant52",3,0,0,3,0,3,3,3,0,0,1,2,0,0,0,0,1,1,0,4,0,2,1,3,5,0,0,5,0,0,2,0,1,12,10,4,0,0,0,3,1,0,3,5,0,2,0,0,3,10,2,4,7,0,0,0,3,8,9,0,0,1,2,0,16,4,0,0,0,0,6,4,0,2,0,0,14,5,10,11,2,5,2,3,0,2,4,0,12,0,1,0,8,2,3,2
"Ant540",8,0,3,0,0,13,5,0,0,2,0,4,0,0,0,0,1,8,0,0,0,5,0,1,4,0,0,2,12,0,2,0,0,3,2,8,0,0,0,7,0,1,10,2,0,9,0,0,9,8,1,1,2,0,3,0,0,2,0,0,2,2,0,0,5,3,0,0,0,0,1,1,0,1,1,0,5,5,1,2,1,3,7,5,0,2,11,1,9,0,0,3,2,0,1,2
"Ant6",0,62,0,0,0,1,2,7,41,56,4,23,22,33,33,15,0,4,48,1,23,22,24,7,0,0,31,34,4,47,2,40,17,0,3,0,28,33,32,2,53,4,2,0,0,0,27,59,3,0,0,0,0,34,0,4,0,1,0,34,2,0,11,31,1,1,36,18,36,54,19,20,23,4,25,75,0,1,0,0,2,1,4,1,33,9,0,28,1,34,45,0,1,66,5,1
"Ant7",0,1,3,13,1,0,5,1,0,5,0,5,0,0,0,1,2,1,2,12,0,3,0,9,6,2,1,1,18,0,2,0,0,5,1,3,0,0,1,0,0,0,4,1,0,0,0,0,1,5,0,1,2,0,4,2,7,0,2,0,0,0,1,0,3,12,1,1,0,0,6,1,0,7,0,0,0,2,1,2,4,4,5,1,0,0,0,1,11,0,0,7,5,0,1,5
"Ant19",4,17,3,5,2,5,0,3,6,7,4,1,0,2,2,4,0,1,7,4,5,10,7,0,0,10,3,6,3,0,4,1,0,3,12,4,1,0,0,1,5,6,13,2,0,1,4,0,2,0,1,3,3,0,0,5,9,1,4,0,12,2,10,5,6,3,3,10,8,0,5,10,0,32,8,0,0,10,0,2,3,2,3,1,0,10,10,8,2,2,7,0,12,3,6,0
"Ant26",1,11,3,0,7,1,3,0,9,12,11,11,1,12,0,10,0,14,13,0,2,11,5,9,0,13,0,2,0,0,9,9,6,1,6,5,8,2,1,2,1,2,12,6,0,0,7,0,5,2,2,1,0,0,0,0,4,5,0,0,3,0,5,3,1,7,3,17,20,0,16,11,0,5,2,0,1,3,3,1,2,14,1,2,5,10,2,21,12,0,7,2,7,5,19,3
"Ant30",0,38,0,0,41,0,6,9,0,19,0,8,20,28,21,8,0,2,16,0,31,5,22,6,0,0,12,10,0,12,0,27,22,0,0,0,16,36,31,1,19,18,0,0,0,0,28,35,0,0,0,0,0,24,0,5,2,0,0,28,3,0,9,29,0,0,24,8,6,32,15,17,18,4,28,52,0,1,0,0,2,0,0,0,18,25,1,14,2,32,29,0,0,52,1,0
"Ant38",3,78,0,2,56,5,7,12,19,0,4,9,4,34,11,17,0,9,55,0,15,21,6,4,1,11,9,16,2,5,5,11,35,0,11,3,12,6,32,2,15,6,8,6,0,0,40,26,3,1,1,3,0,6,0,2,3,4,0,8,3,0,29,24,1,4,17,23,22,15,19,5,2,9,32,7,1,10,2,1,6,4,2,4,17,16,5,39,0,5,16,3,2,26,7,4
