"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,18,2,0,2,6,0,6,13,7,1,8,0,5,0,3,0,2,6,1,16,11,3,1,1,7,1,1,5,0,4,2,5,0,6,2,12,0,5,5,7,0,5,4,6,0,0,0,0,2,2,1,1,2,13,12,5,3,1,0,1,0,3,37,13,1,1,9,6,0,0,16,0,5,21,0,4,3,2,2,7,0,5,4,5,0,5,2,0,10,1,1,4,4,4,3
"Ant260",18,0,5,7,161,2,14,23,247,62,12,42,0,74,0,24,1,10,34,6,19,8,28,16,2,3,25,7,4,6,7,29,28,0,5,1,30,7,36,14,22,28,52,8,8,9,8,0,7,2,4,1,3,0,0,5,0,4,3,0,2,1,12,68,1,5,0,30,32,0,25,47,0,0,36,0,2,12,3,5,4,26,1,5,15,10,2,36,3,13,13,0,8,45,8,12
"Ant52",2,5,0,2,2,3,2,0,0,1,3,4,0,0,0,0,5,11,0,1,3,0,3,3,2,10,2,0,3,0,9,0,1,7,5,5,1,0,1,2,0,0,6,5,0,4,0,0,5,4,9,4,7,0,0,5,1,24,3,0,0,6,0,1,4,3,0,1,1,0,1,1,0,0,0,0,7,4,5,10,7,4,9,0,0,0,5,1,0,0,0,10,14,1,10,7
"Ant540",0,7,2,0,5,2,0,0,0,1,0,3,0,1,0,3,3,1,1,7,1,3,0,2,0,2,1,2,1,0,6,1,4,1,5,0,4,0,0,4,0,3,8,5,0,5,0,0,3,1,0,8,1,0,4,12,0,2,4,0,1,0,5,0,9,4,0,1,1,0,2,3,0,0,5,0,0,0,0,1,4,6,4,0,0,3,10,1,4,0,0,6,12,0,7,1
"Ant6",2,161,2,5,0,2,1,21,89,80,17,88,39,56,72,27,1,0,25,1,20,17,30,6,0,13,41,15,3,48,2,39,21,0,2,0,6,55,57,3,51,14,9,3,14,1,63,37,5,0,0,0,0,24,4,1,8,1,0,36,6,0,5,31,0,6,46,12,30,134,8,20,37,1,6,170,0,6,0,1,0,6,3,2,34,14,0,54,1,54,54,1,0,96,7,1
"Ant7",6,2,3,2,2,0,1,0,0,0,2,0,0,1,0,1,5,4,7,2,2,0,3,2,0,29,1,11,12,0,1,0,1,3,4,0,1,0,1,1,1,1,18,5,0,2,0,0,4,4,4,0,0,0,1,5,5,4,5,0,1,0,5,1,3,7,0,3,3,0,5,2,0,12,2,0,1,2,1,1,1,1,6,8,0,15,5,0,14,0,8,1,1,3,5,4
"Ant19",0,14,2,0,1,1,0,18,4,1,6,4,0,6,0,8,0,9,21,0,0,2,4,4,0,3,4,5,1,2,3,2,2,0,19,9,4,0,1,8,2,3,14,1,9,3,3,0,5,0,2,0,2,1,5,13,1,6,0,2,0,0,6,4,3,4,0,14,10,0,5,8,0,2,4,0,2,4,0,0,2,5,0,0,0,4,1,0,1,3,0,0,1,1,18,3
"Ant26",6,23,0,0,21,0,18,0,16,9,2,6,0,7,0,20,0,6,28,0,1,5,0,4,1,2,7,1,5,4,3,0,8,0,5,0,14,2,4,1,13,5,16,6,1,0,5,0,4,0,1,0,1,8,2,7,2,5,0,2,1,0,5,10,3,7,5,28,14,0,3,17,0,0,8,0,0,14,0,2,5,1,4,0,7,17,1,3,7,3,11,2,6,7,6,7
"Ant30",13,247,0,0,89,0,4,16,0,43,6,141,7,43,22,23,1,8,25,0,12,6,21,5,0,2,20,11,7,29,2,54,27,0,2,0,12,16,27,2,29,23,42,2,7,0,4,29,2,0,0,0,0,22,3,3,0,0,1,17,1,0,2,11,0,0,21,12,25,21,10,34,48,0,17,39,0,4,1,3,1,0,2,0,10,27,0,48,0,14,21,2,0,190,9,1
"Ant38",7,62,1,1,80,0,1,9,43,0,5,22,8,14,9,13,0,2,7,0,8,6,28,5,0,0,34,7,5,29,2,4,9,0,2,0,2,20,35,1,23,9,7,4,5,0,27,8,4,0,0,3,1,14,2,0,2,2,4,5,6,0,4,12,0,5,8,5,17,16,0,13,50,5,7,29,0,2,1,0,0,2,1,1,6,9,2,23,3,13,28,0,0,22,5,0
