"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,8,5,12,4,4,4,4,3,11,7,0,0,3,0,4,1,4,8,1,1,6,7,1,0,10,0,5,7,1,0,0,6,0,11,0,4,2,0,8,2,5,12,1,0,0,3,0,1,5,2,6,4,0,1,9,2,10,8,2,2,1,20,1,5,1,5,10,1,0,7,13,0,0,1,0,6,0,2,14,2,0,12,1,0,3,15,4,1,0,1,3,6,1,5,2
"Ant260",8,0,0,0,149,3,8,23,95,133,6,41,0,37,14,15,1,5,13,1,62,13,41,5,2,5,34,12,6,15,0,17,14,1,4,2,1,23,3,9,72,41,41,0,18,0,18,41,0,0,2,1,0,0,2,2,3,2,6,40,4,0,10,72,0,7,80,24,62,6,32,89,16,0,44,0,0,12,1,1,2,15,0,1,37,15,7,99,8,51,35,2,0,57,3,3
"Ant52",5,0,0,5,1,9,3,0,0,1,3,8,0,2,0,2,12,5,3,14,0,0,0,5,6,2,0,1,14,0,2,1,0,30,3,11,1,4,0,1,0,0,5,2,7,4,0,0,1,12,3,9,18,0,0,0,1,6,1,0,0,16,0,1,10,4,1,2,0,0,3,2,0,0,3,0,5,5,5,3,1,0,2,4,0,0,1,1,5,0,0,11,20,1,4,6
"Ant540",12,0,5,0,0,2,2,5,1,1,0,2,0,1,1,2,5,2,0,5,1,2,1,2,2,5,4,4,6,0,0,0,2,4,2,4,3,3,0,1,0,1,2,4,6,4,0,0,1,9,1,0,0,0,6,3,6,4,2,4,5,2,0,0,2,3,1,4,2,0,3,0,0,0,7,0,1,5,4,1,3,11,6,12,1,0,4,0,4,2,2,7,2,1,7,5
"Ant6",4,149,1,0,0,0,8,13,43,70,0,19,39,35,39,20,1,1,21,0,13,39,16,0,0,2,34,23,4,42,0,25,24,0,2,3,14,37,56,2,62,7,13,0,4,1,89,64,6,0,0,1,0,30,5,8,1,1,3,33,5,0,9,20,0,4,32,10,10,160,4,23,51,3,25,123,0,11,0,1,2,1,3,3,39,27,4,62,1,63,28,0,0,87,1,1
"Ant7",4,3,9,2,0,0,1,12,6,3,1,1,0,3,3,0,11,3,1,0,1,3,0,2,1,5,0,0,6,0,5,0,1,1,2,1,2,0,0,2,4,0,12,4,3,4,1,0,1,3,0,1,3,0,4,7,6,8,1,4,5,0,1,2,5,0,1,0,0,0,0,0,0,0,2,0,8,14,2,0,7,1,3,1,0,3,6,0,0,0,0,9,3,0,5,0
"Ant19",4,8,3,2,8,1,0,7,3,3,4,6,0,6,0,1,1,2,11,4,5,5,5,7,0,5,2,4,10,2,4,1,2,2,2,2,1,2,0,9,1,12,7,1,0,0,3,0,6,0,3,9,2,0,5,7,1,0,2,6,2,0,13,9,2,4,9,3,8,0,10,0,2,2,8,0,1,2,0,2,4,1,3,2,0,3,5,4,7,0,0,1,4,2,7,2
"Ant26",4,23,0,5,13,12,7,0,15,5,2,6,0,5,4,3,0,8,9,1,9,3,11,2,0,13,8,5,2,10,0,0,6,2,7,2,5,0,1,6,9,14,11,8,0,0,6,6,7,1,1,2,1,0,5,0,4,2,9,12,8,0,9,10,1,8,8,10,7,0,9,11,1,2,13,0,1,9,1,4,6,9,5,3,14,7,5,9,4,0,8,4,5,6,4,5
"Ant30",3,95,0,1,43,6,3,15,0,31,10,6,15,16,19,9,0,0,39,0,8,13,8,1,0,1,17,8,1,21,0,22,7,0,2,0,15,9,24,0,41,9,5,0,5,0,19,26,5,0,0,0,0,8,12,25,0,0,1,16,3,0,11,13,0,2,27,24,5,20,4,20,21,1,28,36,0,10,1,0,10,8,2,0,11,39,6,35,1,14,17,1,0,35,1,0
"Ant38",11,133,1,1,70,3,3,5,31,0,9,26,6,28,3,18,0,4,31,0,22,7,15,6,0,0,28,4,7,0,2,15,12,0,7,0,16,21,23,9,30,12,10,0,6,0,22,20,2,0,0,2,3,15,4,2,8,0,4,23,11,2,18,21,0,11,34,7,27,21,4,35,26,1,13,15,0,8,0,3,3,4,4,1,42,19,5,32,1,15,16,0,0,55,9,3
