"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,7,8,3,4,5,2,24,1,12,5,3,3,1,0,11,8,9,11,10,10,6,8,2,1,3,14,10,16,2,1,0,3,5,9,4,3,17,4,5,3,4,1,5,1,2,0,3,0,6,4,9,1,0,0,4,4,7,3,0,4,0,3,1,2,2,4,22,8,0,9,0,0,0,11,0,1,12,4,4,3,1,7,1,1,11,6,5,2,0,0,4,5,2,11,6
"Ant260",7,0,3,4,50,0,3,9,60,76,7,16,89,17,6,5,3,14,26,0,1,10,18,1,0,2,11,20,9,25,0,13,17,3,0,0,6,36,103,2,64,14,4,0,0,2,24,71,0,11,2,2,1,0,6,0,2,0,2,6,4,1,4,62,0,8,48,26,14,0,12,8,0,0,4,24,0,3,4,4,1,5,0,0,18,10,0,21,3,0,31,5,1,31,11,5
"Ant52",8,3,0,0,0,1,0,0,0,0,2,1,0,0,0,0,7,6,2,1,0,0,2,6,11,9,4,3,2,0,10,0,1,6,5,4,1,5,6,5,1,1,9,3,6,1,2,0,1,19,3,10,4,0,7,14,4,2,3,0,0,23,1,2,5,6,1,0,3,0,3,0,0,0,0,0,0,4,5,2,0,3,0,0,0,4,0,0,3,0,0,2,1,1,0,3
"Ant540",3,4,0,0,0,2,2,0,0,10,0,8,0,0,0,1,7,3,1,0,0,0,0,7,0,3,0,7,6,0,3,0,3,5,1,1,0,2,0,4,2,3,3,4,3,1,1,1,0,2,2,1,0,0,3,0,8,15,0,0,3,2,0,1,2,0,0,2,3,0,3,0,0,0,0,0,3,2,1,7,7,2,4,2,0,5,5,0,9,0,0,0,5,1,10,0
"Ant6",4,50,0,0,0,1,1,14,23,21,1,21,3,2,18,0,0,1,0,1,2,9,7,1,0,1,16,2,2,23,0,21,11,0,0,1,2,15,21,2,14,0,0,2,0,0,71,14,6,0,0,0,0,9,0,1,2,1,0,29,0,0,9,3,0,5,27,4,1,35,0,5,4,1,0,169,1,1,1,0,1,0,0,2,17,8,1,24,6,13,19,0,1,25,3,0
"Ant7",5,0,1,2,1,0,3,4,3,8,3,11,0,3,0,5,2,14,0,0,5,6,1,3,0,1,0,2,15,2,0,0,0,2,9,3,5,2,2,0,4,2,9,2,4,0,0,1,1,0,1,2,2,0,5,20,0,0,3,1,0,0,7,2,4,0,1,2,1,0,0,6,0,4,8,0,1,2,0,2,1,6,0,15,2,2,0,1,2,0,1,0,4,1,5,2
"Ant19",2,3,0,2,1,3,0,8,0,9,2,4,14,2,0,15,15,11,2,3,7,3,2,3,0,1,2,6,8,0,2,4,0,1,7,2,1,9,7,8,11,2,0,3,2,2,0,10,9,1,0,1,0,0,3,15,6,6,7,5,16,0,11,3,0,2,5,1,10,0,2,15,0,0,11,0,0,4,4,1,0,1,2,20,3,5,1,9,11,0,0,0,0,0,9,0
"Ant26",24,9,0,0,14,4,8,0,13,24,2,4,27,10,0,1,3,10,0,2,4,4,4,3,3,6,2,15,1,1,0,4,1,2,4,3,4,6,14,6,2,5,7,3,0,0,5,4,1,1,0,1,0,0,0,6,3,5,3,6,1,0,10,9,0,4,4,4,3,0,2,4,0,0,17,0,3,11,0,0,0,5,0,2,5,9,1,2,5,0,2,1,0,3,3,1
"Ant30",1,60,0,0,23,3,0,13,0,25,2,12,6,6,13,1,0,5,9,0,2,7,20,0,0,1,20,2,1,41,0,19,23,0,3,1,3,19,25,0,31,0,2,4,0,0,57,36,9,0,2,2,0,10,0,0,1,0,1,25,0,0,8,15,0,0,21,6,2,20,2,9,8,0,9,54,1,2,0,0,0,1,0,0,4,6,0,12,0,27,13,0,0,35,0,0
"Ant38",12,76,0,10,21,8,9,24,25,0,8,38,16,16,1,10,3,12,8,4,5,8,14,3,5,6,7,12,13,25,8,16,12,6,6,2,10,18,37,7,10,4,17,13,6,5,7,32,14,9,6,6,0,0,8,1,14,18,2,6,9,10,8,6,3,18,13,13,25,1,9,8,1,0,17,5,0,13,1,1,7,10,6,1,6,28,8,9,30,0,14,8,2,36,7,4
"Ant60",5,7,2,0,1,3,2,2,2,8,0,1,1,5,0,8,0,9,14,1,2,20,3,5,0,7,4,8,1,0,5,1,2,0,10,2,6,4,2,3,3,2,19,1,0,0,0,0,4,0,3,0,0,0,6,1,1,9,3,2,0,2,2,3,0,13,2,2,7,0,3,4,0,1,5,0,4,8,1,0,0,3,1,8,4,2,0,3,14,0,1,0,0,7,3,3
