"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,5,2,9,2,1,18,0,15,10,2,1,4,1,10,16,0,3,33,0,9,17,6,0,0,2,2,0,5,1,6
"Ant540",5,0,19,1,7,13,29,0,18,2,2,2,10,22,7,15,6,10,7,3,1,15,6,6,9,5,10,2,10,2,5
"Ant6",2,19,0,13,16,1,8,0,5,7,4,7,42,4,3,9,1,1,12,7,2,1,4,2,8,3,14,1,15,2,3
"Ant19",9,1,13,0,12,2,4,0,14,2,11,5,8,1,1,13,0,8,2,3,5,4,1,0,1,5,10,0,4,6,5
"Ant73",2,7,16,12,0,12,19,0,18,14,11,11,20,15,3,48,5,27,6,2,9,13,13,7,11,16,15,7,2,4,10
"Ant148",1,13,1,2,12,0,1,0,0,2,0,6,0,7,0,9,4,3,5,1,0,4,0,5,5,0,3,4,0,1,12
"Ant158",18,29,8,4,19,1,0,0,10,14,2,6,10,4,6,7,4,5,6,5,0,5,7,3,10,4,8,5,22,7,2
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"Ant252",15,18,5,14,18,0,10,0,0,6,2,2,15,1,4,20,0,4,9,8,2,28,1,10,2,4,22,2,17,17,3
"Ant311",10,2,7,2,14,2,14,0,6,0,17,2,1,7,7,11,5,1,13,4,27,2,6,6,5,24,7,1,4,12,8
"Ant27",2,2,4,11,11,0,2,0,2,17,0,3,5,5,3,31,4,15,2,12,14,3,3,5,2,29,16,1,1,8,6
"Ant32",1,2,7,5,11,6,6,0,2,2,3,0,10,4,9,35,7,11,10,5,8,9,2,9,12,13,7,12,0,4,14
"Ant44",4,10,42,8,20,0,10,0,15,1,5,10,0,3,16,6,3,14,17,19,11,8,0,4,6,5,22,1,12,30,1
"Ant97",1,22,4,1,15,7,4,0,1,7,5,4,3,0,3,3,12,4,16,7,10,21,0,25,47,0,2,1,0,1,15
"Ant115",10,7,3,1,3,0,6,0,4,7,3,9,16,3,0,7,1,6,7,1,0,2,2,0,3,0,4,3,0,7,5
"Ant117",16,15,9,13,48,9,7,0,20,11,31,35,6,3,7,0,2,33,53,8,14,38,22,18,8,12,13,7,4,7,16
"Ant140",0,6,1,0,5,4,4,9,0,5,4,7,3,12,1,2,0,9,6,0,0,2,0,24,21,2,2,27,0,2,5
"Ant153",3,10,1,8,27,3,5,0,4,1,15,11,14,4,6,33,9,0,19,2,14,10,1,10,3,12,5,2,1,2,2
"Ant176",33,7,12,2,6,5,6,0,9,13,2,10,17,16,7,53,6,19,0,4,5,7,3,19,13,4,13,8,0,3,30
"Ant217",0,3,7,3,2,1,5,0,8,4,12,5,19,7,1,8,0,2,4,0,9,4,1,2,0,6,13,0,3,15,1
"Ant242",9,1,2,5,9,0,0,0,2,27,14,8,11,10,0,14,0,14,5,9,0,3,0,2,0,28,13,2,0,3,0
"Ant263",17,15,1,4,13,4,5,0,28,2,3,9,8,21,2,38,2,10,7,4,3,0,4,6,5,0,15,4,6,7,5
"Ant289",6,6,4,1,13,0,7,0,1,6,3,2,0,0,2,22,0,1,3,1,0,4,0,4,0,0,5,1,8,3,1
"Ant298",0,6,2,0,7,5,3,0,10,6,5,9,4,25,0,18,24,10,19,2,2,6,4,0,16,3,3,11,3,5,7
"Ant332",0,9,8,1,11,5,10,0,2,5,2,12,6,47,3,8,21,3,13,0,0,5,0,16,0,2,9,6,0,1,8
"Ant356",2,5,3,5,16,0,4,0,4,24,29,13,5,0,0,12,2,12,4,6,28,0,0,3,2,0,5,0,2,8,0
"Ant475",2,10,14,10,15,3,8,0,22,7,16,7,22,2,4,13,2,5,13,13,13,15,5,3,9,5,0,1,5,15,2
"Ant507",0,2,1,0,7,4,5,18,2,1,1,12,1,1,3,7,27,2,8,0,2,4,1,11,6,0,1,0,0,1,5
"Ant530",5,10,15,4,2,0,22,0,17,4,1,0,12,0,0,4,0,1,0,3,0,6,8,3,0,2,5,0,0,20,0
"Ant564",1,2,2,6,4,1,7,0,17,12,8,4,30,1,7,7,2,2,3,15,3,7,3,5,1,8,15,1,20,0,0
"Ant593",6,5,3,5,10,12,2,0,3,8,6,14,1,15,5,16,5,2,30,1,0,5,1,7,8,0,2,5,0,0,0
