"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,16,0,0,5,5,24,1,12,2,39,9,1,12,1
"Ant73",16,0,4,0,25,19,31,0,9,6,13,14,18,12,13
"Ant148",0,4,0,0,1,0,1,6,0,2,0,1,0,4,2
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant252",5,25,1,0,0,8,76,1,28,3,7,4,22,4,3
"Ant27",5,19,0,0,8,0,34,0,7,3,6,19,10,1,3
"Ant44",24,31,1,0,76,34,0,4,52,15,57,11,62,11,23
"Ant97",1,0,6,0,1,0,4,0,3,1,0,1,3,3,2
"Ant117",12,9,0,0,28,7,52,3,0,15,19,1,15,9,20
"Ant176",2,6,2,0,3,3,15,1,15,0,24,2,2,5,15
"Ant242",39,13,0,0,7,6,57,0,19,24,0,6,8,13,6
"Ant263",9,14,1,0,4,19,11,1,1,2,6,0,7,8,1
"Ant356",1,18,0,0,22,10,62,3,15,2,8,7,0,4,5
"Ant475",12,12,4,0,4,1,11,3,9,5,13,8,4,0,13
"Ant593",1,13,2,0,3,3,23,2,20,15,6,1,5,13,0
