"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,9,0,0,13,7,13,2,26,7,6,20,15,1,7
"Ant73",9,0,0,0,16,25,33,1,15,3,33,21,12,16,6
"Ant148",0,0,0,1,0,0,0,5,1,4,0,0,0,3,3
"Ant191",0,0,1,0,0,0,0,2,0,0,1,0,0,0,3
"Ant252",13,16,0,0,0,33,18,0,18,4,7,9,23,8,2
"Ant27",7,25,0,0,33,0,28,0,12,5,42,21,5,7,8
"Ant44",13,33,0,0,18,28,0,0,3,1,13,27,8,5,2
"Ant97",2,1,5,2,0,0,0,0,0,4,2,0,4,11,4
"Ant117",26,15,1,0,18,12,3,0,0,20,24,20,30,31,13
"Ant176",7,3,4,0,4,5,1,4,20,0,3,1,2,14,27
"Ant242",6,33,0,1,7,42,13,2,24,3,0,19,25,7,3
"Ant263",20,21,0,0,9,21,27,0,20,1,19,0,22,7,4
"Ant356",15,12,0,0,23,5,8,4,30,2,25,22,0,9,4
"Ant475",1,16,3,0,8,7,5,11,31,14,7,7,9,0,18
"Ant593",7,6,3,3,2,8,2,4,13,27,3,4,4,18,0
