"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,4,0,0,18,8,6,4,15,2,23,50,14,5,8
"Ant73",4,0,3,2,22,7,2,2,6,15,24,15,12,16,4
"Ant148",0,3,0,0,2,0,0,2,0,5,0,0,5,1,2
"Ant191",0,2,0,0,2,0,0,2,5,0,1,6,0,3,0
"Ant252",18,22,2,2,0,7,11,3,21,9,22,16,13,8,4
"Ant27",8,7,0,0,7,0,10,2,22,2,23,37,27,4,5
"Ant44",6,2,0,0,11,10,0,3,20,6,3,5,13,5,6
"Ant97",4,2,2,2,3,2,3,0,0,6,2,1,0,3,10
"Ant117",15,6,0,5,21,22,20,0,0,9,49,22,19,16,18
"Ant176",2,15,5,0,9,2,6,6,9,0,2,3,11,15,30
"Ant242",23,24,0,1,22,23,3,2,49,2,0,18,4,11,6
"Ant263",50,15,0,6,16,37,5,1,22,3,18,0,8,6,5
"Ant356",14,12,5,0,13,27,13,0,19,11,4,8,0,6,2
"Ant475",5,16,1,3,8,4,5,3,16,15,11,6,6,0,9
"Ant593",8,4,2,0,4,5,6,10,18,30,6,5,2,9,0
