"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,4,5,1,5,4,4,4,1,7,0,7,9,9,6,3,2,12,15,5,4,15
"Ant6",4,0,10,0,0,22,3,11,26,0,1,13,4,1,25,0,1,0,1,16,4,4
"Ant73",5,10,0,0,1,14,12,20,7,5,4,10,3,1,11,7,4,7,18,18,7,11
"Ant148",1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,3,0,2,0,0
"Ant191",5,0,1,2,0,0,0,0,10,2,1,6,6,4,0,1,7,2,1,3,4,4
"Ant252",4,22,14,0,0,0,15,9,30,0,25,10,2,2,34,17,2,2,20,12,11,3
"Ant311",4,3,12,0,0,15,0,28,1,9,8,29,2,13,25,9,5,10,26,9,8,7
"Ant27",4,11,20,0,0,9,28,0,15,2,11,22,4,2,31,3,0,0,4,12,16,3
"Ant44",1,26,7,0,10,30,1,15,0,0,6,11,5,8,18,12,3,1,18,13,10,14
"Ant97",7,0,5,0,2,0,9,2,0,0,2,13,2,4,11,1,1,16,2,1,5,1
"Ant115",0,1,4,1,1,25,8,11,6,2,0,13,3,3,13,16,2,2,6,9,5,2
"Ant117",7,13,10,0,6,10,29,22,11,13,13,0,16,14,29,20,6,4,11,20,10,29
"Ant153",9,4,3,0,6,2,2,4,5,2,3,16,0,8,0,6,4,5,1,6,1,2
"Ant176",9,1,1,2,4,2,13,2,8,4,3,14,8,0,13,2,2,15,5,22,3,18
"Ant242",6,25,11,0,0,34,25,31,18,11,13,29,0,13,0,10,0,2,13,8,9,6
"Ant263",3,0,7,0,1,17,9,3,12,1,16,20,6,2,10,0,1,2,11,8,6,4
"Ant298",2,1,4,1,7,2,5,0,3,1,2,6,4,2,0,1,0,2,1,4,14,12
"Ant332",12,0,7,3,2,2,10,0,1,16,2,4,5,15,2,2,2,0,3,4,5,13
"Ant356",15,1,18,0,1,20,26,4,18,2,6,11,1,5,13,11,1,3,0,12,17,7
"Ant475",5,16,18,2,3,12,9,12,13,1,9,20,6,22,8,8,4,4,12,0,10,3
"Ant564",4,4,7,0,4,11,8,16,10,5,5,10,1,3,9,6,14,5,17,10,0,15
"Ant593",15,4,11,0,4,3,7,3,14,1,2,29,2,18,6,4,12,13,7,3,15,0
