"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,6,8,15,9,0,7,0,18,9,12,10,19,0,0,23,6,10,0,0,4,3,0,13,0,16,5,5,2,14,3
"Ant540",6,0,17,2,10,5,3,0,28,4,9,10,12,1,3,22,4,9,7,2,0,10,7,13,3,4,30,7,10,6,1
"Ant6",8,17,0,5,4,1,8,0,6,33,16,1,36,10,1,3,3,14,11,16,24,10,6,5,1,5,17,2,8,1,6
"Ant19",15,2,5,0,9,1,6,0,5,11,8,8,8,2,0,13,2,0,2,1,8,3,3,4,0,8,2,2,2,5,1
"Ant73",9,10,4,9,0,5,9,0,33,9,18,7,25,3,5,22,4,6,8,3,9,10,15,16,6,16,12,15,11,5,8
"Ant148",0,5,1,1,5,0,5,0,0,0,2,4,14,12,0,2,4,6,5,0,0,1,3,1,11,0,17,4,2,1,4
"Ant158",7,3,8,6,9,5,0,0,3,8,1,9,2,6,9,7,3,6,8,4,1,11,7,5,3,1,19,1,2,1,15
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ant252",18,28,6,5,33,0,3,0,0,1,19,11,17,2,6,25,2,11,10,5,4,7,5,8,3,18,11,4,1,9,0
"Ant311",9,4,33,11,9,0,8,0,1,0,61,13,8,2,0,16,7,6,4,0,51,3,0,1,0,36,0,0,4,18,1
"Ant27",12,9,16,8,18,2,1,0,19,61,0,2,3,0,0,23,5,11,10,0,46,2,0,10,0,40,0,0,2,16,0
"Ant32",10,10,1,8,7,4,9,0,11,13,2,0,10,0,2,20,3,4,14,0,11,6,0,14,8,7,9,10,2,0,7
"Ant44",19,12,36,8,25,14,2,0,17,8,3,10,0,4,13,21,2,12,16,19,8,12,29,13,5,19,8,5,11,12,8
"Ant97",0,1,10,2,3,12,6,0,2,2,0,0,4,0,7,15,2,1,6,2,0,2,3,2,13,0,14,1,0,0,10
"Ant115",0,3,1,0,5,0,9,0,6,0,0,2,13,7,0,0,4,0,8,0,0,3,13,7,2,0,6,4,1,1,14
"Ant117",23,22,3,13,22,2,7,0,25,16,23,20,21,15,0,0,18,21,5,2,12,23,0,10,4,16,17,11,8,14,7
"Ant140",6,4,3,2,4,4,3,0,2,7,5,3,2,2,4,18,0,2,7,0,3,6,12,19,8,0,2,6,1,3,10
"Ant153",10,9,14,0,6,6,6,0,11,6,11,4,12,1,0,21,2,0,5,3,22,7,0,14,2,6,8,0,14,2,3
"Ant176",0,7,11,2,8,5,8,0,10,4,10,14,16,6,8,5,7,5,0,7,2,6,6,32,11,0,14,5,6,2,22
"Ant217",0,2,16,1,3,0,4,0,5,0,0,0,19,2,0,2,0,3,7,0,0,4,4,4,3,0,4,0,1,2,2
"Ant242",4,0,24,8,9,0,1,0,4,51,46,11,8,0,0,12,3,22,2,0,0,1,0,6,0,33,13,0,14,10,1
"Ant263",3,10,10,3,10,1,11,0,7,3,2,6,12,2,3,23,6,7,6,4,1,0,3,8,1,2,7,3,6,7,2
"Ant289",0,7,6,3,15,3,7,0,5,0,0,0,29,3,13,0,12,0,6,4,0,3,0,2,0,1,14,8,6,5,1
"Ant298",13,13,5,4,16,1,5,0,8,1,10,14,13,2,7,10,19,14,32,4,6,8,2,0,8,2,3,4,9,6,5
"Ant332",0,3,1,0,6,11,3,0,3,0,0,8,5,13,2,4,8,2,11,3,0,1,0,8,0,0,3,7,0,0,9
"Ant356",16,4,5,8,16,0,1,0,18,36,40,7,19,0,0,16,0,6,0,0,33,2,1,2,0,0,1,8,7,1,0
"Ant475",5,30,17,2,12,17,19,0,11,0,0,9,8,14,6,17,2,8,14,4,13,7,14,3,3,1,0,1,2,6,21
"Ant507",5,7,2,2,15,4,1,1,4,0,0,10,5,1,4,11,6,0,5,0,0,3,8,4,7,8,1,0,8,2,10
"Ant530",2,10,8,2,11,2,2,0,1,4,2,2,11,0,1,8,1,14,6,1,14,6,6,9,0,7,2,8,0,13,3
"Ant564",14,6,1,5,5,1,1,0,9,18,16,0,12,0,1,14,3,2,2,2,10,7,5,6,0,1,6,2,13,0,0
"Ant593",3,1,6,1,8,4,15,0,0,1,0,7,8,10,14,7,10,3,22,2,1,2,1,5,9,0,21,10,3,0,0
