"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,0,12,1,27,2,8,0,0,3,4,0,11,0,22,2,0,5,6,5,0,3,17,1,1,7,2,3,0,5,6
"Ant540",0,0,12,2,10,34,11,0,23,21,5,10,17,8,0,7,5,4,4,7,8,3,5,11,13,6,1,7,10,5,11
"Ant6",12,12,0,3,8,0,1,0,17,9,27,9,11,0,2,28,3,0,3,5,10,7,0,8,2,9,5,1,7,10,6
"Ant19",1,2,3,0,1,0,9,0,3,18,5,7,16,0,1,11,0,4,0,6,7,13,5,1,1,0,7,1,7,9,3
"Ant73",27,10,8,1,0,3,4,0,1,8,16,0,1,1,5,24,0,3,1,11,20,5,5,3,2,12,12,4,1,7,12
"Ant148",2,34,0,0,3,0,7,0,1,1,1,10,0,43,2,2,7,1,5,2,2,7,0,3,69,0,3,9,0,2,19
"Ant158",8,11,1,9,4,7,0,0,7,4,6,3,4,4,9,3,7,18,5,1,2,6,8,1,12,9,9,2,9,7,8
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant252",0,23,17,3,1,1,7,0,0,10,0,7,20,1,16,4,2,8,10,6,1,12,3,2,2,13,16,5,6,4,6
"Ant311",3,21,9,18,8,1,4,0,10,0,34,3,26,2,4,33,5,3,10,0,36,11,0,17,0,0,7,0,1,7,12
"Ant27",4,5,27,5,16,1,6,0,0,34,0,3,9,4,0,34,8,7,0,0,26,5,0,7,0,1,18,1,5,6,5
"Ant32",0,10,9,7,0,10,3,0,7,3,3,0,5,5,8,15,5,4,16,4,2,0,1,3,21,0,9,3,0,10,18
"Ant44",11,17,11,16,1,0,4,0,20,26,9,5,0,2,4,24,8,26,12,9,7,8,8,14,5,1,8,0,20,28,14
"Ant97",0,8,0,0,1,43,4,0,1,2,4,5,2,0,7,3,4,0,5,0,0,5,6,4,14,10,0,2,0,2,5
"Ant115",22,0,2,1,5,2,9,0,16,4,0,8,4,7,0,11,6,6,0,9,0,6,5,1,3,8,2,1,0,6,2
"Ant117",2,7,28,11,24,2,3,0,4,33,34,15,24,3,11,0,12,12,0,3,31,5,1,18,4,4,12,4,5,10,20
"Ant140",0,5,3,0,0,7,7,0,2,5,8,5,8,4,6,12,0,2,2,0,1,0,0,10,8,0,0,5,0,0,6
"Ant153",5,4,0,4,3,1,18,0,8,3,7,4,26,0,6,12,2,0,3,0,8,16,0,6,0,1,14,2,2,5,7
"Ant176",6,4,3,0,1,5,5,0,10,10,0,16,12,5,0,0,2,3,0,0,0,2,5,7,15,4,6,6,19,2,5
"Ant217",5,7,5,6,11,2,1,0,6,0,0,4,9,0,9,3,0,0,0,0,1,8,3,2,0,3,4,0,8,6,4
"Ant242",0,8,10,7,20,2,2,0,1,36,26,2,7,0,0,31,1,8,0,1,0,10,1,2,0,2,8,0,14,14,0
"Ant263",3,3,7,13,5,7,6,0,12,11,5,0,8,5,6,5,0,16,2,8,10,0,13,8,2,12,12,7,11,6,7
"Ant289",17,5,0,5,5,0,8,0,3,0,0,1,8,6,5,1,0,0,5,3,1,13,0,5,1,4,5,1,1,0,15
"Ant298",1,11,8,1,3,3,1,0,2,17,7,3,14,4,1,18,10,6,7,2,2,8,5,0,0,2,10,9,1,5,3
"Ant332",1,13,2,1,2,69,12,0,2,0,0,21,5,14,3,4,8,0,15,0,0,2,1,0,0,0,5,17,1,0,25
"Ant356",7,6,9,0,12,0,9,0,13,0,1,0,1,10,8,4,0,1,4,3,2,12,4,2,0,0,4,3,9,6,1
"Ant475",2,1,5,7,12,3,9,0,16,7,18,9,8,0,2,12,0,14,6,4,8,12,5,10,5,4,0,2,13,18,1
"Ant507",3,7,1,1,4,9,2,0,5,0,1,3,0,2,1,4,5,2,6,0,0,7,1,9,17,3,2,0,1,0,7
"Ant530",0,10,7,7,1,0,9,0,6,1,5,0,20,0,0,5,0,2,19,8,14,11,1,1,1,9,13,1,0,18,1
"Ant564",5,5,10,9,7,2,7,0,4,7,6,10,28,2,6,10,0,5,2,6,14,6,0,5,0,6,18,0,18,0,3
"Ant593",6,11,6,3,12,19,8,0,6,12,5,18,14,5,2,20,6,7,5,4,0,7,15,3,25,1,1,7,1,3,0
