"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,8,12,16,3,0,11,0,11,10,11,2,8,0,2,8,0,0,1,8,0,1,5,4,0,0,2,1,6,11,0
"Ant540",8,0,5,2,12,7,5,0,5,17,8,31,13,6,3,17,2,3,15,11,0,4,4,8,18,9,11,1,0,1,12
"Ant6",12,5,0,3,12,0,15,0,6,6,1,6,18,0,14,6,0,1,9,10,3,8,9,2,5,2,15,1,0,22,6
"Ant19",16,2,3,0,7,2,7,0,7,11,21,0,4,0,0,11,1,2,3,0,21,0,1,1,4,12,9,0,6,5,1
"Ant73",3,12,12,7,0,3,17,0,7,10,16,19,11,25,9,11,6,12,10,9,5,2,17,4,36,11,10,2,4,2,11
"Ant148",0,7,0,2,3,0,3,0,1,0,0,6,1,10,0,0,0,9,5,0,0,0,0,1,13,0,5,1,0,0,3
"Ant158",11,5,15,7,17,3,0,0,7,15,3,7,3,11,3,14,0,5,32,14,2,4,11,3,30,7,17,3,7,12,13
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"Ant252",11,5,6,7,7,1,7,0,0,18,29,0,17,0,14,11,0,2,7,9,6,9,21,4,1,7,9,1,22,10,5
"Ant311",10,17,6,11,10,0,15,0,18,0,8,0,0,0,4,20,3,21,7,2,31,2,0,4,0,14,2,1,20,16,13
"Ant27",11,8,1,21,16,0,3,0,29,8,0,0,7,2,3,27,8,13,2,2,30,11,0,14,3,4,9,2,39,3,4
"Ant32",2,31,6,0,19,6,7,0,0,0,0,0,0,8,4,24,2,5,10,3,0,4,0,5,23,0,13,5,2,9,16
"Ant44",8,13,18,4,11,1,3,0,17,0,7,0,0,3,2,6,0,12,14,4,0,18,9,8,4,1,13,5,14,11,16
"Ant97",0,6,0,0,25,10,11,0,0,0,2,8,3,0,0,3,1,1,3,0,0,0,3,4,48,0,4,5,2,0,11
"Ant115",2,3,14,0,9,0,3,0,14,4,3,4,2,0,0,18,0,8,8,6,3,5,11,1,1,8,7,0,14,2,1
"Ant117",8,17,6,11,11,0,14,0,11,20,27,24,6,3,18,0,8,33,34,3,6,18,1,7,6,5,10,3,32,12,8
"Ant140",0,2,0,1,6,0,0,31,0,3,8,2,0,1,0,8,0,1,18,0,4,1,0,13,2,3,5,21,1,0,0
"Ant153",0,3,1,2,12,9,5,0,2,21,13,5,12,1,8,33,1,0,8,3,15,3,0,7,3,4,13,1,19,7,6
"Ant176",1,15,9,3,10,5,32,0,7,7,2,10,14,3,8,34,18,8,0,1,0,1,8,24,17,3,7,3,2,3,32
"Ant217",8,11,10,0,9,0,14,0,9,2,2,3,4,0,6,3,0,3,1,0,4,7,2,2,3,2,1,1,12,5,5
"Ant242",0,0,3,21,5,0,2,0,6,31,30,0,0,0,3,6,4,15,0,4,0,1,0,6,1,7,2,0,14,7,1
"Ant263",1,4,8,0,2,0,4,0,9,2,11,4,18,0,5,18,1,3,1,7,1,0,6,1,1,9,2,4,21,9,4
"Ant289",5,4,9,1,17,0,11,0,21,0,0,0,9,3,11,1,0,0,8,2,0,6,0,4,5,4,11,0,0,2,0
"Ant298",4,8,2,1,4,1,3,0,4,4,14,5,8,4,1,7,13,7,24,2,6,1,4,0,12,4,8,5,0,8,4
"Ant332",0,18,5,4,36,13,30,0,1,0,3,23,4,48,1,6,2,3,17,3,1,1,5,12,0,1,7,13,2,4,17
"Ant356",0,9,2,12,11,0,7,0,7,14,4,0,1,0,8,5,3,4,3,2,7,9,4,4,1,0,7,0,0,8,6
"Ant475",2,11,15,9,10,5,17,0,9,2,9,13,13,4,7,10,5,13,7,1,2,2,11,8,7,7,0,3,14,5,11
"Ant507",1,1,1,0,2,1,3,15,1,1,2,5,5,5,0,3,21,1,3,1,0,4,0,5,13,0,3,0,1,1,6
"Ant530",6,0,0,6,4,0,7,0,22,20,39,2,14,2,14,32,1,19,2,12,14,21,0,0,2,0,14,1,0,6,4
"Ant564",11,1,22,5,2,0,12,0,10,16,3,9,11,0,2,12,0,7,3,5,7,9,2,8,4,8,5,1,6,0,3
"Ant593",0,12,6,1,11,3,13,0,5,13,4,16,16,11,1,8,0,6,32,5,1,4,0,4,17,6,11,6,4,3,0
