"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,4,1,3,0,4,8,8,1,11,1,2,4,18,4,7,17,35,1,11,7,12
"Ant6",4,0,15,4,0,4,3,9,14,6,1,36,9,2,14,4,0,3,1,8,6,1
"Ant73",1,15,0,1,0,9,10,13,29,14,13,8,3,18,16,1,6,15,1,7,3,13
"Ant148",3,4,1,0,0,1,3,0,0,10,0,0,2,2,0,1,1,6,0,0,0,7
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Ant252",4,4,9,1,0,0,42,2,22,2,1,10,2,9,40,12,0,0,5,8,10,9
"Ant311",8,3,10,3,0,42,0,57,0,2,4,9,16,10,30,14,13,2,13,7,11,3
"Ant27",8,9,13,0,0,2,57,0,6,3,5,15,4,5,20,21,5,0,3,25,6,3
"Ant44",1,14,29,0,0,22,0,6,0,6,14,12,8,15,1,0,0,1,6,13,16,6
"Ant97",11,6,14,10,0,2,2,3,6,0,0,1,8,9,3,6,5,13,1,7,1,9
"Ant115",1,1,13,0,0,1,4,5,14,0,0,17,3,3,5,1,0,0,2,9,3,0
"Ant117",2,36,8,0,0,10,9,15,12,1,17,0,23,4,19,7,13,0,1,15,14,24
"Ant153",4,9,3,2,0,2,16,4,8,8,3,23,0,3,3,2,8,13,1,10,2,6
"Ant176",18,2,18,2,0,9,10,5,15,9,3,4,3,0,2,3,9,8,2,6,9,26
"Ant242",4,14,16,0,0,40,30,20,1,3,5,19,3,2,0,1,5,0,15,20,28,2
"Ant263",7,4,1,1,0,12,14,21,0,6,1,7,2,3,1,0,5,2,4,4,1,5
"Ant298",17,0,6,1,9,0,13,5,0,5,0,13,8,9,5,5,0,10,1,5,2,2
"Ant332",35,3,15,6,0,0,2,0,1,13,0,0,13,8,0,2,10,0,1,4,2,26
"Ant356",1,1,1,0,0,5,13,3,6,1,2,1,1,2,15,4,1,1,0,13,3,0
"Ant475",11,8,7,0,0,8,7,25,13,7,9,15,10,6,20,4,5,4,13,0,5,19
"Ant564",7,6,3,0,0,10,11,6,16,1,3,14,2,9,28,1,2,2,3,5,0,6
"Ant593",12,1,13,7,0,9,3,3,6,9,0,24,6,26,2,5,2,26,0,19,6,0
