"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,8,1,0,8,14,7,2,11,8,4,0,19,1,12
"Ant73",8,0,0,0,31,28,26,8,21,3,3,5,16,12,4
"Ant148",1,0,0,0,0,0,0,7,11,1,0,0,0,0,1
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant252",8,31,0,0,0,11,29,0,37,7,4,4,8,9,11
"Ant27",14,28,0,0,11,0,8,8,10,5,11,10,2,6,13
"Ant44",7,26,0,0,29,8,0,4,16,19,5,10,6,14,15
"Ant97",2,8,7,0,0,8,4,0,11,16,0,2,14,4,2
"Ant117",11,21,11,0,37,10,16,11,0,39,7,7,4,7,28
"Ant176",8,3,1,0,7,5,19,16,39,0,7,13,14,11,52
"Ant242",4,3,0,0,4,11,5,0,7,7,0,18,3,11,7
"Ant263",0,5,0,0,4,10,10,2,7,13,18,0,4,21,3
"Ant356",19,16,0,0,8,2,6,14,4,14,3,4,0,2,12
"Ant475",1,12,0,0,9,6,14,4,7,11,11,21,2,0,11
"Ant593",12,4,1,0,11,13,15,2,28,52,7,3,12,11,0
