"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,10,1,4,0,16,14,1,12,4,16,12,11,4,21
"Ant73",10,0,0,0,4,31,14,11,19,20,31,11,6,7,9
"Ant148",1,0,0,0,1,1,0,5,9,4,0,2,0,3,0
"Ant191",4,0,0,0,6,4,0,2,10,4,0,0,2,3,1
"Ant252",0,4,1,6,0,15,10,0,24,9,15,9,0,12,18
"Ant27",16,31,1,4,15,0,1,11,24,17,14,8,3,1,9
"Ant44",14,14,0,0,10,1,0,0,18,5,0,1,0,5,0
"Ant97",1,11,5,2,0,11,0,0,7,4,0,1,2,10,12
"Ant117",12,19,9,10,24,24,18,7,0,31,16,11,11,34,9
"Ant176",4,20,4,4,9,17,5,4,31,0,12,6,6,21,13
"Ant242",16,31,0,0,15,14,0,0,16,12,0,7,30,10,2
"Ant263",12,11,2,0,9,8,1,1,11,6,7,0,12,10,2
"Ant356",11,6,0,2,0,3,0,2,11,6,30,12,0,4,1
"Ant475",4,7,3,3,12,1,5,10,34,21,10,10,4,0,6
"Ant593",21,9,0,1,18,9,0,12,9,13,2,2,1,6,0
