"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,1,10,5,0,9,5,9,12,12,7,6,15,27,0,2,5,17,5,21,3,13
"Ant6",1,0,17,2,0,17,14,9,4,4,10,27,2,7,0,17,12,1,6,10,0,11
"Ant73",10,17,0,2,0,22,6,1,12,13,5,13,8,4,2,4,2,18,1,14,2,6
"Ant148",5,2,2,0,0,1,1,0,0,2,0,0,2,0,2,0,0,7,0,0,0,1
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"Ant252",9,17,22,1,0,0,22,1,26,1,2,19,7,4,3,7,4,0,28,9,2,8
"Ant311",5,14,6,1,0,22,0,23,10,3,3,7,10,5,60,10,8,3,13,11,7,2
"Ant27",9,9,1,0,0,1,23,0,3,10,0,15,4,6,40,2,6,4,6,15,8,1
"Ant44",12,4,12,0,0,26,10,3,0,11,3,25,14,19,24,20,2,6,18,28,9,10
"Ant97",12,4,13,2,0,1,3,10,11,0,2,8,1,10,6,4,2,5,1,0,3,8
"Ant115",7,10,5,0,0,2,3,0,3,2,0,1,5,0,0,7,0,0,0,6,2,9
"Ant117",6,27,13,0,0,19,7,15,25,8,1,0,20,9,12,10,22,9,11,18,10,22
"Ant153",15,2,8,2,0,7,10,4,14,1,5,20,0,6,10,5,1,9,6,9,2,10
"Ant176",27,7,4,0,0,4,5,6,19,10,0,9,6,0,3,3,5,4,5,14,3,8
"Ant242",0,0,2,2,0,3,60,40,24,6,0,12,10,3,0,9,8,1,16,16,15,2
"Ant263",2,17,4,0,0,7,10,2,20,4,7,10,5,3,9,0,2,3,2,6,8,7
"Ant298",5,12,2,0,13,4,8,6,2,2,0,22,1,5,8,2,0,1,3,6,0,2
"Ant332",17,1,18,7,0,0,3,4,6,5,0,9,9,4,1,3,1,0,1,3,2,1
"Ant356",5,6,1,0,0,28,13,6,18,1,0,11,6,5,16,2,3,1,0,9,27,13
"Ant475",21,10,14,0,0,9,11,15,28,0,6,18,9,14,16,6,6,3,9,0,8,3
"Ant564",3,0,2,0,0,2,7,8,9,3,2,10,2,3,15,8,0,2,27,8,0,6
"Ant593",13,11,6,1,0,8,2,1,10,8,9,22,10,8,2,7,2,1,13,3,6,0
