"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,13,9,3,1,0,4,0,5,9,27,8,27,2,16,30,0,14,3,2,13,14,4,6,1,0,7,1,7,9,1
"Ant540",13,0,12,5,18,11,4,3,5,3,8,14,13,21,8,16,12,8,17,2,0,6,2,13,9,2,26,6,3,4,32
"Ant6",9,12,0,4,2,0,6,0,5,2,6,7,10,9,1,17,4,22,6,0,4,9,5,1,1,6,16,0,18,5,5
"Ant19",3,5,4,0,3,0,6,0,4,17,12,6,34,13,2,18,1,8,1,2,6,9,1,10,1,17,3,7,6,3,2
"Ant73",1,18,2,3,0,1,35,0,3,13,12,9,14,17,5,10,0,0,14,10,13,4,2,12,43,7,6,6,2,2,11
"Ant148",0,11,0,0,1,0,1,0,1,0,0,4,0,7,0,0,1,0,8,0,0,0,1,1,8,0,0,0,1,1,5
"Ant158",4,4,6,6,35,1,0,0,12,0,2,8,15,8,3,21,4,9,14,1,0,4,4,5,34,1,6,2,3,4,8
"Ant191",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,14,0,0,0
"Ant252",5,5,5,4,3,1,12,0,0,18,14,6,10,0,14,18,4,1,3,23,8,2,2,1,2,12,15,0,0,4,0
"Ant311",9,3,2,17,13,0,0,0,18,0,14,7,22,0,1,2,7,19,4,11,33,9,0,0,1,14,0,3,4,0,0
"Ant27",27,8,6,12,12,0,2,0,14,14,0,14,14,8,6,21,9,8,3,2,66,5,3,9,0,38,23,2,12,6,1
"Ant32",8,14,7,6,9,4,8,0,6,7,14,0,6,5,2,2,1,14,12,2,4,6,3,14,5,8,5,14,2,1,27
"Ant44",27,13,10,34,14,0,15,0,10,22,14,6,0,5,6,22,8,13,2,5,33,19,9,7,3,3,4,9,22,18,4
"Ant97",2,21,9,13,17,7,8,0,0,0,8,5,5,0,9,11,14,1,12,2,1,4,6,4,17,11,4,3,5,1,4
"Ant115",16,8,1,2,5,0,3,0,14,1,6,2,6,9,0,15,1,5,5,0,1,10,11,3,0,4,13,4,6,3,3
"Ant117",30,16,17,18,10,0,21,0,18,2,21,2,22,11,15,0,24,4,5,9,14,9,4,15,0,17,26,5,17,22,6
"Ant140",0,12,4,1,0,1,4,0,4,7,9,1,8,14,1,24,0,0,1,4,12,5,0,16,5,6,6,0,0,1,4
"Ant153",14,8,22,8,0,0,9,0,1,19,8,14,13,1,5,4,0,0,6,2,12,5,10,6,2,11,1,14,9,9,6
"Ant176",3,17,6,1,14,8,14,0,3,4,3,12,2,12,5,5,1,6,0,1,3,0,8,6,15,3,5,4,8,8,9
"Ant217",2,2,0,2,10,0,1,0,23,11,2,2,5,2,0,9,4,2,1,0,6,3,3,0,0,5,3,0,0,27,1
"Ant242",13,0,4,6,13,0,0,0,8,33,66,4,33,1,1,14,12,12,3,6,0,6,0,7,0,48,5,5,16,11,1
"Ant263",14,6,9,9,4,0,4,0,2,9,5,6,19,4,10,9,5,5,0,3,6,0,4,1,2,6,8,2,9,2,2
"Ant289",4,2,5,1,2,1,4,0,2,0,3,3,9,6,11,4,0,10,8,3,0,4,0,1,5,0,11,0,12,15,3
"Ant298",6,13,1,10,12,1,5,23,1,0,9,14,7,4,3,15,16,6,6,0,7,1,1,0,11,7,1,17,2,6,11
"Ant332",1,9,1,1,43,8,34,0,2,1,0,5,3,17,0,0,5,2,15,0,0,2,5,11,0,0,6,7,1,1,12
"Ant356",0,2,6,17,7,0,1,0,12,14,38,8,3,11,4,17,6,11,3,5,48,6,0,7,0,0,5,0,5,6,0
"Ant475",7,26,16,3,6,0,6,0,15,0,23,5,4,4,13,26,6,1,5,3,5,8,11,1,6,5,0,1,8,15,15
"Ant507",1,6,0,7,6,0,2,14,0,3,2,14,9,3,4,5,0,14,4,0,5,2,0,17,7,0,1,0,1,2,4
"Ant530",7,3,18,6,2,1,3,0,0,4,12,2,22,5,6,17,0,9,8,0,16,9,12,2,1,5,8,1,0,7,2
"Ant564",9,4,5,3,2,1,4,0,4,0,6,1,18,1,3,22,1,9,8,27,11,2,15,6,1,6,15,2,7,0,3
"Ant593",1,32,5,2,11,5,8,0,0,0,1,27,4,4,3,6,4,6,9,1,1,2,3,11,12,0,15,4,2,3,0
