"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,9,5,8,10,7,5,5,6,13,7,9,7,10,21,16,9,9,13,9,5,12
"Ant6",9,0,25,0,4,6,3,7,13,20,6,20,6,3,17,21,13,3,8,19,9,5
"Ant73",5,25,0,0,0,3,6,21,39,3,22,10,8,5,31,17,11,16,29,4,3,7
"Ant148",8,0,0,0,0,0,2,0,4,3,0,0,3,5,0,0,0,3,0,1,0,1
"Ant191",10,4,0,0,0,3,3,0,4,1,1,0,15,3,0,3,6,1,3,6,0,3
"Ant252",7,6,3,0,3,0,15,24,15,6,5,12,1,3,2,36,0,0,2,3,9,1
"Ant311",5,3,6,2,3,15,0,30,4,1,5,9,0,4,21,8,15,0,35,6,6,1
"Ant27",5,7,21,0,0,24,30,0,49,1,5,8,2,4,36,10,8,0,30,11,11,4
"Ant44",6,13,39,4,4,15,4,49,0,4,19,10,3,6,56,3,11,0,20,21,12,6
"Ant97",13,20,3,3,1,6,1,1,4,0,2,14,5,6,5,2,2,13,3,4,0,5
"Ant115",7,6,22,0,1,5,5,5,19,2,0,1,7,6,13,4,2,1,12,14,3,0
"Ant117",9,20,10,0,0,12,9,8,10,14,1,0,8,6,12,2,6,0,3,19,0,4
"Ant153",7,6,8,3,15,1,0,2,3,5,7,8,0,8,2,5,5,7,3,2,3,7
"Ant176",10,3,5,5,3,3,4,4,6,6,6,6,8,0,9,5,19,4,4,13,3,6
"Ant242",21,17,31,0,0,2,21,36,56,5,13,12,2,9,0,7,11,3,36,37,14,0
"Ant263",16,21,17,0,3,36,8,10,3,2,4,2,5,5,7,0,5,2,7,3,9,0
"Ant298",9,13,11,0,6,0,15,8,11,2,2,6,5,19,11,5,0,7,11,14,3,5
"Ant332",9,3,16,3,1,0,0,0,0,13,1,0,7,4,3,2,7,0,2,7,0,7
"Ant356",13,8,29,0,3,2,35,30,20,3,12,3,3,4,36,7,11,2,0,6,3,5
"Ant475",9,19,4,1,6,3,6,11,21,4,14,19,2,13,37,3,14,7,6,0,3,3
"Ant564",5,9,3,0,0,9,6,11,12,0,3,0,3,3,14,9,3,0,3,3,0,1
"Ant593",12,5,7,1,3,1,1,4,6,5,0,4,7,6,0,0,5,7,5,3,1,0
