"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,8,0,1,11,38,15,6,15,1,8,11,27,4,5
"Ant73",8,0,0,2,21,13,26,1,13,2,8,5,56,7,7
"Ant148",0,0,0,0,0,0,0,1,3,1,0,0,1,0,2
"Ant191",1,2,0,0,3,2,0,0,1,2,0,0,0,1,4
"Ant252",11,21,0,3,0,21,26,2,26,9,21,9,19,6,4
"Ant27",38,13,0,2,21,0,17,3,21,7,27,8,29,4,7
"Ant44",15,26,0,0,26,17,0,3,28,6,8,14,25,15,11
"Ant97",6,1,1,0,2,3,3,0,2,6,4,2,0,5,1
"Ant117",15,13,3,1,26,21,28,2,0,19,20,6,25,16,14
"Ant176",1,2,1,2,9,7,6,6,19,0,4,7,0,8,13
"Ant242",8,8,0,0,21,27,8,4,20,4,0,24,5,5,3
"Ant263",11,5,0,0,9,8,14,2,6,7,24,0,2,4,2
"Ant356",27,56,1,0,19,29,25,0,25,0,5,2,0,4,1
"Ant475",4,7,0,1,6,4,15,5,16,8,5,4,4,0,7
"Ant593",5,7,2,4,4,7,11,1,14,13,3,2,1,7,0
