"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,2,0,14,39,2,2,0,10,4,20,0,25,0,8,8,2,9,2,7,13,2,4,6,0,15,0,1,0,15,2
"Ant540",2,0,2,2,15,4,3,0,4,4,9,19,22,1,3,16,6,12,7,10,5,11,6,14,8,23,28,7,2,5,6
"Ant6",0,2,0,5,4,5,6,0,12,6,0,3,15,0,4,8,0,0,2,1,3,0,5,5,1,0,19,0,4,12,2
"Ant19",14,2,5,0,3,1,0,0,1,6,16,0,2,1,0,2,0,1,4,1,2,0,1,1,1,0,5,1,9,5,2
"Ant73",39,15,4,3,0,0,6,0,7,5,29,1,5,1,3,15,1,15,2,0,12,15,14,2,2,11,1,0,5,1,6
"Ant148",2,4,5,1,0,0,6,0,3,6,1,20,4,16,1,0,2,7,5,0,0,5,1,6,15,0,2,2,6,0,12
"Ant158",2,3,6,0,6,6,0,0,8,2,6,6,11,1,12,3,1,1,6,5,3,6,2,6,5,2,11,2,15,0,5
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,37,0,0,0
"Ant252",10,4,12,1,7,3,8,0,0,2,6,3,30,4,24,17,1,6,8,16,14,5,0,5,0,3,19,0,4,24,3
"Ant311",4,4,6,6,5,6,2,0,2,0,7,1,20,8,1,22,3,4,2,6,32,4,0,0,6,24,3,1,3,2,2
"Ant27",20,9,0,16,29,1,6,0,6,7,0,6,21,20,3,20,4,26,1,8,36,24,17,4,0,29,5,2,9,12,5
"Ant32",0,19,3,0,1,20,6,0,3,1,6,0,6,9,0,1,13,4,9,6,2,6,2,8,14,3,12,8,11,0,13
"Ant44",25,22,15,2,5,4,11,0,30,20,21,6,0,8,11,14,2,24,4,18,10,28,6,7,1,19,21,1,25,31,5
"Ant97",0,1,0,1,1,16,1,0,4,8,20,9,8,0,4,1,7,2,11,1,4,1,1,4,13,3,2,0,2,3,4
"Ant115",8,3,4,0,3,1,12,0,24,1,3,0,11,4,0,11,5,2,2,3,0,0,5,4,2,1,8,0,3,3,8
"Ant117",8,16,8,2,15,0,3,0,17,22,20,1,14,1,11,0,9,32,2,8,20,18,10,7,2,34,2,5,3,14,6
"Ant140",2,6,0,0,1,2,1,33,1,3,4,13,2,7,5,9,0,1,4,1,7,1,1,32,14,0,2,16,2,1,4
"Ant153",9,12,0,1,15,7,1,0,6,4,26,4,24,2,2,32,1,0,3,1,17,13,5,6,0,18,10,1,2,5,3
"Ant176",2,7,2,4,2,5,6,0,8,2,1,9,4,11,2,2,4,3,0,3,5,4,4,44,7,3,11,9,4,3,20
"Ant217",7,10,1,1,0,0,5,0,16,6,8,6,18,1,3,8,1,1,3,0,7,14,4,9,1,0,5,1,17,14,2
"Ant242",13,5,3,2,12,0,3,0,14,32,36,2,10,4,0,20,7,17,5,7,0,17,0,5,0,18,0,0,0,11,1
"Ant263",2,11,0,0,15,5,6,0,5,4,24,6,28,1,0,18,1,13,4,14,17,0,8,7,1,8,9,2,6,3,6
"Ant289",4,6,5,1,14,1,2,0,0,0,17,2,6,1,5,10,1,5,4,4,0,8,0,4,3,3,6,0,4,0,10
"Ant298",6,14,5,1,2,6,6,0,5,0,4,8,7,4,4,7,32,6,44,9,5,7,4,0,5,11,12,8,2,4,7
"Ant332",0,8,1,1,2,15,5,0,0,6,0,14,1,13,2,2,14,0,7,1,0,1,3,5,0,1,7,6,3,0,9
"Ant356",15,23,0,0,11,0,2,0,3,24,29,3,19,3,1,34,0,18,3,0,18,8,3,11,1,0,9,1,1,7,2
"Ant475",0,28,19,5,1,2,11,0,19,3,5,12,21,2,8,2,2,10,11,5,0,9,6,12,7,9,0,7,9,11,8
"Ant507",1,7,0,1,0,2,2,37,0,1,2,8,1,0,0,5,16,1,9,1,0,2,0,8,6,1,7,0,2,0,2
"Ant530",0,2,4,9,5,6,15,0,4,3,9,11,25,2,3,3,2,2,4,17,0,6,4,2,3,1,9,2,0,3,8
"Ant564",15,5,12,5,1,0,0,0,24,2,12,0,31,3,3,14,1,5,3,14,11,3,0,4,0,7,11,0,3,0,1
"Ant593",2,6,2,2,6,12,5,0,3,2,5,13,5,4,8,6,4,3,20,2,1,6,10,7,9,2,8,2,8,1,0
