"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,4,2,6,14,0,0,0,6,6,18,6,24,0,16,11,0,4,2,9,7,5,5,1,0,0,19,2,5,5,0
"Ant540",4,0,2,3,0,12,3,0,8,12,2,10,13,2,3,13,11,11,12,4,1,13,6,9,4,9,9,9,7,4,0
"Ant6",2,2,0,6,0,5,8,0,8,9,0,0,24,0,4,9,2,4,7,1,2,3,4,4,1,9,5,3,11,9,6
"Ant19",6,3,6,0,3,3,6,0,4,5,3,4,12,1,6,7,2,4,2,0,1,3,7,1,2,12,8,1,3,8,3
"Ant73",14,0,0,3,0,0,6,0,9,14,20,9,11,0,1,6,7,4,1,8,25,7,0,2,0,21,58,0,3,6,1
"Ant148",0,12,5,3,0,0,10,0,3,3,0,1,3,32,1,16,7,6,13,2,0,7,1,4,22,0,0,11,1,1,12
"Ant158",0,3,8,6,6,10,0,0,4,4,0,3,8,24,5,29,2,10,13,0,1,3,5,2,11,3,9,8,6,4,4
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant252",6,8,8,4,9,3,4,0,0,15,0,2,23,1,16,0,1,4,2,21,0,4,4,0,0,2,16,1,4,8,0
"Ant311",6,12,9,5,14,3,4,0,15,0,28,27,6,0,0,30,5,17,2,9,43,7,5,0,4,15,23,4,12,5,2
"Ant27",18,2,0,3,20,0,0,0,0,28,0,21,12,0,0,33,3,10,4,0,38,11,0,13,0,14,15,0,0,6,0
"Ant32",6,10,0,4,9,1,3,0,2,27,21,0,2,0,1,7,13,7,2,0,33,15,0,8,0,14,9,1,0,4,1
"Ant44",24,13,24,12,11,3,8,0,23,6,12,2,0,1,20,7,7,14,9,14,17,4,10,3,6,2,18,6,9,22,4
"Ant97",0,2,0,1,0,32,24,0,1,0,0,0,1,0,0,12,8,3,13,2,1,1,2,2,24,1,0,4,1,0,11
"Ant115",16,3,4,6,1,1,5,0,16,0,0,1,20,0,0,6,2,7,2,6,0,0,21,2,2,0,2,1,10,3,1
"Ant117",11,13,9,7,6,16,29,0,0,30,33,7,7,12,6,0,20,24,39,3,28,5,7,3,15,11,17,7,4,7,16
"Ant140",0,11,2,2,7,7,2,0,1,5,3,13,7,8,2,20,0,8,16,1,7,7,1,10,13,4,6,3,5,1,20
"Ant153",4,11,4,4,4,6,10,0,4,17,10,7,14,3,7,24,8,0,5,1,12,4,1,11,4,9,7,0,6,1,3
"Ant176",2,12,7,2,1,13,13,0,2,2,4,2,9,13,2,39,16,5,0,0,1,6,2,17,10,5,1,13,2,1,19
"Ant217",9,4,1,0,8,2,0,0,21,9,0,0,14,2,6,3,1,1,0,0,0,6,1,3,1,1,6,2,3,6,2
"Ant242",7,1,2,1,25,0,1,0,0,43,38,33,17,1,0,28,7,12,1,0,0,1,0,11,3,30,6,1,3,1,0
"Ant263",5,13,3,3,7,7,3,0,4,7,11,15,4,1,0,5,7,4,6,6,1,0,0,11,1,8,3,3,0,0,3
"Ant289",5,6,4,7,0,1,5,0,4,5,0,0,10,2,21,7,1,1,2,1,0,0,0,0,2,1,4,0,6,9,9
"Ant298",1,9,4,1,2,4,2,0,0,0,13,8,3,2,2,3,10,11,17,3,11,11,0,0,8,8,7,9,3,2,5
"Ant332",0,4,1,2,0,22,11,0,0,4,0,0,6,24,2,15,13,4,10,1,3,1,2,8,0,0,0,9,1,0,43
"Ant356",0,9,9,12,21,0,3,0,2,15,14,14,2,1,0,11,4,9,5,1,30,8,1,8,0,0,15,4,3,3,2
"Ant475",19,9,5,8,58,0,9,0,16,23,15,9,18,0,2,17,6,7,1,6,6,3,4,7,0,15,0,1,15,7,3
"Ant507",2,9,3,1,0,11,8,0,1,4,0,1,6,4,1,7,3,0,13,2,1,3,0,9,9,4,1,0,1,2,7
"Ant530",5,7,11,3,3,1,6,0,4,12,0,0,9,1,10,4,5,6,2,3,3,0,6,3,1,3,15,1,0,6,2
"Ant564",5,4,9,8,6,1,4,0,8,5,6,4,22,0,3,7,1,1,1,6,1,0,9,2,0,3,7,2,6,0,4
"Ant593",0,0,6,3,1,12,4,0,0,2,0,1,4,11,1,16,20,3,19,2,0,3,9,5,43,2,3,7,2,4,0
