"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,0,1,3,7,1,9,0,3,5,1,1,16,0,0,4,4,0,3,0,12,7,1,5,2,1,10,1,5,3,0
"Ant540",0,0,10,5,20,1,11,0,17,2,2,7,6,5,3,19,5,4,12,8,6,6,7,9,9,5,11,5,2,4,11
"Ant6",1,10,0,3,11,0,3,0,7,7,5,4,23,2,9,10,5,11,6,0,0,7,15,9,0,18,13,1,5,10,0
"Ant19",3,5,3,0,5,7,13,0,3,12,6,2,6,1,5,10,4,5,3,4,17,2,12,4,1,8,21,3,8,15,1
"Ant73",7,20,11,5,0,2,8,0,10,5,9,11,10,21,7,10,6,2,17,10,1,7,9,13,30,3,24,6,6,2,18
"Ant148",1,1,0,7,2,0,5,0,1,0,2,5,3,14,0,5,1,0,0,0,1,2,0,2,5,0,1,1,0,0,2
"Ant158",9,11,3,13,8,5,0,0,1,0,12,12,2,5,3,10,3,14,14,2,1,4,5,6,18,5,12,2,0,5,15
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"Ant252",3,17,7,3,10,1,1,0,0,2,7,3,50,9,9,16,1,6,5,0,6,6,6,1,1,4,12,5,13,9,6
"Ant311",5,2,7,12,5,0,0,0,2,0,14,13,17,2,7,20,9,1,2,1,11,4,6,15,4,8,20,8,14,13,8
"Ant27",1,2,5,6,9,2,12,0,7,14,0,8,0,2,4,12,2,10,0,3,15,13,10,4,2,24,27,0,10,12,0
"Ant32",1,7,4,2,11,5,12,0,3,13,8,0,4,14,1,34,0,11,8,1,9,4,3,10,15,11,10,18,6,7,11
"Ant44",16,6,23,6,10,3,2,0,50,17,0,4,0,1,3,30,18,9,2,5,30,2,4,1,2,1,4,3,35,5,4
"Ant97",0,5,2,1,21,14,5,0,9,2,2,14,1,0,3,10,6,9,4,1,0,2,0,6,17,2,4,5,20,7,5
"Ant115",0,3,9,5,7,0,3,0,9,7,4,1,3,3,0,0,3,9,4,2,11,6,13,4,5,5,2,0,20,1,10
"Ant117",4,19,10,10,10,5,10,0,16,20,12,34,30,10,0,0,27,15,12,17,5,17,5,14,1,15,4,2,23,12,2
"Ant140",4,5,5,4,6,1,3,12,1,9,2,0,18,6,3,27,0,0,11,1,6,1,3,26,13,5,3,15,4,7,4
"Ant153",0,4,11,5,2,0,14,0,6,1,10,11,9,9,9,15,0,0,4,6,18,9,5,6,2,4,7,1,7,6,17
"Ant176",3,12,6,3,17,0,14,0,5,2,0,8,2,4,4,12,11,4,0,6,0,1,13,10,8,2,5,3,4,4,10
"Ant217",0,8,0,4,10,0,2,0,0,1,3,1,5,1,2,17,1,6,6,0,5,4,4,7,2,2,10,1,0,6,4
"Ant242",12,6,0,17,1,1,1,0,6,11,15,9,30,0,11,5,6,18,0,5,0,3,4,2,0,8,18,1,6,8,1
"Ant263",7,6,7,2,7,2,4,0,6,4,13,4,2,2,6,17,1,9,1,4,3,0,2,3,0,3,5,0,14,1,3
"Ant289",1,7,15,12,9,0,5,0,6,6,10,3,4,0,13,5,3,5,13,4,4,2,0,11,1,1,7,1,0,4,5
"Ant298",5,9,9,4,13,2,6,0,1,15,4,10,1,6,4,14,26,6,10,7,2,3,11,0,10,2,9,13,3,9,3
"Ant332",2,9,0,1,30,5,18,0,1,4,2,15,2,17,5,1,13,2,8,2,0,0,1,10,0,0,3,14,0,2,9
"Ant356",1,5,18,8,3,0,5,0,4,8,24,11,1,2,5,15,5,4,2,2,8,3,1,2,0,0,9,1,5,14,2
"Ant475",10,11,13,21,24,1,12,0,12,20,27,10,4,4,2,4,3,7,5,10,18,5,7,9,3,9,0,5,8,17,5
"Ant507",1,5,1,3,6,1,2,14,5,8,0,18,3,5,0,2,15,1,3,1,1,0,1,13,14,1,5,0,4,1,8
"Ant530",5,2,5,8,6,0,0,0,13,14,10,6,35,20,20,23,4,7,4,0,6,14,0,3,0,5,8,4,0,17,0
"Ant564",3,4,10,15,2,0,5,0,9,13,12,7,5,7,1,12,7,6,4,6,8,1,4,9,2,14,17,1,17,0,1
"Ant593",0,11,0,1,18,2,15,0,6,8,0,11,4,5,10,2,4,17,10,4,1,3,5,3,9,2,5,8,0,1,0
