"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,11,0,0,12,8,36,1,32,5,10,13,6,10,12
"Ant73",11,0,0,0,21,17,12,7,35,1,6,15,10,9,10
"Ant148",0,0,0,0,0,0,0,8,0,1,0,0,1,0,1
"Ant191",0,0,0,0,0,0,5,0,4,0,0,0,0,4,0
"Ant252",12,21,0,0,0,1,8,3,19,8,4,29,2,15,12
"Ant27",8,17,0,0,1,0,9,2,11,5,30,24,19,28,3
"Ant44",36,12,0,5,8,9,0,1,16,7,12,35,23,7,12
"Ant97",1,7,8,0,3,2,1,0,9,8,1,8,4,9,4
"Ant117",32,35,0,4,19,11,16,9,0,13,31,21,8,22,28
"Ant176",5,1,1,0,8,5,7,8,13,0,2,5,9,18,26
"Ant242",10,6,0,0,4,30,12,1,31,2,0,13,13,20,8
"Ant263",13,15,0,0,29,24,35,8,21,5,13,0,18,6,9
"Ant356",6,10,1,0,2,19,23,4,8,9,13,18,0,7,5
"Ant475",10,9,0,4,15,28,7,9,22,18,20,6,7,0,20
"Ant593",12,10,1,0,12,3,12,4,28,26,8,9,5,20,0
