"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,15,23,4,4,0,6,0,3,1,4,4,10,0,0,3,1,10,1,6,10,1,9,4,1,18,1,0,7,10,2
"Ant540",15,0,9,7,11,14,15,0,8,1,10,23,10,34,4,21,7,8,6,6,6,2,4,6,4,17,13,5,17,8,3
"Ant6",23,9,0,4,21,2,9,0,8,10,7,1,17,3,9,7,3,1,10,11,3,13,20,10,1,6,10,6,10,2,6
"Ant19",4,7,4,0,6,3,11,0,4,1,9,5,4,0,2,11,2,4,1,4,7,3,1,1,2,4,7,0,12,3,2
"Ant73",4,11,21,6,0,1,10,0,8,1,24,7,5,1,3,24,0,6,1,2,11,0,0,2,1,17,19,0,4,7,5
"Ant148",0,14,2,3,1,0,6,0,3,5,1,7,6,25,0,11,8,4,6,6,3,2,2,8,28,2,7,10,0,0,15
"Ant158",6,15,9,11,10,6,0,0,8,10,6,15,18,16,1,7,3,12,9,5,10,4,2,1,20,3,4,3,8,7,16
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant252",3,8,8,4,8,3,8,0,0,8,0,2,24,1,15,0,8,6,2,7,2,14,8,3,3,0,4,2,12,21,5
"Ant311",1,1,10,1,1,5,10,0,8,0,3,3,44,1,20,4,2,10,8,2,1,9,12,7,9,5,21,3,2,1,11
"Ant27",4,10,7,9,24,1,6,0,0,3,0,19,5,5,0,21,2,27,5,3,17,3,6,5,0,1,3,1,2,6,1
"Ant32",4,23,1,5,7,7,15,0,2,3,19,0,3,4,1,15,12,26,3,0,17,1,1,7,7,4,3,2,3,3,2
"Ant44",10,10,17,4,5,6,18,0,24,44,5,3,0,1,21,5,9,7,18,9,3,14,10,11,5,9,11,5,2,8,3
"Ant97",0,34,3,0,1,25,16,0,1,1,5,4,1,0,2,5,3,2,11,0,3,1,0,2,21,0,2,11,0,2,6
"Ant115",0,4,9,2,3,0,1,0,15,20,0,1,21,2,0,0,0,1,2,15,4,7,5,2,2,3,7,0,0,0,6
"Ant117",3,21,7,11,24,11,7,0,0,4,21,15,5,5,0,0,11,14,14,3,13,3,11,29,4,1,6,12,4,12,1
"Ant140",1,7,3,2,0,8,3,0,8,2,2,12,9,3,0,11,0,4,7,0,2,5,2,10,17,0,1,7,3,1,9
"Ant153",10,8,1,4,6,4,12,0,6,10,27,26,7,2,1,14,4,0,6,0,21,2,1,8,7,4,11,4,1,7,2
"Ant176",1,6,10,1,1,6,9,0,2,8,5,3,18,11,2,14,7,6,0,1,7,2,8,30,27,10,9,9,2,1,7
"Ant217",6,6,11,4,2,6,5,0,7,2,3,0,9,0,15,3,0,0,1,0,4,8,1,2,3,4,5,1,3,1,3
"Ant242",10,6,3,7,11,3,10,0,2,1,17,17,3,3,4,13,2,21,7,4,0,1,6,10,0,22,0,3,0,8,2
"Ant263",1,2,13,3,0,2,4,0,14,9,3,1,14,1,7,3,5,2,2,8,1,0,12,1,4,8,6,0,2,1,7
"Ant289",9,4,20,1,0,2,2,0,8,12,6,1,10,0,5,11,2,1,8,1,6,12,0,5,3,15,12,1,5,4,4
"Ant298",4,6,10,1,2,8,1,0,3,7,5,7,11,2,2,29,10,8,30,2,10,1,5,0,13,3,4,29,4,0,9
"Ant332",1,4,1,2,1,28,20,0,3,9,0,7,5,21,2,4,17,7,27,3,0,4,3,13,0,5,3,12,1,0,28
"Ant356",18,17,6,4,17,2,3,0,0,5,1,4,9,0,3,1,0,4,10,4,22,8,15,3,5,0,9,1,5,5,4
"Ant475",1,13,10,7,19,7,4,0,4,21,3,3,11,2,7,6,1,11,9,5,0,6,12,4,3,9,0,0,4,10,2
"Ant507",0,5,6,0,0,10,3,0,2,3,1,2,5,11,0,12,7,4,9,1,3,0,1,29,12,1,0,0,1,0,8
"Ant530",7,17,10,12,4,0,8,0,12,2,2,3,2,0,0,4,3,1,2,3,0,2,5,4,1,5,4,1,0,16,0
"Ant564",10,8,2,3,7,0,7,0,21,1,6,3,8,2,0,12,1,7,1,1,8,1,4,0,0,5,10,0,16,0,2
"Ant593",2,3,6,2,5,15,16,0,5,11,1,2,3,6,6,1,9,2,7,3,2,7,4,9,28,4,2,8,0,2,0
