"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,6,2,0,30,17,13,4,23,6,9,17,24,9,7
"Ant73",6,0,0,0,14,4,22,1,31,20,10,34,13,5,6
"Ant148",2,0,0,0,2,0,1,1,0,6,1,0,1,1,0
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant252",30,14,2,0,0,19,37,0,17,12,36,10,22,18,11
"Ant27",17,4,0,0,19,0,39,1,5,1,20,31,17,17,10
"Ant44",13,22,1,0,37,39,0,2,21,25,21,24,5,7,7
"Ant97",4,1,1,0,0,1,2,0,1,9,0,3,3,18,3
"Ant117",23,31,0,0,17,5,21,1,0,8,23,14,15,22,8
"Ant176",6,20,6,0,12,1,25,9,8,0,21,5,13,7,11
"Ant242",9,10,1,0,36,20,21,0,23,21,0,31,37,12,5
"Ant263",17,34,0,0,10,31,24,3,14,5,31,0,7,11,3
"Ant356",24,13,1,0,22,17,5,3,15,13,37,7,0,24,8
"Ant475",9,5,1,0,18,17,7,18,22,7,12,11,24,0,9
"Ant593",7,6,0,0,11,10,7,3,8,11,5,3,8,9,0
