"","Ant4","Ant540","Ant6","Ant19","Ant73","Ant148","Ant158","Ant191","Ant252","Ant311","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant153","Ant176","Ant217","Ant242","Ant263","Ant289","Ant298","Ant332","Ant356","Ant475","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,5,11,0,10,0,6,0,8,9,3,4,25,2,2,8,4,5,1,5,7,3,7,4,2,8,4,1,1,4,4
"Ant540",5,0,7,18,8,15,6,0,6,13,3,7,2,0,1,19,5,0,5,3,6,9,17,5,3,10,15,6,8,15,14
"Ant6",11,7,0,0,3,2,6,0,15,3,4,1,39,1,8,4,1,1,3,9,1,5,6,1,2,2,11,2,6,1,7
"Ant19",0,18,0,0,8,0,3,0,3,11,9,0,10,4,0,8,0,1,0,12,9,2,2,1,1,7,9,0,2,24,4
"Ant73",10,8,3,8,0,4,13,0,0,10,5,4,9,6,8,7,2,3,7,9,9,13,10,4,7,11,0,1,6,7,4
"Ant148",0,15,2,0,4,0,6,0,0,3,0,9,4,26,0,3,1,1,14,0,0,2,1,2,36,2,8,10,0,0,27
"Ant158",6,6,6,3,13,6,0,0,2,23,17,5,13,8,2,14,9,16,13,7,13,7,8,12,3,16,8,3,10,2,4
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant252",8,6,15,3,0,0,2,0,0,9,15,0,21,6,5,19,0,4,7,6,4,7,4,3,2,17,5,2,13,14,6
"Ant311",9,13,3,11,10,3,23,0,9,0,17,5,18,3,2,39,8,20,14,4,9,10,5,4,2,14,12,8,16,18,0
"Ant27",3,3,4,9,5,0,17,0,15,17,0,0,13,0,0,27,0,23,0,0,52,6,0,6,1,56,0,0,0,6,2
"Ant32",4,7,1,0,4,9,5,0,0,5,0,0,1,1,0,3,2,0,5,2,3,2,2,34,9,2,2,18,1,5,18
"Ant44",25,2,39,10,9,4,13,0,21,18,13,1,0,11,12,8,9,26,15,6,25,17,4,18,3,3,20,4,10,31,10
"Ant97",2,0,1,4,6,26,8,0,6,3,0,1,11,0,3,2,3,1,8,6,6,4,9,0,15,0,2,4,3,0,5
"Ant115",2,1,8,0,8,0,2,0,5,2,0,0,12,3,0,1,2,3,1,15,0,10,4,4,5,0,19,0,6,2,3
"Ant117",8,19,4,8,7,3,14,0,19,39,27,3,8,2,1,0,7,41,7,2,44,5,8,25,1,23,17,2,9,15,10
"Ant140",4,5,1,0,2,1,9,0,0,8,0,2,9,3,2,7,0,1,21,0,0,2,4,19,8,2,1,8,2,0,5
"Ant153",5,0,1,1,3,1,16,0,4,20,23,0,26,1,3,41,1,0,3,0,24,8,5,11,3,11,14,2,5,4,0
"Ant176",1,5,3,0,7,14,13,0,7,14,0,5,15,8,1,7,21,3,0,4,1,3,4,14,12,1,3,10,4,0,15
"Ant217",5,3,9,12,9,0,7,0,6,4,0,2,6,6,15,2,0,0,4,0,7,5,10,1,2,0,7,1,18,13,6
"Ant242",7,6,1,9,9,0,13,0,4,9,52,3,25,6,0,44,0,24,1,7,0,5,2,11,0,25,6,0,6,14,1
"Ant263",3,9,5,2,13,2,7,0,7,10,6,2,17,4,10,5,2,8,3,5,5,0,6,10,5,3,7,3,6,8,2
"Ant289",7,17,6,2,10,1,8,0,4,5,0,2,4,9,4,8,4,5,4,10,2,6,0,0,0,2,14,3,12,23,10
"Ant298",4,5,1,1,4,2,12,0,3,4,6,34,18,0,4,25,19,11,14,1,11,10,0,0,7,12,11,3,1,1,7
"Ant332",2,3,2,1,7,36,3,0,2,2,1,9,3,15,5,1,8,3,12,2,0,5,0,7,0,0,3,20,2,2,17
"Ant356",8,10,2,7,11,2,16,0,17,14,56,2,3,0,0,23,2,11,1,0,25,3,2,12,0,0,2,0,2,2,0
"Ant475",4,15,11,9,0,8,8,0,5,12,0,2,20,2,19,17,1,14,3,7,6,7,14,11,3,2,0,3,4,5,10
"Ant507",1,6,2,0,1,10,3,0,2,8,0,18,4,4,0,2,8,2,10,1,0,3,3,3,20,0,3,0,1,1,7
"Ant530",1,8,6,2,6,0,10,0,13,16,0,1,10,3,6,9,2,5,4,18,6,6,12,1,2,2,4,1,0,9,10
"Ant564",4,15,1,24,7,0,2,0,14,18,6,5,31,0,2,15,0,4,0,13,14,8,23,1,2,2,5,1,9,0,2
"Ant593",4,14,7,4,4,27,4,0,6,0,2,18,10,5,3,10,5,0,15,6,1,2,10,7,17,0,10,7,10,2,0
