"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,2,7,1,5,3,7,8,2,7,3,10,17,13,13,1,5,8,16,3,5,3
"Ant6",2,0,10,0,4,10,4,0,0,0,9,5,4,6,9,10,1,1,5,2,5,5
"Ant73",7,10,0,0,0,14,12,7,4,6,4,16,8,3,33,20,3,4,16,4,3,7
"Ant148",1,0,0,0,1,0,0,1,0,1,0,1,1,4,0,0,2,3,1,0,0,1
"Ant191",5,4,0,1,0,1,1,0,0,4,3,5,4,8,0,0,7,2,7,2,0,1
"Ant252",3,10,14,0,1,0,7,23,1,4,22,12,3,1,12,14,4,0,9,4,4,12
"Ant311",7,4,12,0,1,7,0,64,3,2,6,13,2,28,21,29,7,0,21,4,45,2
"Ant27",8,0,7,1,0,23,64,0,7,1,11,20,1,24,4,19,10,0,43,10,29,7
"Ant44",2,0,4,0,0,1,3,7,0,0,1,12,2,1,11,3,1,2,13,19,11,3
"Ant97",7,0,6,1,4,4,2,1,0,0,0,5,8,15,2,3,7,17,5,0,2,10
"Ant115",3,9,4,0,3,22,6,11,1,0,0,10,2,7,7,10,11,0,3,6,4,5
"Ant117",10,5,16,1,5,12,13,20,12,5,10,0,14,9,15,20,18,6,14,12,15,5
"Ant153",17,4,8,1,4,3,2,1,2,8,2,14,0,18,5,5,7,5,6,1,8,6
"Ant176",13,6,3,4,8,1,28,24,1,15,7,9,18,0,12,13,11,13,17,28,21,22
"Ant242",13,9,33,0,0,12,21,4,11,2,7,15,5,12,0,18,5,2,9,10,19,7
"Ant263",1,10,20,0,0,14,29,19,3,3,10,20,5,13,18,0,13,0,13,4,7,8
"Ant298",5,1,3,2,7,4,7,10,1,7,11,18,7,11,5,13,0,11,5,5,5,6
"Ant332",8,1,4,3,2,0,0,0,2,17,0,6,5,13,2,0,11,0,8,4,2,15
"Ant356",16,5,16,1,7,9,21,43,13,5,3,14,6,17,9,13,5,8,0,20,20,10
"Ant475",3,2,4,0,2,4,4,10,19,0,6,12,1,28,10,4,5,4,20,0,7,3
"Ant564",5,5,3,0,0,4,45,29,11,2,4,15,8,21,19,7,5,2,20,7,0,7
"Ant593",3,5,7,1,1,12,2,7,3,10,5,5,6,22,7,8,6,15,10,3,7,0
