"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,3,8,4,0,2,3,22,9,7,3,3,7,30,6,4,22,14,7,7,3,4
"Ant6",3,0,19,0,0,1,1,26,23,0,1,8,7,12,9,34,4,4,8,14,10,8
"Ant73",8,19,0,5,0,0,1,0,2,10,2,3,3,10,0,1,6,20,2,5,2,12
"Ant148",4,0,5,0,0,0,0,0,1,1,2,3,1,2,0,0,0,4,0,0,0,0
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"Ant252",2,1,0,0,0,0,9,8,16,0,5,26,7,1,32,15,3,0,5,1,13,7
"Ant311",3,1,1,0,0,9,0,13,8,2,7,18,16,4,17,14,4,2,36,3,4,1
"Ant27",22,26,0,0,0,8,13,0,39,32,7,25,2,17,16,10,7,1,26,4,15,0
"Ant44",9,23,2,1,0,16,8,39,0,7,10,42,13,5,11,26,4,1,9,19,19,13
"Ant97",7,0,10,1,0,0,2,32,7,0,7,7,15,13,18,12,4,8,2,11,3,4
"Ant115",3,1,2,2,0,5,7,7,10,7,0,4,10,1,8,7,0,0,5,9,2,7
"Ant117",3,8,3,3,0,26,18,25,42,7,4,0,15,6,10,12,25,0,21,7,28,7
"Ant153",7,7,3,1,0,7,16,2,13,15,10,15,0,7,11,7,9,3,5,7,4,4
"Ant176",30,12,10,2,0,1,4,17,5,13,1,6,7,0,1,2,17,10,3,22,2,28
"Ant242",6,9,0,0,0,32,17,16,11,18,8,10,11,1,0,10,2,0,18,5,22,0
"Ant263",4,34,1,0,0,15,14,10,26,12,7,12,7,2,10,0,5,3,0,13,1,4
"Ant298",22,4,6,0,20,3,4,7,4,4,0,25,9,17,2,5,0,4,6,8,2,6
"Ant332",14,4,20,4,0,0,2,1,1,8,0,0,3,10,0,3,4,0,3,5,0,7
"Ant356",7,8,2,0,0,5,36,26,9,2,5,21,5,3,18,0,6,3,0,7,8,1
"Ant475",7,14,5,0,0,1,3,4,19,11,9,7,7,22,5,13,8,5,7,0,6,12
"Ant564",3,10,2,0,0,13,4,15,19,3,2,28,4,2,22,1,2,0,8,6,0,2
"Ant593",4,8,12,0,0,7,1,0,13,4,7,7,4,28,0,4,6,7,1,12,2,0
