"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,1,2,8,8,3,9,0,7,5,8,16,5,10,3,3,27,15,1,2,3,9
"Ant6",1,0,4,0,3,3,9,2,31,2,8,12,4,3,23,0,1,3,26,14,14,4
"Ant73",2,4,0,2,11,2,23,13,9,6,8,32,4,2,8,12,5,7,9,25,23,15
"Ant148",8,0,2,0,1,0,3,0,0,0,1,0,3,1,0,2,1,2,2,0,0,0
"Ant191",8,3,11,1,0,8,0,9,2,2,2,0,4,4,13,0,45,2,1,3,0,12
"Ant252",3,3,2,0,8,0,7,26,11,0,10,17,11,4,18,2,2,1,10,13,14,5
"Ant311",9,9,23,3,0,7,0,40,22,3,4,42,9,7,40,39,6,4,8,10,12,9
"Ant27",0,2,13,0,9,26,40,0,30,0,11,32,3,9,33,14,3,0,22,30,22,2
"Ant44",7,31,9,0,2,11,22,30,0,0,20,14,4,4,29,7,3,3,21,12,47,8
"Ant97",5,2,6,0,2,0,3,0,0,0,0,20,6,4,1,5,14,11,6,3,3,4
"Ant115",8,8,8,1,2,10,4,11,20,0,0,10,7,2,5,4,0,1,1,0,4,1
"Ant117",16,12,32,0,0,17,42,32,14,20,10,0,15,9,42,25,20,4,18,20,24,11
"Ant153",5,4,4,3,4,11,9,3,4,6,7,15,0,16,3,4,7,19,7,3,2,11
"Ant176",10,3,2,1,4,4,7,9,4,4,2,9,16,0,3,3,6,18,3,14,0,8
"Ant242",3,23,8,0,13,18,40,33,29,1,5,42,3,3,0,4,4,1,37,26,19,2
"Ant263",3,0,12,2,0,2,39,14,7,5,4,25,4,3,4,0,5,4,13,7,11,1
"Ant298",27,1,5,1,45,2,6,3,3,14,0,20,7,6,4,5,0,8,4,13,2,1
"Ant332",15,3,7,2,2,1,4,0,3,11,1,4,19,18,1,4,8,0,1,3,1,6
"Ant356",1,26,9,2,1,10,8,22,21,6,1,18,7,3,37,13,4,1,0,11,23,12
"Ant475",2,14,25,0,3,13,10,30,12,3,0,20,3,14,26,7,13,3,11,0,24,6
"Ant564",3,14,23,0,0,14,12,22,47,3,4,24,2,0,19,11,2,1,23,24,0,8
"Ant593",9,4,15,0,12,5,9,2,8,4,1,11,11,8,2,1,1,6,12,6,8,0
