"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,9,4,8,0,6,12,2,14,7,3,9,2,6,0,2,6,12,2,7,4,8
"Ant6",9,0,8,0,0,12,11,5,12,10,3,4,4,7,14,9,6,2,2,9,19,3
"Ant73",4,8,0,2,0,3,7,17,15,2,3,12,13,7,2,6,3,12,12,13,7,12
"Ant148",8,0,2,0,0,0,0,0,0,4,0,1,1,1,0,0,2,4,0,0,0,8
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
"Ant252",6,12,3,0,0,0,6,23,32,0,8,4,5,2,21,9,0,1,4,18,6,3
"Ant311",12,11,7,0,0,6,0,8,4,1,21,15,3,6,11,7,9,2,18,11,18,1
"Ant27",2,5,17,0,0,23,8,0,20,0,19,20,13,2,11,35,0,1,8,19,4,2
"Ant44",14,12,15,0,0,32,4,20,0,7,15,31,5,7,23,6,9,2,6,15,57,4
"Ant97",7,10,2,4,0,0,1,0,7,0,0,16,1,3,1,2,4,25,0,3,1,5
"Ant115",3,3,3,0,0,8,21,19,15,0,0,1,3,18,4,5,0,1,18,6,5,30
"Ant117",9,4,12,1,0,4,15,20,31,16,1,0,14,16,22,16,9,3,1,25,29,19
"Ant153",2,4,13,1,0,5,3,13,5,1,3,14,0,2,0,4,4,10,6,6,3,5
"Ant176",6,7,7,1,0,2,6,2,7,3,18,16,2,0,8,7,11,19,2,2,14,10
"Ant242",0,14,2,0,0,21,11,11,23,1,4,22,0,8,0,3,0,0,9,3,3,0
"Ant263",2,9,6,0,0,9,7,35,6,2,5,16,4,7,3,0,1,0,10,7,20,1
"Ant298",6,6,3,2,21,0,9,0,9,4,0,9,4,11,0,1,0,10,1,1,1,9
"Ant332",12,2,12,4,0,1,2,1,2,25,1,3,10,19,0,0,10,0,0,4,0,19
"Ant356",2,2,12,0,0,4,18,8,6,0,18,1,6,2,9,10,1,0,0,22,13,6
"Ant475",7,9,13,0,0,18,11,19,15,3,6,25,6,2,3,7,1,4,22,0,52,14
"Ant564",4,19,7,0,0,6,18,4,57,1,5,29,3,14,3,20,1,0,13,52,0,1
"Ant593",8,3,12,8,0,3,1,2,4,5,30,19,5,10,0,1,9,19,6,14,1,0
