"","Ant6","Ant73","Ant148","Ant191","Ant252","Ant27","Ant44","Ant97","Ant117","Ant176","Ant242","Ant263","Ant356","Ant475","Ant593"
"Ant6",0,8,0,0,10,4,10,0,15,17,11,14,13,2,7
"Ant73",8,0,0,0,11,18,14,6,10,5,10,23,8,18,5
"Ant148",0,0,0,0,1,0,1,1,1,2,0,0,1,4,2
"Ant191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant252",10,11,1,0,0,34,19,0,27,27,4,12,17,10,7
"Ant27",4,18,0,0,34,0,21,2,28,5,6,1,6,9,3
"Ant44",10,14,1,0,19,21,0,10,16,7,6,6,10,3,6
"Ant97",0,6,1,0,0,2,10,0,3,12,0,0,1,4,3
"Ant117",15,10,1,0,27,28,16,3,0,24,18,25,11,12,16
"Ant176",17,5,2,0,27,5,7,12,24,0,9,6,15,11,31
"Ant242",11,10,0,0,4,6,6,0,18,9,0,12,15,2,10
"Ant263",14,23,0,0,12,1,6,0,25,6,12,0,19,3,12
"Ant356",13,8,1,0,17,6,10,1,11,15,15,19,0,6,4
"Ant475",2,18,4,0,10,9,3,4,12,11,2,3,6,0,15
"Ant593",7,5,2,0,7,3,6,3,16,31,10,12,4,15,0
