"","Ant540","Ant6","Ant73","Ant148","Ant191","Ant252","Ant311","Ant27","Ant44","Ant97","Ant115","Ant117","Ant153","Ant176","Ant242","Ant263","Ant298","Ant332","Ant356","Ant475","Ant564","Ant593"
"Ant540",0,6,5,0,14,7,1,3,10,3,5,9,7,13,4,12,9,12,2,2,15,22
"Ant6",6,0,5,0,0,8,4,8,25,6,1,16,0,15,40,13,4,1,10,4,1,9
"Ant73",5,5,0,0,4,7,8,19,12,13,12,17,9,14,24,5,9,5,21,9,3,8
"Ant148",0,0,0,0,2,0,0,0,0,5,0,0,1,2,0,0,0,8,0,0,0,1
"Ant191",14,0,4,2,0,8,0,0,0,0,4,12,20,15,0,0,11,11,0,0,8,2
"Ant252",7,8,7,0,8,0,4,1,7,4,3,20,4,11,6,1,4,1,8,4,7,4
"Ant311",1,4,8,0,0,4,0,22,48,8,38,11,1,7,31,25,0,1,13,9,11,3
"Ant27",3,8,19,0,0,1,22,0,48,5,38,13,1,5,18,3,5,0,11,49,14,11
"Ant44",10,25,12,0,0,7,48,48,0,4,10,16,4,12,17,3,3,0,3,12,8,9
"Ant97",3,6,13,5,0,4,8,5,4,0,2,2,3,5,6,1,4,25,5,4,11,5
"Ant115",5,1,12,0,4,3,38,38,10,2,0,18,3,4,38,13,0,2,4,8,6,9
"Ant117",9,16,17,0,12,20,11,13,16,2,18,0,9,24,26,18,11,2,34,27,13,33
"Ant153",7,0,9,1,20,4,1,1,4,3,3,9,0,11,0,3,8,6,6,1,3,2
"Ant176",13,15,14,2,15,11,7,5,12,5,4,24,11,0,5,14,13,9,19,8,6,41
"Ant242",4,40,24,0,0,6,31,18,17,6,38,26,0,5,0,7,16,1,6,7,12,5
"Ant263",12,13,5,0,0,1,25,3,3,1,13,18,3,14,7,0,4,0,15,10,3,5
"Ant298",9,4,9,0,11,4,0,5,3,4,0,11,8,13,16,4,0,2,10,10,2,8
"Ant332",12,1,5,8,11,1,1,0,0,25,2,2,6,9,1,0,2,0,6,0,5,4
"Ant356",2,10,21,0,0,8,13,11,3,5,4,34,6,19,6,15,10,6,0,3,11,12
"Ant475",2,4,9,0,0,4,9,49,12,4,8,27,1,8,7,10,10,0,3,0,18,30
"Ant564",15,1,3,0,8,7,11,14,8,11,6,13,3,6,12,3,2,5,11,18,0,2
"Ant593",22,9,8,1,2,4,3,11,9,5,9,33,2,41,5,5,8,4,12,30,2,0
