"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant4",0,5,0,0,5,4,0,8,0,0,1,0,10,0,0,14,0,0,3,4,0,0,4,0,0,0,0,0,0,0,2,0,13,0,0,27,0,0,6,0,0,0,4,3,0,0,0,0,0,2,0,0,0,0,8,0,14,0,0,2,0,1,0,0,0,2,0,0
"Ant260",5,0,7,2,15,21,1,7,4,2,4,8,5,1,0,19,3,1,1,10,2,5,15,3,5,2,8,1,7,1,10,10,16,6,3,23,4,2,29,1,12,2,17,29,12,4,3,12,0,1,22,1,0,2,11,0,12,9,19,6,9,16,1,0,3,4,18,0
"Ant52",0,7,0,2,6,0,5,2,21,9,2,38,0,3,0,0,2,20,0,4,2,13,0,3,9,0,0,9,7,18,12,5,2,3,3,0,1,0,5,1,6,8,3,6,16,1,6,1,2,38,0,1,3,11,5,0,7,3,6,7,2,11,2,5,4,1,2,3
"Ant540",0,2,2,0,0,0,6,0,4,2,0,5,0,3,0,0,0,7,0,0,5,0,0,0,3,0,2,29,1,20,1,0,0,1,2,0,1,0,0,8,0,1,0,0,0,0,9,0,5,0,0,22,0,2,0,20,0,4,1,1,0,0,5,3,0,0,0,16
"Ant6",5,15,6,0,0,15,1,1,21,0,2,1,5,0,0,12,5,3,6,8,0,3,5,2,0,3,2,1,7,3,2,11,16,0,2,6,0,0,1,0,18,0,9,19,41,4,0,8,0,3,9,0,0,0,3,0,20,1,8,11,49,12,2,0,0,3,26,0
"Ant7",4,21,0,0,15,0,0,3,0,0,19,0,45,0,0,80,9,0,11,43,0,0,2,0,0,14,0,0,0,0,1,0,43,0,0,5,0,0,8,0,0,0,19,27,0,18,0,17,0,11,25,0,0,0,7,0,110,0,0,10,0,1,0,0,0,11,0,0
"Ant9",0,1,5,6,1,0,0,0,10,1,1,8,3,0,6,0,3,2,2,1,4,7,5,8,1,0,4,3,11,2,0,9,2,8,4,1,2,0,1,5,13,8,3,4,12,1,2,2,2,2,0,1,7,7,5,1,2,37,4,3,1,1,1,4,6,4,10,0
"Ant19",8,7,2,0,1,3,0,0,1,1,2,0,7,0,0,9,1,0,8,5,0,0,6,2,0,1,1,3,0,2,0,13,14,0,2,3,0,2,6,0,1,0,5,27,12,2,0,4,0,3,2,0,0,0,20,0,18,5,0,1,2,2,0,0,0,6,4,0
"Ant26",0,4,21,4,21,0,10,1,0,5,11,9,1,3,2,7,9,10,3,9,4,21,0,2,4,0,2,6,11,7,10,23,23,1,5,1,0,0,0,1,13,13,12,9,38,5,3,8,1,9,0,1,5,11,6,0,24,17,7,16,7,21,2,1,1,13,19,1
"Ant30",0,2,9,2,0,0,1,1,5,0,0,10,0,22,1,0,6,7,0,1,0,10,7,0,4,0,0,6,2,4,0,2,0,6,9,0,4,0,0,3,0,9,0,2,9,0,4,0,3,12,0,1,9,8,3,0,1,2,7,1,0,0,2,3,1,0,0,3
