"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant4",0,0,0,0,0,4,0,2,0,0,0,0,3,0,0,7,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,3,1,0
"Ant260",0,0,3,3,17,39,27,12,20,3,3,4,13,3,0,19,16,3,13,26,0,0,2,4,2,25,24,3,13,1,5,27,17,0,0,16,0,3,9,3,10,7,18,35,21,18,5,10,0,7,31,0,1,5,15,0,21,3,13,19,7,3,7,0,0,24,16,0
"Ant52",0,3,0,11,3,0,5,4,10,4,3,64,8,10,8,1,0,23,0,3,7,5,0,5,4,3,0,26,10,6,2,5,4,2,0,3,6,0,0,4,7,8,0,8,10,17,1,0,0,2,6,0,3,15,2,0,0,6,12,0,2,2,8,9,1,1,0,0
"Ant540",0,3,11,0,0,0,4,0,0,5,1,7,1,10,8,0,2,8,0,0,21,8,0,0,29,0,0,19,2,15,1,0,0,5,3,0,18,0,3,10,0,3,2,0,1,1,14,0,7,4,0,9,18,6,0,10,1,2,1,0,2,1,1,4,4,0,0,17
"Ant6",0,17,3,0,0,6,5,12,27,1,7,3,13,1,0,5,5,0,1,8,0,0,5,7,0,7,15,2,6,3,5,7,4,0,0,16,1,0,2,1,9,0,16,10,50,8,0,0,0,8,8,0,0,0,13,0,10,1,1,13,16,13,1,0,0,13,7,0
"Ant7",4,39,0,0,6,0,0,19,0,0,12,0,82,0,0,58,3,0,24,39,0,0,0,8,0,10,1,0,0,0,2,8,47,0,0,3,0,5,15,1,5,0,24,34,3,13,0,20,0,8,6,0,0,0,7,0,135,0,0,16,4,3,0,0,0,23,14,0
"Ant9",0,27,5,4,5,0,0,7,6,2,1,3,4,2,0,4,6,9,2,4,0,1,0,1,2,6,29,4,12,6,1,6,0,12,1,0,1,0,6,1,12,4,0,11,3,1,2,2,0,12,1,0,1,1,5,0,1,12,11,2,0,1,2,6,0,1,0,2
"Ant19",2,12,4,0,12,19,7,0,11,1,7,0,13,5,0,7,1,0,1,13,2,0,6,3,0,7,5,0,6,1,4,8,20,0,0,14,0,3,3,2,10,2,7,22,12,1,1,13,0,10,12,0,0,0,6,0,11,0,5,17,15,7,3,0,4,4,9,0
"Ant26",0,20,10,0,27,0,6,11,0,16,6,18,13,7,0,8,3,3,0,28,0,1,0,2,0,30,3,1,9,3,3,12,19,0,1,12,0,0,2,0,4,0,5,9,4,6,0,0,0,10,6,0,1,1,1,0,10,4,4,10,2,19,2,1,1,31,0,1
"Ant30",0,3,4,5,1,0,2,1,16,0,2,11,6,10,10,2,8,3,0,0,1,16,0,0,2,3,2,17,10,5,2,5,3,8,2,0,7,0,0,4,3,3,0,0,20,0,5,0,5,6,2,5,3,18,0,3,1,15,2,8,5,4,2,5,17,3,0,8
"Ant38",0,3,3,1,7,12,1,7,6,2,0,2,19,0,0,7,6,1,3,1,0,1,2,0,0,3,0,0,4,3,0,3,40,0,0,13,0,4,8,0,8,3,5,7,5,0,0,4,2,4,0,0,0,0,3,0,10,2,1,4,7,2,4,0,0,2,2,0
"Ant60",0,4,64,7,3,0,3,0,18,11,2,0,10,5,3,1,0,21,0,0,5,5,0,4,2,1,4,32,10,0,6,3,2,8,0,5,10,0,0,4,2,12,5,2,2,6,3,0,1,4,5,1,1,9,1,4,1,22,2,6,5,3,5,9,5,4,0,4
"Ant76",3,13,8,1,13,82,4,13,13,6,19,10,0,8,7,12,10,1,13,10,4,5,8,7,1,9,0,2,7,1,7,5,28,2,0,4,0,8,12,3,7,10,27,9,18,22,9,9,0,11,10,1,0,8,21,0,24,7,10,3,17,12,12,0,2,15,23,4
"Ant158",0,3,10,10,1,0,2,5,7,10,0,5,8,0,31,2,2,2,1,1,4,16,0,2,25,2,5,21,4,62,0,5,0,4,17,0,0,0,0,8,0,2,0,3,3,0,4,0,5,4,1,11,3,18,0,2,0,11,5,1,3,0,0,19,7,2,0,12
"Ant191",0,0,8,8,0,0,0,0,0,10,0,3,7,31,0,0,2,7,1,0,3,13,0,2,12,0,0,9,6,31,0,4,1,6,49,1,1,0,3,12,1,0,0,1,3,0,7,0,4,0,0,19,2,19,0,1,1,14,2,3,1,1,2,4,2,0,0,6
"Ant196",7,19,1,0,5,58,4,7,8,2,7,1,12,2,0,0,10,2,8,8,0,0,9,1,0,9,2,2,5,0,2,1,25,1,0,9,0,3,5,0,9,3,23,13,8,9,0,20,1,5,4,0,0,1,7,0,28,0,2,4,11,12,2,0,0,23,21,0
"Ant252",0,16,0,2,5,3,6,1,3,8,6,0,10,2,2,10,0,2,6,13,6,1,1,11,0,5,2,1,8,4,0,11,27,1,0,13,0,10,16,0,3,1,12,10,2,2,3,5,3,9,3,2,10,1,3,0,18,1,6,8,5,4,0,0,0,7,9,1
"Ant308",0,3,23,8,0,0,9,0,3,3,1,21,1,2,7,2,2,0,0,0,10,1,0,2,5,0,0,11,5,19,1,3,0,2,2,1,5,0,0,8,1,6,2,1,6,0,6,0,2,6,2,0,0,2,1,0,1,5,5,0,6,0,0,17,0,1,0,5
"Ant518",4,13,0,0,1,24,2,1,0,0,3,0,13,1,1,8,6,0,0,13,0,0,0,3,1,0,3,0,4,0,2,3,14,1,0,1,0,0,13,0,3,0,6,12,11,11,0,5,0,9,2,0,0,0,7,0,32,2,2,2,2,3,0,0,2,6,14,1
"Ant0",0,26,3,0,8,39,4,13,28,0,1,0,10,1,0,8,13,0,13,0,0,0,1,0,0,7,5,1,10,1,3,6,11,0,0,29,1,1,3,0,9,3,15,35,13,4,1,6,0,2,16,0,1,2,17,0,18,1,2,16,11,28,1,1,0,5,12,0
"Ant13",0,0,7,21,0,0,0,2,0,1,0,5,4,4,3,0,6,10,0,0,0,0,0,0,8,0,0,14,4,17,1,1,2,2,4,0,27,0,0,0,0,5,7,0,2,6,11,0,11,9,0,2,2,5,1,2,0,0,3,0,0,1,7,8,3,0,0,10
"Ant23",0,0,5,8,0,0,1,0,1,16,1,5,5,16,13,0,1,1,0,0,0,0,0,1,10,0,0,6,1,11,0,0,0,3,3,0,2,0,0,1,1,0,3,0,0,0,3,0,0,3,0,4,3,13,2,4,5,5,5,0,2,0,0,8,2,3,0,0
