"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant4",0,3,0,0,14,41,0,6,0,0,4,0,19,0,1,9,5,0,9,9,0,0,0,0,0,5,3,0,0,0,7,0,5,0,0,0,0,1,8,0,2,1,13,1,1,5,0,7,0,0,1,0,0,0,11,0,4,1,0,2,0,2,0,0,0,3,4,0
"Ant260",3,0,1,1,14,14,5,5,1,9,2,2,9,4,0,5,6,8,15,6,0,1,5,2,5,8,4,1,4,5,6,19,13,0,4,6,0,1,10,2,1,2,21,23,8,7,3,0,0,3,5,0,6,3,12,1,13,0,4,6,6,5,6,3,1,5,24,0
"Ant52",0,1,0,9,1,0,9,0,6,8,1,58,0,6,1,0,2,15,0,5,15,1,2,5,20,0,2,17,22,18,7,7,0,2,5,0,1,0,0,3,4,5,0,2,16,1,3,0,0,17,1,0,6,21,2,1,3,6,11,3,4,7,8,8,0,0,4,4
"Ant540",0,1,9,0,1,0,0,0,0,21,0,9,0,13,17,1,1,3,0,0,6,7,3,0,7,1,0,27,10,15,2,4,0,7,3,0,17,0,0,7,0,4,0,0,5,0,15,0,5,1,0,11,7,5,0,3,0,1,1,2,2,0,1,5,8,0,0,13
"Ant6",14,14,1,1,0,12,1,0,16,0,5,0,11,0,0,16,8,0,7,2,1,0,1,1,5,1,4,1,5,4,8,4,12,0,3,2,0,0,3,0,2,1,29,5,5,6,0,2,0,1,1,0,0,1,18,0,23,0,1,6,13,5,0,0,0,14,10,0
"Ant7",41,14,0,0,12,0,0,1,2,0,7,0,44,0,0,43,3,0,5,23,0,0,0,0,0,9,0,0,0,0,6,0,20,0,0,11,0,7,19,0,0,0,31,14,6,9,0,11,0,0,2,0,0,0,6,0,36,0,0,3,0,1,0,0,0,9,0,0
"Ant9",0,5,9,0,1,0,0,1,5,4,3,3,0,17,10,5,1,7,0,7,2,4,4,1,3,0,6,0,13,16,0,19,6,1,7,6,1,0,0,1,1,4,4,14,5,2,0,1,0,3,2,0,4,3,3,0,6,4,11,7,4,3,11,0,0,0,4,3
"Ant19",6,5,0,0,0,1,1,0,4,0,5,0,5,0,0,7,2,0,2,9,0,0,3,0,0,3,0,0,0,0,2,0,5,0,0,1,0,5,7,0,0,0,13,3,0,9,0,5,0,0,2,0,0,0,2,0,19,0,0,4,1,1,0,0,0,2,4,0
"Ant26",0,1,6,0,16,2,5,4,0,2,21,5,2,1,1,18,8,1,3,39,4,8,10,6,1,0,9,0,6,2,4,5,17,2,10,1,0,0,0,2,9,2,3,26,18,12,2,12,0,6,22,2,5,6,6,0,31,2,5,11,21,10,2,0,0,10,15,0
"Ant30",0,9,8,21,0,0,4,0,2,0,1,4,0,17,11,0,6,6,0,0,12,8,1,2,6,0,0,4,12,14,0,3,0,2,15,2,4,0,0,0,1,13,0,4,12,3,7,0,1,2,2,4,2,27,0,1,5,8,14,1,0,1,1,4,3,0,3,8
"Ant38",4,2,1,0,5,7,3,5,21,1,0,1,6,0,0,5,2,1,2,7,3,0,6,2,0,0,2,0,1,5,2,2,9,0,0,18,0,1,2,0,2,2,4,11,5,5,0,1,0,1,2,0,0,0,7,0,8,0,6,2,11,9,2,2,0,7,14,0
"Ant60",0,2,58,9,0,0,3,0,5,4,1,0,0,13,3,1,1,10,0,1,6,24,3,0,11,0,1,24,7,20,1,5,0,11,6,0,12,0,0,15,3,4,1,1,5,4,20,0,4,30,0,2,15,8,1,1,0,10,10,2,2,2,1,10,6,2,5,5
"Ant76",19,9,0,0,11,44,0,5,2,0,6,0,0,0,0,4,5,0,9,6,0,1,1,0,0,3,0,1,1,1,2,0,12,0,0,10,0,1,6,0,0,3,5,11,10,4,0,10,0,0,3,0,0,0,3,0,11,1,0,3,15,6,0,0,0,3,4,0
"Ant158",0,4,6,13,0,0,17,0,1,17,0,13,0,0,7,3,0,5,0,0,1,8,0,1,9,0,0,8,19,46,1,0,2,1,14,2,6,0,0,8,7,2,0,2,5,1,12,1,3,5,0,0,0,0,1,10,2,22,36,9,6,2,2,1,12,0,1,0
"Ant191",1,0,1,17,0,0,10,0,1,11,0,3,0,7,0,0,4,23,0,0,1,11,0,1,17,0,1,14,0,16,1,0,1,10,13,1,2,0,0,18,0,1,0,0,3,0,5,0,12,0,0,8,11,1,0,9,1,12,8,1,0,0,0,0,18,0,2,2
"Ant196",9,5,0,1,16,43,5,7,18,0,5,1,4,3,0,0,8,0,17,14,0,0,10,0,0,8,13,0,7,1,3,10,31,0,0,16,0,1,8,0,3,8,21,34,10,5,2,4,1,1,8,0,0,2,14,0,16,1,3,4,4,10,1,0,0,26,16,0
"Ant252",5,6,2,1,8,3,1,2,8,6,2,1,5,0,4,8,0,6,5,7,0,1,4,4,2,0,3,0,1,0,6,8,2,1,2,0,0,3,3,0,12,2,3,10,5,6,1,6,1,2,9,0,1,3,10,1,15,4,7,2,3,4,4,3,2,5,9,4
"Ant308",0,8,15,3,0,0,7,0,1,6,1,10,0,5,23,0,6,0,0,3,3,3,0,5,1,0,11,10,7,23,0,4,2,11,4,0,2,0,0,7,2,3,1,0,10,1,6,0,1,8,1,2,31,11,5,2,3,1,12,1,4,0,1,11,4,0,1,6
"Ant518",9,15,0,0,7,5,0,2,3,0,2,0,9,0,0,17,5,0,0,2,0,0,0,0,0,7,0,0,1,0,4,0,4,0,0,0,0,1,4,0,0,5,13,17,1,5,0,7,0,2,0,0,0,0,3,0,12,0,3,1,7,10,2,0,0,5,14,0
"Ant0",9,6,5,0,2,23,7,9,39,0,7,1,6,0,0,14,7,3,2,0,1,0,3,7,2,4,9,0,6,0,1,12,16,1,3,3,0,0,1,0,3,1,13,23,3,5,0,5,0,5,6,0,2,3,6,0,19,0,4,5,8,8,8,2,0,15,14,0
