"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant4",0,4,2,0,0,1,1,1,1,0,2,0,0,0,0,4,1,1,0,3,0,0,0,0,0,1,1,0,0,0,1,4,1,0,0,0,0,2,6,0,0,0,10,7,1,5,1,1,0,0,0,0,0,0,5,0,5,3,0,2,3,0,0,0,0,6,0,0
"Ant260",4,0,3,0,10,36,3,7,17,3,17,1,9,1,1,14,13,3,7,11,3,7,12,0,5,4,1,0,10,0,15,8,25,2,0,12,3,5,3,2,19,3,33,32,27,10,0,4,1,0,5,1,4,3,17,0,21,10,11,10,5,2,0,0,0,10,2,2
"Ant52",2,3,0,7,1,0,1,0,1,0,0,7,1,0,2,0,1,6,0,2,1,0,5,2,8,1,2,20,6,2,6,6,16,2,0,4,8,1,0,3,5,6,0,11,9,1,3,0,0,20,3,3,0,11,6,5,1,2,6,1,5,4,9,1,7,0,17,1
"Ant540",0,0,7,0,1,0,11,0,1,4,0,20,2,12,9,0,2,2,0,0,4,4,1,1,19,0,0,23,1,13,0,1,1,7,7,2,7,1,0,7,2,1,0,2,1,0,29,0,5,3,1,8,2,3,2,4,0,0,0,0,1,1,1,10,10,0,3,9
"Ant6",0,10,1,1,0,0,7,2,14,0,16,2,2,3,1,3,1,3,0,19,3,2,4,2,1,7,1,0,3,2,5,2,9,0,0,4,1,3,7,0,1,2,8,27,18,12,1,2,0,2,4,1,1,1,8,0,17,0,4,0,22,7,1,0,0,13,3,0
"Ant7",1,36,0,0,0,0,0,1,0,0,8,0,25,0,0,37,10,0,21,39,0,0,0,0,0,6,0,0,0,0,9,0,25,0,0,0,0,8,8,0,0,0,6,47,0,15,0,12,0,0,0,0,0,0,13,0,8,0,0,3,0,0,0,0,0,10,0,0
"Ant9",1,3,1,11,7,0,0,0,2,0,1,5,0,8,2,2,0,3,1,1,3,1,11,2,4,0,8,7,6,2,6,7,1,1,1,4,5,2,2,4,13,5,0,6,6,4,1,0,0,5,7,4,1,0,1,1,3,23,0,1,7,1,7,0,3,1,6,2
"Ant19",1,7,0,0,2,1,0,0,4,0,3,2,4,0,0,8,14,1,5,12,1,2,4,0,0,7,0,0,1,0,8,0,10,0,0,3,0,4,3,0,5,0,21,8,8,12,0,4,0,0,2,0,0,2,2,0,9,0,0,8,1,2,0,0,0,4,0,0
"Ant26",1,17,1,1,14,0,2,4,0,1,52,0,11,0,4,16,1,5,8,11,0,0,6,1,0,9,0,0,4,0,3,3,18,0,0,3,2,9,4,0,1,0,22,33,16,14,0,3,0,0,5,0,5,1,18,1,34,2,4,8,2,27,0,0,0,4,12,0
"Ant30",0,3,0,4,0,0,0,0,1,0,2,5,2,10,10,0,0,1,0,2,8,11,4,0,2,5,3,9,9,4,0,2,1,2,13,0,2,0,7,9,4,5,1,4,3,0,4,0,13,4,2,1,7,1,0,6,0,7,14,0,0,3,2,4,4,0,0,4
