"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant4",0,7,0,0,0,11,0,4,0,0,5,0,0,0,0,2,6,0,6,3,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,1,0,0,0,13,7,0,7,0,4,0,0,3,0,0,0,11,0,19,0,0,6,0,1,0,0,0,11,0,0
"Ant260",7,0,0,0,3,10,0,2,0,0,6,0,4,0,0,11,15,0,14,5,0,1,7,5,0,16,0,1,1,0,2,0,8,0,0,4,0,1,7,0,4,1,15,41,2,21,1,44,0,0,0,0,0,0,0,0,22,0,4,1,9,3,0,0,2,21,0,0
"Ant52",0,0,0,6,17,7,27,9,12,23,11,2,9,1,5,2,7,14,5,14,1,9,2,5,17,7,15,15,18,12,2,31,11,13,3,4,0,9,13,2,8,15,11,0,15,7,2,0,11,39,7,4,5,18,13,1,5,13,19,8,9,30,8,1,6,8,20,7
"Ant540",0,0,6,0,0,0,10,0,3,8,0,28,0,11,8,0,0,9,0,0,15,7,0,1,7,0,0,20,3,9,2,4,1,12,29,0,23,0,0,12,6,0,0,0,2,1,18,0,33,6,0,7,12,10,1,23,0,9,4,2,5,7,2,14,12,3,0,15
"Ant6",0,3,17,0,0,4,2,6,14,1,4,0,6,0,0,17,5,2,0,12,0,0,0,4,1,6,10,4,2,0,2,6,25,0,3,10,0,13,4,2,7,13,6,1,20,7,0,1,1,2,2,0,0,0,34,0,21,1,2,4,33,12,0,0,1,5,13,0
"Ant7",11,10,7,0,4,0,0,3,1,1,53,0,26,0,0,29,17,0,26,20,1,0,8,2,0,2,0,1,0,1,10,3,17,1,0,1,0,9,5,1,3,0,35,29,2,28,0,9,0,0,13,0,0,0,15,0,92,0,9,8,3,4,3,0,1,3,1,2
"Ant9",0,0,27,10,2,0,0,2,3,2,2,4,4,10,9,8,2,6,0,0,6,1,4,0,8,3,12,10,29,14,2,8,1,10,1,0,0,0,2,5,2,2,2,0,15,2,6,0,13,8,1,0,13,1,5,1,4,7,15,0,4,8,6,5,7,0,10,1
"Ant19",4,2,9,0,6,3,2,0,3,0,18,1,7,0,0,5,3,1,3,19,0,1,1,0,6,10,5,3,4,3,4,3,6,0,0,9,0,1,3,2,4,2,8,8,15,12,0,3,0,4,1,1,2,0,12,0,5,2,4,0,17,12,2,0,0,6,18,0
"Ant26",0,0,12,3,14,1,3,3,0,0,13,1,7,0,1,5,11,4,0,11,0,1,1,3,5,7,1,4,3,3,6,3,11,2,6,5,0,11,17,0,0,3,7,3,30,10,0,4,0,4,5,0,4,2,13,0,40,6,5,5,14,14,0,0,0,16,21,2
"Ant30",0,0,23,8,1,1,2,0,0,0,1,14,1,8,15,0,0,3,0,0,6,13,2,0,6,0,2,13,3,17,0,12,2,3,12,0,4,0,3,14,2,0,0,0,3,4,13,0,3,6,0,1,14,35,1,0,1,0,2,1,1,7,8,8,17,5,1,14
"Ant38",5,6,11,0,4,53,2,18,13,1,0,1,7,0,0,8,8,3,8,26,0,1,2,1,1,6,4,2,0,0,7,3,19,0,1,10,0,14,20,1,26,21,13,9,39,4,0,4,0,4,1,0,0,2,23,1,29,7,2,13,38,20,1,0,1,23,6,0
"Ant60",0,0,2,28,0,0,4,1,1,14,1,0,0,13,8,0,0,11,0,0,9,10,0,0,11,0,0,51,3,28,1,6,1,16,27,1,22,0,2,17,3,7,0,0,3,0,29,0,19,15,2,6,10,14,1,5,0,9,6,2,2,1,5,29,11,1,2,40
"Ant76",0,4,9,0,6,26,4,7,7,1,7,0,0,0,0,0,11,3,6,8,0,1,0,0,7,2,5,0,0,1,7,3,8,0,1,5,0,0,6,0,0,4,25,3,7,8,0,6,0,1,5,2,0,0,14,0,21,24,0,1,13,5,9,0,0,4,1,0
"Ant158",0,0,1,11,0,0,10,0,0,8,0,13,0,0,30,0,6,15,0,1,12,14,0,1,17,0,0,21,3,10,0,0,0,4,21,0,5,0,0,20,0,1,1,0,0,0,28,0,22,2,0,9,3,1,0,2,1,14,0,0,0,1,1,11,15,0,1,6
"Ant191",0,0,5,8,0,0,9,0,1,15,0,8,0,30,0,0,5,18,2,1,24,9,0,3,9,0,4,21,2,30,2,6,1,6,6,0,9,0,3,5,0,3,2,0,1,2,18,0,11,8,3,13,3,4,1,6,2,2,12,2,1,7,4,6,10,3,3,7
"Ant196",2,11,2,0,17,29,8,5,5,0,8,0,0,0,0,0,6,0,15,14,0,0,6,4,3,9,1,2,7,4,0,2,13,0,0,5,0,5,5,0,5,13,8,4,12,3,0,11,0,4,2,0,0,1,6,0,16,2,1,2,13,4,0,0,0,12,9,0
"Ant252",6,15,7,0,5,17,2,3,11,0,8,0,11,6,5,6,0,0,2,4,2,1,4,4,1,4,0,6,1,1,7,2,9,0,0,1,0,4,2,1,2,1,17,17,6,17,0,4,0,2,4,1,0,1,17,0,13,1,1,3,14,1,1,0,2,8,2,0
"Ant308",0,0,14,9,2,0,6,1,4,3,3,11,3,15,18,0,0,0,0,2,0,3,0,3,17,1,1,19,4,34,6,17,0,11,10,3,6,0,0,2,5,8,3,1,13,2,13,1,6,6,0,0,12,14,5,0,2,8,11,1,4,7,1,15,14,4,12,4
"Ant518",6,14,5,0,0,26,0,3,0,0,8,0,6,0,2,15,2,0,0,9,0,0,6,0,0,0,0,0,2,0,2,1,3,1,1,6,0,0,1,0,0,0,10,5,1,6,0,11,0,1,4,0,0,0,27,0,13,0,0,2,4,3,0,1,0,2,0,0
"Ant0",3,5,14,0,12,20,0,19,11,0,26,0,8,1,1,14,4,2,9,0,0,2,1,1,2,4,9,1,15,1,0,5,11,0,1,10,0,5,11,1,3,11,17,19,23,9,0,6,0,4,4,1,0,0,17,0,31,1,3,5,35,9,1,0,0,37,18,0
"Ant13",0,0,1,15,0,1,6,0,0,6,0,9,0,12,24,0,2,0,0,0,0,1,0,0,12,0,0,17,3,30,0,8,1,6,19,0,10,0,0,8,0,1,2,0,0,0,10,0,40,1,0,7,18,2,0,7,1,6,1,0,1,0,0,5,12,0,8,10
"Ant23",0,1,9,7,0,0,1,1,1,13,1,10,1,14,9,0,1,3,0,2,1,0,0,3,12,1,0,10,9,15,0,2,0,6,5,0,9,0,0,1,2,15,1,0,12,2,29,0,3,2,0,7,1,13,1,0,0,8,7,2,1,1,5,1,1,2,2,4
"Ant27",0,7,2,0,0,8,4,1,1,2,2,0,0,0,0,6,4,0,6,1,0,0,0,0,1,0,0,0,0,0,14,0,3,0,0,0,0,0,4,0,0,0,8,2,0,5,0,0,0,0,3,0,0,0,3,0,5,0,0,1,0,1,0,0,0,2,3,0
"Ant32",0,5,5,1,4,2,0,0,3,0,1,0,0,1,3,4,4,3,0,1,0,3,0,0,4,1,2,2,0,6,3,5,3,0,0,2,0,1,1,0,1,0,1,2,13,2,1,1,3,2,5,0,0,6,7,0,1,2,10,1,7,6,1,0,1,14,4,0
"Ant43",0,0,17,7,1,0,8,6,5,6,1,11,7,17,9,3,1,17,0,2,12,12,1,4,0,3,23,29,22,22,0,6,0,4,6,5,28,1,1,7,4,10,1,0,10,3,28,3,27,10,0,5,4,9,4,10,2,14,15,2,5,4,6,7,9,3,11,1
"Ant44",0,16,7,0,6,2,3,10,7,0,6,0,2,0,0,9,4,1,0,4,0,1,0,1,3,0,29,5,4,2,2,1,2,0,3,6,0,1,6,1,6,3,4,1,15,3,0,3,0,6,1,0,0,0,7,0,12,8,0,4,9,7,0,0,1,0,1,0
"Ant50",0,0,15,0,10,0,12,5,1,2,4,0,5,0,4,1,0,1,0,9,0,0,0,2,23,29,0,1,8,7,2,7,9,2,1,8,0,0,7,16,12,1,1,2,41,5,0,6,1,2,4,1,0,2,1,0,2,5,9,4,5,9,2,0,1,5,2,0
"Ant97",0,1,15,20,4,1,10,3,4,13,2,51,0,21,21,2,6,19,0,1,17,10,0,2,29,5,1,0,14,30,0,20,0,24,70,3,44,1,8,4,8,4,1,0,15,2,23,0,41,14,3,45,9,9,0,33,1,12,7,3,11,18,7,22,18,4,13,74
