"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant4",0,32,0,0,3,7,0,2,0,0,8,0,3,0,0,6,4,0,4,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,1,0,0,0,8,3,0,2,0,4,0,0,1,0,0,0,0,0,13,0,0,2,0,0,0,0,0,7,0,0
"Ant260",32,0,1,0,14,6,1,14,21,0,9,0,1,0,0,3,10,1,4,5,0,0,7,1,0,11,2,0,1,0,15,1,19,0,0,1,0,2,16,0,9,0,25,37,15,5,0,19,0,0,3,0,4,0,5,0,12,2,0,18,7,8,2,0,0,48,6,0
"Ant52",0,1,0,2,4,0,1,0,0,9,3,3,0,0,7,0,0,15,1,0,4,11,0,6,2,0,2,10,6,6,2,24,11,10,0,2,0,1,0,1,3,1,2,5,1,9,16,3,3,42,0,1,17,9,3,0,4,4,2,6,1,1,0,3,3,2,11,0
"Ant540",0,0,2,0,0,0,2,0,0,2,0,16,0,5,1,0,0,3,0,1,16,4,0,0,6,0,0,38,1,27,0,1,0,6,11,0,22,0,0,20,1,2,1,1,1,0,4,0,12,3,0,12,0,3,0,4,0,6,0,0,2,1,4,9,41,0,0,13
"Ant6",3,14,4,0,0,5,1,1,8,2,10,0,17,5,0,4,7,2,1,9,0,0,0,5,1,3,6,0,5,2,3,1,9,0,0,7,0,1,5,0,8,3,1,16,12,18,1,7,1,1,9,0,4,1,10,0,26,5,4,4,21,7,8,0,3,6,3,1
"Ant7",7,6,0,0,5,0,0,8,0,0,19,0,39,0,0,30,28,0,15,24,0,0,6,0,0,7,0,0,0,0,12,0,13,0,0,0,0,18,8,0,0,0,8,20,0,7,0,22,0,0,0,0,0,0,6,0,31,0,0,6,0,0,0,0,0,3,0,0
"Ant9",0,1,1,2,1,0,0,0,1,7,3,3,0,4,3,0,2,2,3,0,7,4,0,2,6,0,3,5,2,11,0,3,5,11,3,2,1,0,0,0,5,3,2,0,2,5,4,1,3,5,1,1,1,18,0,13,0,1,10,1,2,2,1,5,7,0,11,4
"Ant19",2,14,0,0,1,8,0,0,1,7,10,0,3,0,0,1,6,6,2,4,0,0,10,1,0,10,0,0,4,0,2,1,2,1,0,1,0,0,12,0,4,0,18,4,0,3,0,6,0,0,6,0,0,0,1,0,6,0,0,8,3,2,0,0,0,0,0,0
"Ant26",0,21,0,0,8,0,1,1,0,6,78,0,15,0,0,1,0,2,4,27,0,13,3,10,0,0,1,1,4,5,5,0,13,1,0,10,0,9,7,1,4,0,10,39,16,15,0,2,2,0,9,0,6,3,33,0,45,8,1,3,11,17,2,0,0,6,0,0
"Ant30",0,0,9,2,2,0,7,7,6,0,1,5,0,8,11,1,0,7,2,8,5,3,0,0,18,0,3,0,10,10,1,14,8,5,7,2,12,2,1,3,3,9,1,3,3,3,4,1,7,1,0,2,3,27,9,21,3,6,17,3,4,3,0,6,12,0,7,2
"Ant38",8,9,3,0,10,19,3,10,78,1,0,0,16,1,0,12,11,0,2,43,0,0,4,4,1,3,12,0,5,4,6,1,17,1,0,26,0,10,22,0,23,5,16,18,13,10,1,16,2,1,8,0,1,7,31,0,14,0,2,6,50,10,5,0,0,6,14,0
"Ant60",0,0,3,16,0,0,3,0,0,5,0,0,0,6,25,0,0,3,0,0,6,5,0,0,12,0,5,28,4,11,0,2,1,13,23,0,2,0,0,5,0,0,0,0,1,6,11,0,6,7,0,10,3,18,0,21,0,4,6,1,0,0,0,14,9,0,0,27
"Ant76",3,1,0,0,17,39,0,3,15,0,16,0,0,2,0,5,12,0,5,6,0,1,3,2,0,1,4,0,8,0,3,0,18,1,0,5,0,4,9,1,11,3,11,8,6,11,0,6,1,3,6,0,1,2,13,0,16,3,0,3,17,5,7,0,1,6,3,0
"Ant158",0,0,0,5,5,0,4,0,0,8,1,6,2,0,0,0,0,0,0,0,10,14,0,0,8,0,5,8,0,25,0,1,4,19,23,1,3,0,0,12,0,3,2,5,2,1,10,1,14,6,0,3,0,0,2,5,1,9,3,8,0,4,6,4,22,1,0,26
"Ant191",0,0,7,1,0,0,3,0,0,11,0,25,0,0,0,0,0,4,0,0,5,5,0,0,15,0,6,13,3,6,0,1,1,5,0,0,13,0,0,12,0,3,1,1,1,3,8,0,10,2,0,0,5,14,1,29,0,1,13,1,0,0,0,13,0,0,0,26
"Ant196",6,3,0,0,4,30,0,1,1,1,12,0,5,0,0,0,9,1,4,6,0,1,0,4,1,5,12,0,13,0,4,4,7,0,0,5,0,5,9,0,6,1,6,9,12,6,1,4,0,1,3,0,0,2,7,0,11,0,1,8,15,7,6,0,0,8,4,0
"Ant252",4,10,0,0,7,28,2,6,0,0,11,0,12,0,0,9,0,0,11,8,1,3,2,0,0,5,0,0,2,0,0,0,11,1,0,2,0,1,7,0,1,0,8,8,4,1,0,19,1,0,3,0,2,1,3,0,10,1,5,6,7,1,1,0,0,5,1,0
"Ant308",0,1,15,3,2,0,2,6,2,7,0,3,0,0,4,1,0,0,2,1,3,11,2,1,5,0,1,4,10,16,0,6,5,5,14,1,7,1,0,2,3,1,1,3,2,7,2,0,5,2,0,2,11,1,0,1,2,8,10,0,0,6,2,2,1,0,4,2
"Ant518",4,4,1,0,1,15,3,2,4,2,2,0,5,0,0,4,11,2,0,6,0,0,3,0,0,5,0,0,0,0,5,6,11,0,0,4,0,1,9,0,5,0,10,11,0,3,0,4,0,0,2,0,0,0,2,0,11,1,1,1,10,1,0,0,0,5,0,0
"Ant0",6,5,0,1,9,24,0,4,27,8,43,0,6,0,0,6,8,1,6,0,1,0,3,7,1,1,6,0,1,3,3,0,27,1,0,18,0,9,20,0,15,2,6,46,10,26,1,15,0,3,13,0,1,1,24,0,19,0,0,3,57,14,1,1,1,14,15,0
"Ant13",0,0,4,16,0,0,7,0,0,5,0,6,0,10,5,0,1,3,0,1,0,4,0,0,17,0,0,9,10,6,0,2,3,2,13,0,10,2,1,7,1,2,0,0,3,2,8,1,4,11,1,2,2,6,1,3,0,10,5,0,3,1,2,3,5,0,1,4
"Ant23",0,0,11,4,0,0,4,0,13,3,0,5,1,14,5,1,3,11,0,0,4,0,0,0,14,0,0,5,2,14,0,11,1,2,3,1,6,3,0,6,8,6,0,0,1,1,12,0,4,3,0,1,10,7,0,4,1,1,9,1,1,0,2,5,8,0,0,8
"Ant27",4,7,0,0,0,6,0,10,3,0,4,0,3,0,0,0,2,2,3,3,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,1,3,0,2,0,1,2,0,3,0,4,0,1,2,0,0,0,4,0,6,0,0,2,0,1,0,0,0,3,0,0
"Ant32",0,1,6,0,5,0,2,1,10,0,4,0,2,0,0,4,0,1,0,7,0,0,0,0,1,0,3,0,0,1,0,5,7,0,0,2,0,1,1,0,0,0,6,6,4,14,1,0,0,1,0,0,3,2,7,0,1,1,1,1,0,0,8,0,0,4,5,0
"Ant43",0,0,2,6,1,0,6,0,0,18,1,12,0,8,15,1,0,5,0,1,17,14,0,1,0,0,1,17,7,31,1,2,1,14,1,0,14,2,0,12,1,0,1,0,2,4,25,0,6,3,1,7,10,14,0,8,3,1,4,1,0,2,1,7,0,0,2,2
"Ant44",0,11,0,0,3,7,0,10,0,0,3,0,1,0,0,5,5,0,5,1,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,5,0,0,0,19,0,0,4,0,1,0,0,0,0,0,0,7,0,23,0,0,6,0,0,0,0,0,3,0,0
"Ant50",0,2,2,0,6,0,3,0,1,3,12,5,4,5,6,12,0,1,0,6,0,0,0,3,1,0,0,0,5,2,0,1,13,2,0,11,0,4,8,0,9,6,1,13,7,8,2,4,0,0,11,0,0,0,7,0,4,1,7,2,1,7,1,1,1,13,12,0
"Ant97",0,0,10,38,0,0,5,0,1,0,0,28,0,8,13,0,0,4,0,0,9,5,0,0,17,0,0,0,6,8,0,3,0,27,27,0,20,0,0,18,3,4,0,3,5,2,14,0,31,8,0,19,8,2,0,31,0,4,8,2,1,0,0,43,16,0,0,36
