"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant4",0,18,2,0,19,22,1,3,11,0,1,0,0,0,0,7,2,1,10,14,2,2,0,2,0,0,0,0,1,3,0,1,12,1,0,0,0,1,1,0,1,0,2,5,10,8,0,1,1,0,2,0,5,0,18,0,19,2,0,2,12,8,0,0,0,9,10,1
"Ant260",18,0,8,1,8,23,10,2,20,0,11,0,0,0,0,4,14,0,3,24,0,3,15,6,0,2,12,1,11,1,9,5,11,2,0,16,0,14,3,5,3,0,8,40,9,12,0,8,0,1,7,0,7,0,33,2,25,4,0,12,17,10,0,0,0,28,22,0
"Ant52",2,8,0,5,0,1,2,0,11,11,6,12,3,5,8,1,8,12,4,9,4,2,17,2,6,0,7,14,7,12,11,23,1,7,0,4,1,0,0,9,3,5,8,6,4,0,3,3,7,11,13,0,6,3,1,4,3,5,10,3,2,1,2,5,2,1,21,7
"Ant540",0,1,5,0,1,0,1,0,3,3,0,3,0,3,9,1,1,3,1,1,1,14,1,0,8,0,0,18,7,19,1,1,0,16,19,0,22,0,0,5,0,1,2,1,1,0,19,0,28,3,0,8,13,10,0,9,0,0,14,0,0,1,0,8,7,0,0,9
"Ant6",19,8,0,1,0,7,5,0,3,1,9,0,3,0,1,8,10,2,3,12,0,1,4,4,0,0,0,5,4,1,2,4,10,0,0,5,0,0,2,2,0,0,7,5,21,16,0,5,3,4,4,0,0,1,12,0,24,1,1,4,18,5,1,0,0,9,13,0
"Ant7",22,23,1,0,7,0,1,3,1,0,45,0,20,0,0,44,12,0,35,17,0,0,1,0,0,1,0,0,0,0,6,1,28,0,0,0,0,9,22,0,2,0,17,19,25,18,0,21,0,1,11,0,1,0,15,0,110,0,0,13,0,6,0,0,0,19,1,0
"Ant9",1,10,2,1,5,1,0,0,3,4,2,14,0,14,10,5,4,8,0,5,0,1,0,2,10,0,5,14,10,6,3,9,0,30,1,2,0,1,0,2,7,8,1,1,11,3,2,8,0,7,3,1,9,7,0,2,0,15,11,0,0,6,3,11,2,1,0,7
"Ant19",3,2,0,0,0,3,0,0,0,0,6,0,1,0,0,5,2,0,6,3,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,6,0,0,0,2,20,0,13,0,1,0,0,6,0,0,0,23,0,20,0,0,6,0,4,0,0,0,6,0,0
"Ant26",11,20,11,3,3,1,3,0,0,0,26,4,1,1,4,5,10,6,2,14,1,5,4,9,2,0,6,8,9,2,7,8,20,3,0,8,0,0,0,5,4,0,3,2,24,4,0,0,2,4,3,1,0,8,0,1,14,3,3,0,8,3,1,8,1,0,6,1
"Ant30",0,0,11,3,1,0,4,0,0,0,0,23,0,5,2,1,6,10,2,1,11,8,0,0,23,0,2,15,8,15,3,3,0,10,2,0,9,0,0,4,3,2,0,3,6,2,6,0,12,6,0,3,3,24,0,7,0,31,19,0,0,0,10,4,2,0,2,0
