colony,date,ant_id,x,y,file_name,ant_type
N4,8/13/12,1,1336.45745,390.5,1308,1
N4,8/13/12,1,1279.01064,481.138298,1292,1
N4,8/13/12,1,1268.79787,520.712766,1284,1
N4,8/13/12,1,1248.37234,533.478723,1276,1
N4,8/13/12,1,1276.45745,538.585106,1272,1
N4,8/13/12,1,1291.7766,661.138298,1249,1
N4,8/13/12,1,1243.26596,753.053191,1225,1
N4,8/13/12,2,1346.67021,722.414894,2168,1
N4,8/13/12,2,1303.26596,724.968085,2154,1
N4,8/13/12,2,1299.43617,753.053191,2144,1
N4,8/13/12,2,1303.26596,783.691489,2131,1
N4,8/13/12,3,1346.67021,722.414894,3157,1
N4,8/13/12,3,1342.84043,713.478723,3156,1
N4,8/13/12,3,1321.1383,732.62766,3150,1
N4,8/13/12,3,1321.1383,739.010638,3144,1
N4,8/13/12,3,1296.88298,755.606383,3135,1
N4,8/13/12,3,1289.2234,773.478723,3127,1
N4,8/13/12,4,1345.39362,643.265957,4572,1
N4,8/13/12,4,1350.5,641.989362,4561,1
N4,8/13/12,4,1327.52128,639.43617,4558,1
N4,8/13/12,4,1317.30851,661.138298,4551,1
N4,8/13/12,4,1327.52128,673.904255,4537,1
N4,8/13/12,4,1331.35106,698.159574,4526,1
N4,8/13/12,4,1332.62766,691.776596,4516,1
N4,8/13/12,4,1307.09575,726.244681,4507,1
N4,8/13/12,4,1304.54255,733.904255,4493,1
N4,8/13/12,4,1281.56383,781.138298,4481,1
N4,8/13/12,5,1335.18085,336.882979,5310,1
N4,8/13/12,5,1323.69149,315.180851,5307,1
N4,8/13/12,5,1261.1383,386.670213,5294,1
N4,8/13/12,5,1203.69149,407.095745,5285,1
N4,8/13/12,5,1178.15957,424.968085,5279,1
N4,8/13/12,5,1125.81915,439.010638,5260,1
N4,8/13/12,5,1130.92553,509.223404,5241,1
N4,8/13/12,5,1226.67021,530.925532,5219,1
N4,8/13/12,5,1267.52128,556.457447,5212,1
N4,8/13/12,5,1263.69149,592.202128,5207,1
N4,8/13/12,5,1331.35106,574.329787,5197,1
N4,8/13/12,5,1342.84043,589.648936,5190,1
N4,8/13/12,5,1323.69149,599.861702,5187,1
N4,8/13/12,5,1323.69149,627.946809,5184,1
N4,8/13/12,5,1322.41489,625.393617,5177,1
N4,8/13/12,5,1324.96809,654.755319,5170,1
N4,8/13/12,5,1308.37234,666.244681,5157,1
N4,8/13/12,5,1319.8617,676.457447,5153,1
N4,8/13/12,5,1296.88298,685.393617,5141,1
N4,8/13/12,5,1316.03192,680.287234,5130,1
N4,8/13/12,5,1312.20213,723.691489,5105,1
N4,8/13/12,5,1291.7766,776.031915,5078,1
N4,8/13/12,6,1351.7766,736.457447,5225,1
N4,8/13/12,6,1365.81915,724.968085,5224,1
N4,8/13/12,6,1339.01064,718.585106,5220,1
N4,8/13/12,6,1328.79787,754.329787,5206,1
N4,8/13/12,6,1314.75532,749.223404,5196,1
N4,8/13/12,6,1312.20213,758.159574,5185,1
N4,8/13/12,6,1318.58511,761.989362,5175,1
N4,8/13/12,6,1326.24468,767.095745,5174,1
N4,8/13/12,6,1318.58511,776.031915,5172,1
N4,8/13/12,7,1345.39362,675.180851,6933,1
N4,8/13/12,7,1350.5,664.968085,6932,1
N4,8/13/12,7,1328.79787,677.734043,6924,1
N4,8/13/12,7,1317.30851,684.117021,6914,1
N4,8/13/12,7,1293.05319,693.053191,6901,1
N4,8/13/12,7,1300.71277,712.202128,6884,1
N4,8/13/12,7,1304.54255,755.606383,6873,1
N4,8/13/12,7,1280.28723,772.202128,6860,1
N4,8/13/12,8,1342.84043,647.095745,7396,1
N4,8/13/12,8,1337.73404,634.329787,7386,1
N4,8/13/12,8,1324.96809,663.691489,7382,1
N4,8/13/12,8,1327.52128,677.734043,7379,1
N4,8/13/12,8,1336.45745,684.117021,7378,1
N4,8/13/12,8,1275.18085,745.393617,7362,1
N4,8/13/12,8,1261.1383,754.329787,7360,1
N4,8/13/12,8,1268.79787,768.37234,7358,1
N4,8/13/12,9,1346.67021,733.904255,7931,1
N4,8/13/12,9,1337.73404,765.819149,7913,1
N4,8/13/12,9,1323.69149,777.308511,7905,1
N4,8/13/12,10,1353.05319,737.734043,9298,1
N4,8/13/12,10,1359.43617,728.797872,9296,1
N4,8/13/12,10,1383.69149,745.393617,9304,1
N4,8/13/12,10,1373.47872,758.159574,9287,1
N4,8/13/12,10,1369.64894,724.968085,9273,1
N4,8/13/12,10,1340.28723,710.925532,9258,1
N4,8/13/12,10,1354.32979,698.159574,9252,1
N4,8/13/12,10,1328.79787,714.755319,9244,1
N4,8/13/12,10,1344.11702,732.62766,9240,1
N4,8/13/12,10,1319.8617,745.393617,9239,1
N4,8/13/12,10,1281.56383,776.031915,9228,1
