"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,18,36,21,1,7,14,1,6,2,10,10,3,0,0,3,0,2,0,0,5,2,9,12,1,6,0,3,29,0,3,0,5,0,0,2,2,5,8,4,0,0,4,0,11,14,7,5,0,8,3,3,2,1,5,3,3,0,3,0,1,0,1,0,17,0
"Ant260",18,0,5,3,0,2,2,0,3,17,7,3,1,0,0,3,0,6,0,0,19,1,11,3,0,2,0,11,0,1,6,0,6,0,0,0,4,0,2,0,1,0,9,1,4,1,4,3,0,4,0,0,0,1,3,6,4,0,0,0,3,0,0,0,27,0
"Ant52",36,5,0,4,1,4,14,0,3,3,5,4,7,8,0,6,1,4,1,1,19,8,4,3,2,31,0,1,2,5,4,2,7,2,0,0,10,5,0,0,1,0,6,0,11,3,15,0,1,6,1,0,8,4,0,4,4,0,6,0,0,0,3,0,13,1
"Ant540",21,3,4,0,2,1,7,1,1,1,6,2,0,16,1,2,0,3,2,2,6,3,6,10,0,49,0,2,0,0,2,2,1,1,2,0,13,1,1,1,0,0,0,0,18,7,10,6,9,11,0,0,1,1,16,2,6,0,2,0,0,0,1,0,22,1
"Ant6",1,0,1,2,0,9,3,5,2,12,5,2,23,1,5,6,0,0,0,0,0,2,3,6,4,1,7,9,3,6,34,37,0,16,1,3,3,8,5,8,26,1,12,20,3,3,3,9,0,3,13,11,19,16,0,2,1,20,48,37,10,13,5,5,26,9
"Ant26",7,2,4,1,9,0,5,8,3,34,2,0,7,8,6,10,0,1,2,3,1,14,2,7,6,0,10,11,5,19,30,14,3,1,0,7,5,1,14,7,8,1,7,6,2,3,9,11,0,7,10,2,64,11,12,10,2,6,17,3,10,0,12,0,9,5
"Ant30",14,2,14,7,3,5,0,0,9,3,10,6,2,0,4,11,0,13,3,13,8,8,8,17,0,6,4,16,18,6,3,0,5,0,0,3,8,0,2,0,0,0,18,0,10,12,5,0,4,18,2,3,7,2,1,4,15,0,3,0,3,1,3,0,6,1
"Ant38",1,0,0,1,5,8,0,0,3,7,1,6,0,4,5,2,11,6,1,1,1,2,0,5,0,0,11,1,1,4,11,4,0,14,0,5,0,0,1,12,26,0,7,0,1,4,0,2,0,1,3,10,3,4,0,4,0,0,10,0,2,0,7,0,7,0
"Ant148",6,3,3,1,2,3,9,3,0,11,1,16,9,2,44,0,0,7,5,10,14,2,2,17,2,2,6,2,1,1,1,11,1,1,0,17,3,0,18,0,10,0,2,1,12,11,5,0,3,6,6,17,7,2,24,168,2,0,8,2,10,0,18,0,9,0
"Ant158",2,17,3,1,12,34,3,7,11,0,1,4,10,4,3,12,1,5,8,0,1,21,6,11,2,0,14,13,13,17,39,5,2,7,0,11,3,16,12,2,6,2,12,0,2,0,8,4,0,7,16,8,22,6,0,16,6,3,15,4,11,8,6,0,16,0
