"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,5,1,0,0,0,0,0,2,0,1,0,1,1,0,2,0,0,1,24,4,0,5,4,0,11,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,13,3,7,0,0,2,0,0,0,0,0,0
"Ant260",5,0,1,0,3,6,6,6,3,6,17,2,0,5,1,19,0,0,1,3,7,0,0,9,0,6,9,3,50,11,8,0,3,5,0,19,15,16,8,3,0,1,9,2,4,3,4,6,0,5,8,9,14,1,0,1,0,7,0,8,3,6,4,1,4,9
"Ant52",1,1,0,1,0,3,4,1,2,1,9,1,0,5,0,8,0,10,15,3,18,1,1,20,0,13,0,13,2,2,7,0,0,5,0,3,12,3,1,0,0,0,7,0,2,0,13,2,0,15,0,2,2,0,4,2,4,1,0,0,10,0,0,0,2,2
"Ant540",0,0,1,0,0,1,2,0,3,2,0,3,0,2,2,0,0,3,1,5,17,3,7,3,0,4,1,8,0,6,1,0,7,0,0,9,1,0,0,0,0,0,0,0,9,0,9,0,0,11,1,0,0,0,3,2,13,0,0,2,0,0,8,0,4,0
"Ant6",0,3,0,0,0,15,0,5,0,3,0,0,24,0,2,0,0,0,0,0,2,0,0,3,31,0,1,1,9,8,9,19,1,5,0,0,1,42,1,14,7,14,0,4,0,0,0,11,0,1,6,2,7,23,0,3,0,28,24,0,8,28,0,0,0,6
"Ant26",0,6,3,1,15,0,0,3,0,18,0,0,9,2,13,1,10,6,1,2,0,2,7,17,18,1,4,9,11,4,8,20,2,13,0,1,2,12,12,6,4,6,4,5,2,0,1,9,0,3,9,8,11,14,0,7,2,10,8,1,11,7,0,0,14,10
"Ant30",0,6,4,2,0,0,0,6,17,8,8,2,0,2,1,8,2,19,10,7,7,18,3,54,0,25,0,17,0,3,2,0,13,2,0,3,10,0,5,0,0,0,10,0,13,18,3,1,13,22,0,2,2,0,6,1,2,0,0,0,7,0,3,0,6,1
"Ant38",0,6,1,0,5,3,6,0,1,7,0,6,1,3,4,9,8,2,0,0,1,4,1,3,0,1,20,6,1,2,10,0,0,3,0,3,6,2,8,3,18,2,9,4,1,7,1,9,1,1,3,9,6,2,2,3,3,1,0,11,8,4,3,2,10,3
"Ant148",2,3,2,3,0,0,17,1,0,7,1,1,1,1,35,0,6,15,1,4,0,2,3,13,0,3,1,4,0,6,2,0,1,0,0,17,7,1,10,1,0,0,13,0,2,4,0,0,1,5,4,10,1,1,0,71,0,2,0,0,20,1,26,0,10,5
"Ant158",0,6,1,2,3,18,8,7,7,0,0,9,2,4,6,6,14,5,1,0,2,9,8,20,0,3,1,11,0,7,22,0,3,8,0,6,5,8,6,7,3,6,15,0,1,6,1,16,0,3,5,7,3,2,0,6,4,3,0,13,16,11,7,0,6,6
