"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,1,2,17,1,0,1,1,2,0,5,0,0,10,0,7,0,0,0,0,0,2,1,1,0,1,0,1,2,0,0
"Ant30",1,0,1,7,8,4,3,1,3,2,4,0,1,15,0,5,0,0,2,3,8,1,3,5,1,7,0,2,1,1,1
"Ant148",2,1,0,1,25,0,2,5,5,1,3,1,0,0,0,2,0,0,9,6,1,7,3,2,0,8,2,0,0,0,0
"Ant191",17,7,1,0,10,1,5,3,2,5,2,0,7,45,0,12,0,0,1,0,10,3,1,1,6,4,2,1,3,12,3
"Ant196",1,8,25,10,0,7,16,2,4,3,3,0,3,0,1,3,0,0,5,5,5,4,3,1,1,2,2,2,0,1,1
"Ant209",0,4,0,1,7,0,5,2,1,0,9,3,3,4,0,17,0,0,6,17,2,6,2,24,1,10,0,4,0,8,1
"Ant308",1,3,2,5,16,5,0,14,5,0,1,9,12,0,19,8,0,0,10,3,11,13,3,3,1,1,0,2,0,2,5
"Ant13",1,1,5,3,2,2,14,0,2,0,0,4,3,0,9,6,0,0,13,5,4,21,6,15,4,14,1,6,0,9,5
"Ant27",2,3,5,2,4,1,5,2,0,12,5,1,3,8,0,5,0,0,2,2,21,15,0,15,0,10,0,10,0,6,2
"Ant29",0,2,1,5,3,0,0,0,12,0,5,2,4,8,0,1,0,0,3,3,6,5,3,7,0,5,0,4,8,1,0
"Ant32",5,4,3,2,3,9,1,0,5,5,0,0,1,15,0,4,0,0,2,0,4,0,2,5,5,1,0,0,18,2,0
"Ant43",0,0,1,0,0,3,9,4,1,2,0,0,6,0,21,10,0,0,2,10,6,38,2,5,1,13,0,5,0,1,3
"Ant50",0,1,0,7,3,3,12,3,3,4,1,6,0,0,0,9,1,1,13,4,21,18,30,2,5,10,9,35,0,4,7
"Ant91",10,15,0,45,0,4,0,0,8,8,15,0,0,0,0,13,0,0,0,0,1,0,2,2,5,0,1,0,44,0,1
"Ant97",0,0,0,0,1,0,19,9,0,0,0,21,0,0,0,6,0,0,16,0,0,25,7,5,0,4,0,2,0,1,7
"Ant100",7,5,2,12,3,17,8,6,5,1,4,10,9,13,6,0,0,0,19,3,14,33,5,17,11,2,0,4,5,5,12
"Ant139",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,1
"Ant156",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Ant159",0,2,9,1,5,6,10,13,2,3,2,2,13,0,16,19,0,0,0,5,17,17,11,4,1,6,3,5,1,0,14
"Ant195",0,3,6,0,5,17,3,5,2,3,0,10,4,0,0,3,0,0,5,0,8,4,1,2,2,11,0,6,1,3,9
"Ant207",0,8,1,10,5,2,11,4,21,6,4,6,21,1,0,14,0,0,17,8,0,43,10,11,10,3,14,20,0,5,12
"Ant218",2,1,7,3,4,6,13,21,15,5,0,38,18,0,25,33,7,0,17,4,43,0,15,40,4,9,6,31,0,3,8
"Ant242",1,3,3,1,3,2,3,6,0,3,2,2,30,2,7,5,0,0,11,1,10,15,0,7,3,11,3,9,0,1,8
"Ant243",1,5,2,1,1,24,3,15,15,7,5,5,2,2,5,17,0,0,4,2,11,40,7,0,13,3,0,14,0,0,3
"Ant263",0,1,0,6,1,1,1,4,0,0,5,1,5,5,0,11,0,0,1,2,10,4,3,13,0,2,0,2,0,0,2
"Ant294",1,7,8,4,2,10,1,14,10,5,1,13,10,0,4,2,0,0,6,11,3,9,11,3,2,0,2,8,0,0,11
"Ant318",0,0,2,2,2,0,0,1,0,0,0,0,9,1,0,0,0,1,3,0,14,6,3,0,0,2,0,3,0,0,0
"Ant332",1,2,0,1,2,4,2,6,10,4,0,5,35,0,2,4,3,1,5,6,20,31,9,14,2,8,3,0,1,0,0
"Ant353",2,1,0,3,0,0,0,0,0,8,18,0,0,44,0,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2
"Ant387",0,1,0,12,1,8,2,9,6,1,2,1,4,0,1,5,0,0,0,3,5,3,1,0,0,0,0,0,0,0,0
"Ant492",0,1,0,3,1,1,5,5,2,0,0,3,7,1,7,12,1,0,14,9,12,8,8,3,2,11,0,0,2,0,0
