"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,7,12,4,1,0,6,1,2,0,12,0,0,14,4,8,0,4,14,3,4,10,1,0,1,0,1,11,3,8,3,0,9,0,0,2,1,0,0,0,0,1,3,0,4,0,31,0,3,6,0,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0
"Ant260",7,0,8,27,5,1,1,1,8,2,3,19,1,0,5,7,2,12,3,2,0,5,1,9,0,7,5,7,2,7,3,3,20,0,0,1,29,0,1,5,0,1,1,1,3,7,9,2,0,3,1,12,6,8,1,9,0,0,0,0,0,3,5,0,3,0
"Ant52",12,8,0,7,3,0,4,2,1,0,9,1,4,0,4,6,0,1,11,7,0,0,4,0,0,5,0,15,0,28,0,2,0,0,0,0,0,1,2,0,2,0,4,2,0,2,2,0,7,2,0,0,11,0,0,1,4,0,0,0,0,0,1,0,2,0
"Ant540",4,27,7,0,3,0,8,1,2,2,12,0,1,0,1,5,1,0,1,10,2,0,1,2,1,20,3,6,0,1,0,0,5,0,0,0,5,0,0,0,0,0,1,0,10,5,9,0,2,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"Ant6",1,5,3,3,0,1,2,15,6,10,0,9,17,1,7,4,43,5,1,6,2,15,12,3,23,10,28,5,10,4,16,16,5,7,1,8,2,23,15,23,27,7,9,9,5,1,4,20,5,7,5,10,24,25,0,10,1,18,33,11,19,22,4,15,14,10
"Ant26",0,1,0,0,1,0,0,5,1,12,0,2,0,4,2,1,6,3,0,0,1,3,10,10,33,0,5,4,4,1,16,24,0,13,0,4,2,21,7,3,9,4,0,9,2,0,0,3,0,0,9,11,2,11,0,12,2,9,0,8,7,2,7,6,7,11
"Ant30",6,1,4,8,2,0,0,0,9,2,19,4,2,11,1,29,2,3,1,3,22,5,2,2,0,0,6,9,2,9,0,0,0,0,0,2,5,1,1,2,2,1,20,0,7,7,0,0,3,28,0,7,6,0,2,4,6,0,1,0,1,0,2,0,7,0
"Ant38",1,1,2,1,15,5,0,0,3,14,0,4,1,1,3,4,14,4,0,0,0,4,11,1,3,0,12,3,0,0,1,8,0,0,0,5,0,10,15,3,34,0,2,1,2,0,0,2,0,0,1,2,0,9,0,4,0,0,3,0,3,6,7,0,19,0
"Ant148",2,8,1,2,6,1,9,3,0,0,2,9,7,8,15,9,3,3,9,0,1,1,3,9,1,0,6,5,1,5,2,0,1,0,0,19,2,1,3,0,1,0,50,0,36,10,2,0,1,13,0,1,2,1,0,5,1,1,0,0,0,2,18,0,44,0
"Ant158",0,2,0,2,10,12,2,14,0,0,3,0,5,1,7,3,2,1,4,0,0,1,17,5,18,1,16,1,3,1,5,17,0,1,6,1,2,18,10,7,1,13,9,9,3,3,0,6,0,1,12,9,21,17,0,4,0,27,8,7,22,13,2,2,23,1
