"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,0,9,12,0,0,8,0,0,0,4,0,0,1,0,8,0,0,14,4,0,2,0,0,0,26,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,8,3,4,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"Ant260",0,0,4,0,4,0,2,2,1,4,18,0,0,0,1,0,1,8,5,12,1,12,0,3,2,8,0,18,14,39,1,2,12,0,0,0,16,2,5,0,0,0,8,0,1,20,10,0,0,5,4,0,0,0,8,0,1,1,0,0,0,3,10,0,2,1
"Ant52",9,4,0,6,3,0,17,0,5,1,13,0,2,15,0,4,0,0,0,9,1,2,0,0,0,5,2,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,8,0,1,2,8,0,2,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0
"Ant540",12,0,6,0,2,0,2,0,9,1,12,2,0,13,0,10,0,1,0,1,4,17,3,5,0,12,0,4,1,2,0,1,2,0,0,3,0,0,11,1,2,0,1,0,8,0,18,0,4,3,3,4,0,0,7,2,16,0,0,0,1,0,2,0,2,1
"Ant6",0,4,3,2,0,5,1,10,3,18,0,12,29,2,6,7,11,2,1,0,1,12,3,8,5,0,27,5,6,4,18,19,2,5,15,8,5,19,10,20,24,14,5,7,4,3,5,13,0,3,3,9,19,7,1,7,6,33,5,7,9,24,16,0,8,4
"Ant26",0,0,0,0,5,0,0,0,0,8,0,0,0,0,5,0,7,0,0,0,0,0,0,3,76,0,0,0,0,0,18,45,0,21,6,0,0,68,0,7,0,0,0,14,0,0,0,16,0,0,8,2,0,16,0,3,0,66,16,11,9,7,0,1,22,11
"Ant30",8,2,17,2,1,0,0,1,12,3,10,8,0,3,6,7,1,2,3,6,6,11,3,10,0,13,5,6,4,3,0,5,3,0,0,11,2,0,2,0,0,0,8,0,4,5,2,0,0,4,0,2,3,1,1,1,8,0,0,0,0,2,7,0,1,3
"Ant38",0,2,0,0,10,0,1,0,2,4,2,7,4,3,6,10,5,6,1,2,1,6,16,4,1,0,19,0,2,1,2,9,0,0,0,9,1,5,16,11,30,19,10,2,5,0,0,0,2,4,11,6,3,5,2,6,1,0,3,0,0,8,2,0,1,1
"Ant148",0,1,5,9,3,0,12,2,0,0,0,15,1,4,0,8,2,13,2,1,2,2,2,2,0,1,3,1,0,0,0,2,0,0,0,25,7,0,5,1,1,0,22,0,33,4,4,0,1,29,1,0,6,0,0,3,5,0,2,0,3,1,27,0,5,0
"Ant158",0,4,1,1,18,8,3,4,0,0,0,0,1,1,13,7,23,2,0,0,6,4,9,8,7,0,8,5,6,15,16,10,0,12,4,0,3,17,1,11,4,2,9,1,1,0,0,17,1,2,2,6,6,6,0,8,4,19,14,20,9,9,3,1,10,4
